Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
d__Bacteria	371.0516337	p__Pseudomonadota	197.61018610000002	c__Gammaproteobacteria	167.7606748	o__Burkholderiales	167.7606748	f__Burkholderiaceae_B	113.6424928	g__Rubrivivax_A	11.467354	s__Rubrivivax_A sp019635285	11.467354
		p__Bacteroidota	162.694537	c__Bacteroidia	162.694537	o__Chitinophagales	162.694537	f__Saprospiraceae	150.427163	g__Ottowia	52.8444403	s__Ottowia sp018240925	14.644611
		p__Myxococcota	10.7469106	c__Alphaproteobacteria	29.8495113	o__Rhizobiales	6.1258783	f__JADIYW01	12.267374	g__CAISIP01	11.384353	s__CAISIP01 sp016790475	11.384353
				c__Polyangia	10.7469106	o__Nannocystales	3.2481203	f__Aestuariivirgaceae	6.1258783	g__UBA3362	16.204813	s__Ottowia sp020848515	24.436747
						o__Polyangiales	7.4987903	f__Nannocystaceae	3.2481203	g__JADJSS01	12.267374	s__	88.9797807
						o__Rhodobacterales	23.723633	f__Rhodocyclaceae	54.118182000000004	g__OLB8	134.22235	s__UBA3362 sp016710235	16.204813
								f__Sandaracinaceae	7.4987903	g__Aestuariivirga	6.1258783	s__OLB8 sp001567405	134.22235
								f__Rhodobacteraceae	23.723633	g__JAHBZM01	10.0128975	s__SSSZ01 sp009469685	34.111217
										g__JAABQG01	15.168809	s__Tabrizicola sp016793705	23.723633
										g__Nannocystis	3.2481203	s__Thauera aminoaromatica	11.876775
										g__AWTP1-18	8.13019		
										g__	12.764639		
										g__SSSZ01	34.111217		
										g__JAFLCL01	7.4987903		
										g__Tabrizicola	23.723633		
										g__Thauera	11.876775		
