TP-EFF_580007-checked-ARG-host_cov_col_9	TP-EFF_580007-checked-ARG-host_cov_col_10	YL-AS_578825-checked-ARG-host_cov_col_9	YL-AS_578825-checked-ARG-host_cov_col_10	SWH-AS_577324-checked-ARG-host_cov_col_9	SWH-AS_577324-checked-ARG-host_cov_col_10	SWH-IN_578335-checked-ARG-host_cov_col_9	SWH-IN_578335-checked-ARG-host_cov_col_10	YL-EFF_579475-checked-ARG-host_cov_col_9	YL-EFF_579475-checked-ARG-host_cov_col_10	ST-IN_577286-checked-ARG-host_cov_col_9	ST-IN_577286-checked-ARG-host_cov_col_10	ST-AS_578410-checked-ARG-host_cov_col_9	ST-AS_578410-checked-ARG-host_cov_col_10	SK-IN_578754-checked-ARG-host_cov_col_9	SK-IN_578754-checked-ARG-host_cov_col_10	ST-ADS_579814-checked-ARG-host_cov_col_9	ST-ADS_579814-checked-ARG-host_cov_col_10	TP-IN_577697-checked-ARG-host_cov_col_9	TP-IN_577697-checked-ARG-host_cov_col_10	TP-AS_578565-checked-ARG-host_cov_col_9	TP-AS_578565-checked-ARG-host_cov_col_10	ST-EEF_579967-checked-ARG-host_cov_col_9	ST-EEF_579967-checked-ARG-host_cov_col_10	SWH-EFF_579360-checked-ARG-host_cov_col_9	SWH-EFF_579360-checked-ARG-host_cov_col_10	YL-IN_577304-ARG-host_cov_col_9	YL-IN_577304-ARG-host_cov_col_10	SK-EFF_577737-checked-ARG-host_cov_col_9	SK-EFF_577737-checked-ARG-host_cov_col_10	SWH-ADS_577436-checked-ARG-host_cov_col_9	SWH-ADS_577436-checked-ARG-host_cov_col_10	STL-EFF_577476-checked-ARG-host_cov_col_9	STL-EFF_577476-checked-ARG-host_cov_col_10	STL-AS_579739-checked-ARG-host_cov_col_9	STL-AS_579739-checked-ARG-host_cov_col_10	SK-AS_579852-checked-ARG-host_cov_col_9	SK-AS_579852-checked-ARG-host_cov_col_10	YL-ADS_577288-checked-ARG-host_cov_col_9	YL-ADS_577288-checked-ARG-host_cov_col_10	TP-ADS_743148-checked-ARG-host_cov_col_9	TP-ADS_743148-checked-ARG-host_cov_col_10	STL-IN_578603-checked-ARG-host_cov_col_9	STL-IN_578603-checked-ARG-host_cov_col_10
f__Oleiphilaceae	6.9840927	f__Burkholderiaceae_B	65.2037966	f__Rhodocyclaceae	8.798687	f__Mycobacteriaceae	14.975817	f__Sphingomonadaceae	13.7877144	f__Rhodobacteraceae	27.96796	f__Burkholderiaceae_B	33.6647454	f__Bacteroidaceae	36.90686	f__Desulfatiglandaceae	7.5336165	f__Neisseriaceae	5.15076	f__Saprospiraceae	7.858313	f__Mycobacteriaceae	261.6042895	f__Mycobacteriaceae	26.5027445	f__Bacteroidaceae	43.7230345	f__Burkholderiaceae_B	41.7143609	f__Mycobacteriaceae	66.14103349999999	f__Sulfurospirillaceae	7.641061	f__Mycobacteriaceae	39.876896	f__Burkholderiaceae_B	113.6424928	f__Lachnospiraceae	7.5782776	f__UBA4820	4.436751	f__Mycobacteriaceae	62.8573
f__Saprospiraceae	7.3850527	f__JADIYW01	22.315086	f__Burkholderiaceae_B	10.145442	f__Weeksellaceae	13.301011	f__Mycobacteriaceae	105.849821	f__Mycobacteriaceae	29.551586	f__Rhodobacteraceae	10.757763	f__Burkholderiaceae_B	80.6114284	f__CAG-138	4.8992724	f__Aeromonadaceae	47.831646	f__Burkholderiaceae_B	34.2121801	f__Microbacteriaceae	12.601441	f__Burkholderiaceae_B	6.027552	f__Microtrichaceae	98.177505	f__Sphingomonadaceae	254.19024	f__Burkholderiaceae_B	39.0939494	f__Rhodocyclaceae	13.1615556	f__Moraxellaceae	2.984412	f__Saprospiraceae	150.427163	f__Gallionellaceae	4.461982	f__Saccharofermentanaceae	11.215249	f__Aeromonadaceae	35.846867
f__Mycobacteriaceae	148.528019	f__Sphingomonadaceae	13.148789	f__JAEUJZ01	8.560342	f__Aeromonadaceae	42.03565	f__Thiotrichaceae	990.073318	f__Dethiosulfovibrionaceae	4.658987	f__Halieaceae	37.685028	f__Neisseriaceae	17.491877000000002	f__Ruminococcaceae	10.0843678	f__Burkholderiaceae_B	31.1481796	f__Sedimenticolaceae	19.60854	f__Hyphomicrobiaceae	9.572015	f__Aquaspirillaceae	3.5879507	f__Mycobacteriaceae	60.487354	f__DSM-18226	5.5711913	f__Rhodobacteraceae	9.827922	f__Burkholderiaceae_B	40.9653066	f__Burkholderiaceae_B	29.8639994	f__JADIYW01	12.267374	f__Burkholderiaceae_B	91.103117	f__Oscillospiraceae	12.477645	f__Burkholderiaceae_B	106.1429015
f__Ruminococcaceae	4.5205793	f__Competibacteraceae	89.36404	f__UBA7239	6.4848514	f__Tannerellaceae	8.729218	f__Oleiphilaceae	13.806947	f__Pasteurellaceae	10.084274	f__Sedimenticolaceae	31.211086	f__Mycobacteriaceae	5.3883886	f__Burkholderiaceae_B	38.05106	f__Pseudomonadaceae	15.488776	f__Sphingomonadaceae	4.5637684	f__Pseudomonadaceae	2.779505	f__Moraxellaceae	19.141308	f__Burkholderiaceae_B	55.122747	f__Paenibacillaceae	5.447721	f__Tenuifilaceae	98.99359	f__Pseudomonadaceae	66.4730665	f__Rhodobacteraceae	3.9473672	f__Aestuariivirgaceae	6.1258783	f__Planctomycetaceae	5.1996756	f__Acutalibacteraceae	8.808217	f__Saprospiraceae	22.965528
f__Saccharofermentanaceae	3.7862039	f__Planctomycetaceae	9.381433			f__Saccharofermentanaceae	14.906801	f__Planctomycetaceae	8.485718299999998	f__Bacteroidaceae	36.7541003	f__CAIVKH01	5.2971888	f__Chitinibacteraceae	5.54265	f__Promineofilaceae	233.97746	f__Mycobacteriaceae	209.7833	f__Rhodocyclaceae	47.70822	f__JAAEPA01	9.340178	f__Rhodocyclaceae	29.8862802	f__Acidaminococcaceae	6.9060807	f__Mycobacteriaceae	32.844904	f__CAG-74	5.527125	f__Bacteroidaceae	8.2011752	f__B-17BO	16.701473	f__Nannocystaceae	3.2481203	f__OLB10	63.104755	f__Bacteroidaceae	5.967759	f__Moraxellaceae	16.938944
f__Burkholderiaceae_B	21.34768	f__Thiotrichaceae	75.19265999999999			f__Pseudomonadaceae	25.978107	f__Burkholderiaceae_B	19.411209	f__Aquaspirillaceae	4.29158	f__Hyphomicrobiaceae	11.2855425	f__Weeksellaceae	22.307486	f__Methanofastidiosaceae	2.8007803	f__Vibrionaceae	18.755556	f__Parvicellaceae	8.471271	f__Chromatiaceae	3.197676	f__Nitrosomonadaceae	4.0142345	f__Selenomonadaceae	8.070822	f__Nannocystaceae	5.1046734	f__Anaerovoracaceae	2.7175214	f__Aeromonadaceae	13.094265	f__Rhizobiaceae	17.448263	f__Rhodocyclaceae	54.118182	f__Thiotrichaceae	37.411287	f__Mycobacteriaceae	224.974296	f__UBA1924	3.2199721
f__Xanthomonadaceae	6.479774	f__Rhodobacteraceae	26.2798277			f__Ruminococcaceae	4.128931	f__Bacteroidaceae	4.903226	f__JAAEPA01	7.5555086	f__JAAEPA01	9.8326235	f__Propionibacteriaceae	21.801218	f__Rhodobacteraceae	9.788014	f__GCA-2729495	11.351732	f__CAIVKH01	4.234745	f__Burkholderiaceae_B	11.5295851	f__Sphingomonadaceae	7.6365342	f__Aeromonadaceae	108.66003	f__Nocardioidaceae	14.294443	f__SURF-12	4.3142014	f__Mycobacteriaceae	160.99860460000002	f__Saprospiraceae	40.336676	f__Sandaracinaceae	7.4987903	f__Acidaminococcaceae	3.6314921	f__Burkholderiaceae_B	24.332603	f__Bacteroidaceae	14.776865
f__Parvicellaceae	6.2262707	f__Ilumatobacteraceae	15.9623995			f__Bacteroidaceae	43.067767	f__Rhodobacteraceae	3.7899156	f__Fibrobacteraceae	8.6205376			f__Tannerellaceae	36.321274	f__Anaerolineaceae	15.186205	f__Saprospiraceae	7.92925	f__DEV007	4.2404833	f__Rhodocyclaceae	5.756437			f__Kosmotogaceae	59.7235	f__Rhodobacteraceae	5.925919	f__Obscuribacteraceae	3.3132343	f__Burkholderiaceae_C	5.9321976	f__Casimicrobiaceae	10.307669	f__Rhodobacteraceae	23.723633	f__Syntrophomonadaceae	4.0065956	f__Rhodobacteraceae	14.252406	f__Flavobacteriaceae	7.434051
f__GCA-002722245	2.0995991	f__Saprospiraceae	24.368097			f__Lachnospiraceae	5.9221215	f__Rhodocyclaceae	20.387352	f__Neisseriaceae	7.766638			f__JAGPMH01	30.88196	f__JAAEPA01	21.479797	f__Sedimenticolaceae	18.166365	f__Rhodanobacteraceae	3.7470586	f__Xanthobacteraceae	2.386901			f__Neisseriaceae	8.38218	f__Saprospiraceae	9.535238	f__Sedimentibacteraceae	7.5245266	f__Thiotrichaceae	3.1016164	f__Sphingomonadaceae	9.429679			f__Bacteroidaceae	7.08003	f__Tenuifilaceae	33.243294	f__Nitrosomonadaceae	6.7635493
f__Sedimenticolaceae	6.245522	f__Xanthomonadaceae	5.257082			f__Burkholderiaceae	9.360289	f__Pseudohongiellaceae	4.368305	f__Lachnospiraceae	32.339576			f__Thiotrichaceae	4.0772166			f__Pasteurellaceae	9.40691	f__Competibacteraceae	20.829397					f__Streptococcaceae	79.326485	f__Ga0077539	3.8949564	f__Lachnospiraceae	4.0793495	f__Legionellaceae	21.383041	f__Xanthomonadaceae	6.525698			f__Prolixibacteraceae	13.445786	f__Chromatiaceae	8.013726	f__Sphingomonadaceae	6.4984927
f__Polyangiaceae	4.7015767					f__Burkholderiaceae_B	71.513529	f__Flavobacteriaceae	63.71918	f__Sedimenticolaceae	8.064209			f__Aquaspirillaceae	16.581789			f__UBA9214	13.325873							f__Rhodobacteraceae	16.120644	f__Nitrospiraceae	9.4481	f__Tannerellaceae	2.347802	f__Saprospiraceae	8.667439	f__Gemmatimonadaceae	6.3136945			f__JADIYW01	3.3995066	f__JAFGJZ01	13.317213		
f__Ketobacteraceae	4.3190365					f__Rhodobacteraceae	13.4110725	f__Saprospiraceae	7.3468466	f__Ruminococcaceae	6.831798			f__Lachnospiraceae	45.793146			f__DEV007	3.7950363							f__Lachnospiraceae	5.8753138	f__Bacillaceae_G	28.358891	f__Syntrophomonadaceae	19.148507	f__Flavobacteriaceae	4.678389	f__Turneriellaceae	2.4154377								
f__UBA9320	3.3489616					f__Xanthobacteraceae	5.157024	f__Crocinitomicaceae	16.178022	f__Burkholderiaceae_B	28.025375			f__Moraxellaceae	50.863375000000005			f__Moraxellaceae	26.932991							f__Aestuariivirgaceae	7.053468	f__Rhodocyclaceae	3.134937	f__Sphingomonadaceae	15.6199871	f__Francisellaceae	2.3438745	f__Nitrosomonadaceae	21.66713								
f__Zapsychraceae	4.2544127					f__Moraxellaceae	5.09817			f__Thiotrichaceae	6.265927			f__Filifactoraceae	16.942905			f__Rhodobacteraceae	26.68799							f__Pasteurellaceae	17.4023708	f__Brevibacillaceae	3.322656	f__PWPN01	1.8328713	f__CAITNM01	3.1883028										
f__Promineofilaceae	3.7114046					f__Selenomonadaceae	14.903399							f__Sulfurospirillaceae	31.092995			f__Lachnospiraceae	6.0807347							f__Moraxellaceae	13.418223			f__Atribacteraceae	2.7983806	f__Rhodanobacteraceae	11.247307										
						f__Xanthomonadaceae	7.9781895											f__Bacteroidaceae	57.06549199999999							f__Syntrophomonadaceae	8.113731			f__Saprospiraceae	2.4722319	f__Moraxellaceae	6.996532										
																		f__Burkholderiaceae_A	4.0885987											f__Paludibacteraceae	7.956052	f__Burkholderiaceae	5.4876127										
																		f__Competibacteraceae	7.452606											f__CG2-30-32-10	5.1342826	f__Nitrosomonadaceae	5.073131										
																		f__Sphingomonadaceae	3.7445621											f__Competibacteraceae	10.989085	f__Selenomonadaceae	3.776164										
																		f__Enterococcaceae	14.535048											f__Rhodocyclaceae	5.3882074												
																														f__UBA8958	5.1256504												
																																											
																																											
																																											
																																											
																																											
																																											
																																											
