Gene	TP-EFF_580007-checked-ARG-host_cov_col_6	YL-AS_578825-checked-ARG-host_cov_col_6	SWH-AS_577324-checked-ARG-host_cov_col_6	SWH-IN_578335-checked-ARG-host_cov_col_6	YL-EFF_579475-checked-ARG-host_cov_col_6	ST-IN_577286-checked-ARG-host_cov_col_6	ST-AS_578410-checked-ARG-host_cov_col_6	SK-IN_578754-checked-ARG-host_cov_col_6	ST-ADS_579814-checked-ARG-host_cov_col_6	TP-IN_577697-checked-ARG-host_cov_col_6	TP-AS_578565-checked-ARG-host_cov_col_6	ST-EEF_579967-checked-ARG-host_cov_col_6	SWH-EFF_579360-checked-ARG-host_cov_col_6	YL-IN_577304-ARG-host_cov_col_6	SK-EFF_577737-checked-ARG-host_cov_col_6	SWH-ADS_577436-checked-ARG-host_cov_col_6	STL-EFF_577476-checked-ARG-host_cov_col_6	STL-AS_579739-checked-ARG-host_cov_col_6	SK-AS_579852-checked-ARG-host_cov_col_6	YL-ADS_577288-checked-ARG-host_cov_col_6	TP-ADS_743148-checked-ARG-host_cov_col_6	STL-IN_578603-checked-ARG-host_cov_col_6
c__Gammaproteobacteria	45.3761052	235.0175786	25.428980399999997	161.9639345	1048.047131	72.05351160000001	112.39348289999998	175.168336	59.530857	209.09999330000005	126.1053957	32.60338110000001	62.65732539999999	202.9855508	44.8492979	55.4712418	195.2595059	71.3489084	167.7606748	132.976386	32.346329	165.69226179999998
c__Actinomycetia	148.528019	0.0	0.0	14.975817	105.849821	29.551586	0.0	27.1896066	0.0	209.7833	0.0	274.2057305	26.5027445	60.487354	47.139347	66.14103349999999	160.99860460000002	39.876896	0.0	0.0	224.974296	62.8573
c__Alphaproteobacteria	0.0	39.4286167	0.0	18.5680965	17.57763	27.96796	22.0433055	0.0	9.788014	30.4325521	4.5637684	11.958916	7.6365342	23.174111999999997	260.11615900000004	25.4479091	3.1883028	30.8253092	29.8495113	0.0	14.252406	6.4984927
c__Bacteroidia	19.0598841	46.683183	0.0	65.097996	92.1472746	36.7541003	0.0	95.53562	0.0	64.994742	16.329584	0.0	0.0	43.7230345	9.535238	116.9039585	21.5470032	57.038149	162.694537	87.0300776	39.211053	45.176444
c__DSM-4660	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.5336165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c__Campylobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.092995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.641061	0.0	0.0	0.0	0.0	0.0
c__Clostridia	8.3067832	0.0	0.0	24.9578535	0.0	39.171374	0.0	62.736051	14.9836402	6.0807347	0.0	0.0	0.0	5.8753138	0.0	19.8485225	0.0	0.0	0.0	7.5782776	32.501111	0.0
c__UBA4820	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.436751	0.0
c__Polyangia	4.7015767	0.0	8.560342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.999629800000001	0.0	0.0	0.0	10.7469106	0.0	0.0	0.0
c__Acidimicrobiia	0.0	15.9623995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.177505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
