Filename	aminoglycoside	antibacterial_fatty_acid	bacitracin	beta_lactam	chloramphenicol	florfenicol	fosfomycin	macrolide-lincosamide-streptogramin	multidrug	mupirocin	novobiocin	other_peptide_antibiotics	pleuromutilin_tiamulin	polymyxin	quinolone	rifamycin	streptothricin	sulfonamide	tetracycline	trimethoprim	vancomycin	Total
ARG-identification/swh-e_579360-checked-diamond-blastp-sarg-80-query75-custom-best-hit-add-contigs-rank-location-cov.txt	14	0	23	11	4	3	0	14	40	0	1	0	0	2	1	11	0	5	20	0	1	150
ARG-identification/TP-I_577697-checked-diamond-blastp-sarg-80-query75-custom-best-hit-add-contigs-rank-location-cov.txt	36	0	37	70	12	4	4	49	185	12	0	6	0	34	6	5	1	5	56	8	1	531
ARG-identification/s-e_577476-checked-diamond-blastp-sarg-80-query75-custom-best-hit-add-contigs-rank-location-cov.txt	22	0	28	40	4	4	0	22	101	7	1	3	0	9	2	14	0	3	26	6	1	293
ARG-identification/sh-ads_579814-checked-diamond-blastp-sarg-80-query75-custom-best-hit-add-contigs-rank-location-cov.txt	11	0	4	9	1	2	0	25	7	0	0	0	0	0	2	10	0	3	13	1	0	88
ARG-identification/sk-as_579852-checked-diamond-blastp-sarg-80-query75-custom-best-hit-add-contigs-rank-location-cov.txt	19	0	23	12	1	2	0	7	17	0	0	0	0	0	1	4	0	8	11	0	0	105
ARG-identification/s-i_578603-checked-diamond-blastp-sarg-80-query75-custom-best-hit-add-contigs-rank-location-cov.txt	41	0	47	59	10	4	2	59	148	9	0	6	0	23	6	14	1	4	33	6	0	472
ARG-identification/sh-as_578410-checked-diamond-blastp-sarg-80-query75-custom-best-hit-add-contigs-rank-location-cov.txt	7	0	9	13	2	2	0	8	3	0	0	0	0	0	2	9	0	4	9	0	0	68
ARG-identification/swh-as_577324-checked-diamond-blastp-sarg-80-query75-custom-best-hit-add-contigs-rank-location-cov.txt	16	0	26	14	1	4	0	16	19	0	1	0	0	0	1	10	0	6	16	1	0	131
ARG-identification/TP-E_580007-checked-diamond-blastp-sarg-80-query75-custom-best-hit-add-contigs-rank-location-cov.txt	13	0	7	16	1	3	0	21	7	5	0	0	0	0	3	8	0	5	20	2	0	111
ARG-identification/sk-i_578754-checked-diamond-blastp-sarg-80-query75-custom-best-hit-add-contigs-rank-location-cov.txt	59	0	63	129	18	7	4	116	312	10	0	20	1	71	7	7	2	6	60	11	2	905
ARG-identification/YL-ADS_577288-checked-diamond-blastp-sarg-80-query75-custom-best-hit-add-contigs-rank-location-cov.txt	26	0	8	12	3	3	0	37	12	0	1	0	0	0	2	8	0	5	27	0	0	144
ARG-identification/tp-ads_743148-checked-diamond-blastp-sarg-80-query75-custom-best-hit-add-contigs-rank-location-cov.txt	13	0	6	13	3	3	0	42	11	4	0	0	0	0	1	5	0	6	24	1	1	133
ARG-identification/YL-AS_578825-checked-diamond-blastp-sarg-80-query75-custom-best-hit-add-contigs-rank-location-cov.txt	20	0	13	23	0	4	0	13	15	0	1	0	0	0	2	4	0	6	13	0	0	114
ARG-identification/sk-e_577737-checked-diamond-blastp-sarg-80-query75-custom-best-hit-add-contigs-rank-location-cov.txt	11	0	21	18	2	1	6	12	29	0	0	0	0	1	1	8	0	5	12	1	0	128
ARG-identification/swh-ads_577436-checked-diamond-blastp-sarg-80-query75-custom-best-hit-add-contigs-rank-location-cov.txt	19	0	21	17	3	5	0	44	16	0	0	0	0	0	1	15	0	6	28	2	0	177
ARG-identification/swh-i_578335-checked-diamond-blastp-sarg-80-query75-custom-best-hit-add-contigs-rank-location-cov.txt	49	0	57	74	10	10	1	69	163	10	2	8	0	32	6	7	1	6	38	8	2	553
ARG-identification/YL-I_577304-diamond-blastp-sarg-80-query75-custom-best-hit-add-contigs-rank-location-cov.txt	41	0	54	80	10	5	8	76	255	9	0	19	0	53	8	10	1	4	42	11	2	688
ARG-identification/sh-e_579967-checked-diamond-blastp-sarg-80-query75-custom-best-hit-add-contigs-rank-location-cov.txt	12	0	14	18	6	2	0	13	20	4	0	0	0	0	4	30	0	4	24	1	0	152
ARG-identification/s-as_579739-checked-diamond-blastp-sarg-80-query75-custom-best-hit-add-contigs-rank-location-cov.txt	19	0	18	14	2	5	0	14	28	3	1	0	0	3	1	13	0	5	25	1	0	152
ARG-identification/YL-E_579475-checked-diamond-blastp-sarg-80-query75-custom-best-hit-add-contigs-rank-location-cov.txt	11	0	7	15	2	1	0	7	21	0	0	0	0	1	5	2	0	6	12	4	0	94
ARG-identification/TP-AS_578565-checked-diamond-blastp-sarg-80-query75-custom-best-hit-add-contigs-rank-location-cov.txt	9	0	7	11	1	2	0	7	7	2	0	0	0	0	2	5	0	4	11	0	0	68
ARG-identification/sh-i_577286-checked-diamond-blastp-sarg-80-query75-custom-best-hit-add-contigs-rank-location-cov.txt	31	1	24	41	5	6	0	66	109	6	0	4	1	12	5	30	1	7	43	2	2	396
Global Summary	499	1	517	709	101	82	25	737	1525	81	8	66	2	241	69	229	7	113	563	66	12	5653
