Type Value	Count	Percentage(%)
multidrug	109	27.53
macrolide-lincosamide-streptogramin	66	16.67
tetracycline	43	10.86
beta_lactam	41	10.35
aminoglycoside	31	7.83
rifamycin	30	7.58
bacitracin	24	6.06
polymyxin	12	3.03
sulfonamide	7	1.77
florfenicol	6	1.52
mupirocin	6	1.52
quinolone	5	1.26
chloramphenicol	5	1.26
other_peptide_antibiotics	4	1.01
trimethoprim	2	0.51
vancomycin	2	0.51
streptothricin	1	0.25
pleuromutilin_tiamulin	1	0.25
antibacterial_fatty_acid	1	0.25
Total	396	100.00
