Sample	Group
tp-ads_743148_combined-10G	ADS
tp-as-sg-577351-10G	AS
tp-i-sg-577309-10G	IN
tp-e-sg-577373-10G	EFF
sk-as-sg-577367-10G	AS
sk-e-sg-577293-10G	EFF
sk-i-sg-577329-10G	IN
sh-ads-sg-577301-10G	ADS
sh-as-sg-577335-10G	AS
sh-e-sg-577371-10G	EFF
sh-i-sg-577303-10G	IN
s-as-sg-577363-10G	AS
s-e-sg-577285-10G	EFF
s-i-sg-577323-10G	IN
swh-ads-sg-577327-10G	ADS
swh-as-sg-577355-10G	AS
swh-e-sg-577375-10G	EFF
swh-i-sg-577313-10G	IN
yl-i-sg-577317-10G	IN
yl-ads-sg-577333-10G	ADS
yl-as-sg-577359-10G	AS
yl-e-sg-577377-10G	EFF
