subtype	tp-ads_743148_combined-10G	tp-as-sg-577351-10G	tp-i-sg-577309-10G	tp-e-sg-577373-10G	sk-as-sg-577367-10G	sk-e-sg-577293-10G	sk-i-sg-577329-10G	sh-ads-sg-577301-10G	sh-as-sg-577335-10G	sh-e-sg-577371-10G	sh-i-sg-577303-10G	s-as-sg-577363-10G	s-e-sg-577285-10G	s-i-sg-577323-10G	swh-ads-sg-577327-10G	swh-as-sg-577355-10G	swh-e-sg-577375-10G	swh-i-sg-577313-10G	yl-i-sg-577317-10G	yl-ads-sg-577333-10G	yl-as-sg-577359-10G	yl-e-sg-577377-10G
beta_lactam__GES-7	0	0	5.84E-05	0	0	0	4.68E-05	0	0	0	0	0	0	3.17E-05	0	0	0	2.82E-05	2.57E-05	0	0	0
tetracycline__tetB(60)	4.99E-05	9.29E-06	0.000204499	0	9.01E-06	0	0.000228969	1.53E-05	0	1.71E-05	0.00021168	8.51E-06	4.21E-05	0.000105459	1.04E-05	0	2.81E-05	0.000256893	0.000137764	2.23E-05	0	1.30E-05
beta_lactam__CMY-41	0	0	0	0	0	0	1.92E-05	0	0	0	0	0	0	0	0	0	0	2.13E-05	4.42E-05	0	0	0
beta_lactam__SPR-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82E-05	0	0	0
aminoglycoside__ANT(4')-Ib	6.87E-05	0	7.02E-05	0	0	0	0.000116902	0	0	0	0	0	0	0	0	0	0	0.000133354	0	0	0	0
beta_lactam__Escherichia-coli-ampC	0.000123645	0	0.007568884	0.00011084	8.11E-05	0.000199766	0.004462888	0	0.000115815	0	0.00042994	0	0.000204391	0.00059346	0	0	2.90E-05	0.002354497	0.004214655	0	0	0.000120941
multidrug__efpA	0.017908399	0.014210282	0.014530132	0.060938507	0.001092037	0.005630678	0.001490696	0.006249186	0.006306382	0.026095921	0.008324329	0.017707084	0.046779899	0.012915013	0.013565372	0.00605675	0.01053282	0.00483399	0.007480644	0.00919187	0.004022915	0.01553676
beta_lactam__GES-2	0	0	2.95E-05	0	0	0	0.00056221	3.25E-05	3.80E-05	0	6.20E-05	0	0	9.31E-05	0	0	0	2.82E-05	0.000177706	0	0	0
aminoglycoside__AAC(3)-IIe	0	0	0.000488165	0	0	0	0.000970396	0	0	0	6.16E-05	0	0.000119758	0.000394494	3.09E-05	0	7.72E-05	0.000875315	0.000947558	0	7.69E-05	0
quinolone__QnrB70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.79E-05	0	0	0	0
beta_lactam__OXA-9	2.30E-05	0	0	0	3.81E-05	0	0	6.81E-05	0	0	0	0.000434369	0.000642453	0.00018295	0	7.58E-05	7.91E-05	8.82E-05	3.07E-05	0	0	0
tetracycline__tet(49)	0	0	0	0	4.95E-05	0	0.000117528	0	2.82E-05	0	0	0	6.30E-05	0	0.000115391	0.000279439	0.0004756	6.11E-05	0.00015353	0.000129236	0.000142115	0.000311257
beta_lactam__OKP-B-10	0	0	8.94E-05	0	0	0	0.000127226	0	0	0	0	0	0	5.66E-05	0	0	0	8.68E-05	0.000265991	0	0	0
beta_lactam__IMP-49	0	0	0	0.000167277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta_lactam__OXA-728	0	0	0	0	0	0	2.48E-05	0	0	0	0	0	4.09E-05	3.02E-05	0	0	0	0	2.97E-05	0	0	0
bleomycin__BLMT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000248044	0	0	0.000119806
aminoglycoside__aadS	0.000730061	0.000513388	0.003728697	0.000470052	0.004857626	0.000429204	0.026822912	6.62E-05	3.42E-05	0.001186533	0.002096073	0.006826738	0.005160349	0.018689463	0.001607412	0.002946764	0.001060305	0.021098222	0.00505835	0.000343388	0.000335552	0.000991845
beta_lactam__TEM-122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.73E-05	0	0	0	0
macrolide-lincosamide-streptogramin__lsa(E)	0.000825756	0	0.000159258	3.81E-05	7.74E-05	0	0.002234654	0.000433518	0	3.74E-05	0.003949798	6.46E-05	0.000305545	0.000528848	0.000592799	8.10E-05	0	0.000694028	0.00071712	0.000339387	0	4.73E-05
macrolide-lincosamide-streptogramin__erm(47)	0.003035371	8.57E-05	0.000410351	0	0	0	0.000446771	0.000266554	9.06E-05	0	0.002030173	0	0	0.000217187	0	0	0	0.000165451	0.000499114	0.000259577	0.000131405	0
beta_lactam__LCR-1	0.001120441	0.007578903	0.006889543	0.00277299	0.000395583	4.28E-05	0.000704907	0.001488353	0.006712114	0.000870092	0.003088448	0.000345223	0.000232248	0.000895359	0.000100421	0.000579761	0.00016475	0.00117725	0.002700014	3.48E-05	0.000211533	0.000293854
beta_lactam__CIA-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.83E-05	0	0	0	0
aminoglycoside__rmtC	0	0	0	0	0	0	0	0	0	0	9.47E-05	0	0	0	0	0	0	0	0	0	0	0
quinolone__norA	8.18E-05	0	6.44E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
other_peptide_antibiotics__ArnT	0.000103573	1.87E-05	0.00477151	0.000112409	0.000136036	0.0002812	0.006820276	0	1.82E-05	7.11E-05	0.000557805	0	0.000808734	0.002242738	0	3.97E-05	0.000338901	0.00410896	0.017521047	3.32E-05	0	0.000574212
beta_lactam__TEM-21	0	0	0	0	0	0	2.61E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
polymyxin__mcr-3.20	0	0	0.000108633	0	0	0	0.000134241	0	0	0	0	0	0	0.000164596	0	0	0	1.50E-05	0.000281867	0	0	5.58E-05
beta_lactam__PRC-1	0	0	0.000135455	0	0	0	0.000442656	0	0	0	0.000162285	0	2.73E-05	0.000281462	0	0	7.89E-05	0.000594577	0.000111461	0.000216207	0.000406914	0.000279623
vancomycin__vanA	0	0	0	0	0	6.61E-05	0	0	0	0	5.14E-05	0	0	0	0	0	0.000162245	0	0	2.66E-05	0	0
beta_lactam__ACC-3	0	0	0	0	0	0	3.92E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tetracycline__tet(E)	8.06E-05	0	0.003268289	5.13E-05	0	5.55E-05	0.004791074	0	0	0	0.000306275	9.47E-05	0.002538315	0.003145133	0	0.000917167	0.000298492	0.004530743	0.011858103	0.000121505	5.58E-05	0.000336545
multidrug__mexQ	2.06E-05	1.63E-05	5.28E-05	2.26E-05	9.16E-05	0.000227141	7.18E-05	1.46E-05	4.03E-05	0.000101472	9.83E-05	9.64E-05	8.20E-05	0.000145371	7.67E-05	6.60E-05	0.000173169	0.00015749	9.69E-05	2.84E-05	3.80E-05	1.91E-05
beta_lactam__BIL-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.21E-05	0	0	0
macrolide-lincosamide-streptogramin__mph(C)	5.49E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.39E-05	0	2.81E-05	0	0	0
beta_lactam__CMY-79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.21E-05	0	0	0
chloramphenicol__Agrobacterium-fabrum-chloramphenicol-acetyltransferase	0.000346081	0.000280966	0.000281197	4.87E-05	4.99E-05	5.21E-05	0.000140564	0	0.00015988	0.001160819	0.000289985	4.52E-05	0	0.000205205	3.96E-05	0	0.000146242	0.000398192	0.000272785	0.000557196	0.000834563	0.00035819
quinolone__QnrVC5	3.73E-05	0	0.017960908	0.000381417	0	0	0.002978413	3.40E-05	0	0.000226429	0.000551077	0	0.00015602	0.00052601	0	0	0.000102339	0.000484211	0.007923678	0	0	0.000411235
beta_lactam__IMP-14	0	0	0	4.22E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta_lactam__OXA-1	0.000283737	0	0.001154473	0.000209961	0.000102652	0	0.004564424	0	0	0	0.000663073	0	0.001213842	0.001421312	7.68E-05	0.000318411	4.67E-05	0.002395012	0.005370036	0.000115263	0.000587238	0.000594684
beta_lactam__OXA-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.48E-05	0	0	0
quinolone__QnrD1	0.000152718	0	0.000304513	0	9.85E-05	0	0.007767786	0	0	0	7.98E-05	0	0.000283322	0.000125681	0	0	0	0.000793239	0.001129841	7.93E-05	5.14E-05	0
macrolide-lincosamide-streptogramin__lmrB	0	0	0	0	0	0.000228563	0	0	0	0	0	0	0	0	0	0	0	1.69E-05	0	0	0	0
rifamycin__rphB	0.000306271	0.002216436	0.000904744	0.001203582	0.001952621	0.004867088	0.000153175	0.002417735	0.003862119	0.003671351	0.001662118	0.001874821	0.000832802	0.001399345	0.002138988	0.002247692	0.003516088	0.000911667	0.000782855	0.001993984	0.002103137	0.000339438
trimethoprim__dfrA6-from-Proteus-mirabilis	0	0	9.58E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta_lactam__TEM-178	0	0	2.97E-05	0	0	0	0.000175812	0	0	0	0	0	8.13E-05	3.12E-05	0	0	0	8.30E-05	0.000176543	0	0	0
chloramphenicol__catB3	0.000968521	4.81E-05	0.004183055	0.000245447	0.000695614	0.000105865	0.019531229	0	9.44E-05	0.000367333	0.000529251	4.60E-05	0.004030322	0.00772689	0.000168918	0.000606399	0.000703294	0.010039748	0.014320065	0.000426234	0.00031107	0.00040783
beta_lactam__TEM-184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.89E-05	0	0	0	0
beta_lactam__BEL-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.12E-05	0	0	0	0	0	0	0
trimethoprim__dfrA23	0	0	0	0	0	0	0	0	0	0	0	0	5.17E-05	0	0	0	0	0	0	0	0	0.000248446
beta_lactam__FIA-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000132605	0	0	0	0	0
aminoglycoside__AAC(3)-IVb	0	6.86E-05	0	0.000107325	0	0	0	0	0.000110052	3.03E-05	0	0	0	0	3.01E-05	7.39E-05	0	9.03E-05	0	3.53E-05	0	0
multidrug__opmD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.76E-06	0	0	0
aminoglycoside__aadA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.63E-05	0.000151841	3.00E-05	0
