qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	YL-I_577304_1.fq Relative Abundance (%)	YL-I_577304_1.fq Mean	YL-I_577304_1.fq RPKM	YL-I_577304_1.fq TPM	host_taxonomy
k141_1581775_5	k141_1581775	gb|AAF74725.1|ARO:3004659|Mef(En2)	99.5	401	402	1	401	401	1	401	1.1e-282	765.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(En2)	mef(En2)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	III	genome	14.484583		bin_17	Binning	bin_17	0.19566675	13.6310625	3.0418408	8976.098	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
k141_792952_9	k141_792952	gi|447196024|ref|WP_001273280.1|	80.8	1038	1050	1	1038	1037	1	1037	0.0	1618.0	multicomponent system	multidrug	multidrug__acrF	acrF	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	20.432135	unmob	bin_23	Binning	bin_23	1.4092869	98.177505	22.463017	66285.555	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__AWTP1-35;s__AWTP1-35 sp003962875
k141_2942288_21	k141_2942288	gb|ADV91011.1|ARO:3000245|RbpA	96.4	111	113	2	112	114	1	111	6.17e-78	223.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	49.21025		bin_25	Binning	bin_25	0.6766016	47.13523	10.520798	31045.57	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
k141_3174853_15	k141_3174853	YP_002552549	81.8	274	310	36	309	274	1	274	1.31e-155	434.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	13.930955		bin_18	Binning	bin_18	0.2513625	17.51109	3.9595814	11684.229	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__
k141_2838873_3	k141_2838873	YP_002552549	90.9	274	275	1	274	274	1	274	1.05e-175	484.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	6.5147943		bin_60	Binning	bin_60	0.12534156	8.73188	1.9684631	5808.6895	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Alicycliphilus;s__Alicycliphilus sp018054745
k141_2394523_6	k141_2394523	YP_002552549	81.4	274	275	1	274	274	1	274	3.48e-158	439.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	7.4254904		bin_14	Binning	bin_14	0.18095936	12.606475	2.8601072	8439.821	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp024235955
k141_3575781_16	k141_3575781	YP_002552549	87.5	273	275	1	273	274	1	273	2.2699999999999997e-170	470.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	14.024145		bin_86	Binning	bin_86	0.23359475	16.273302	3.6728709	10838.186	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Giesbergeria;s__Giesbergeria sp010020825
k141_2490889_5	k141_2490889	gb|AAA27459.1|ARO:3004683|aadS	100.0	287	288	1	287	287	1	287	1.93e-214	583.0		aminoglycoside	aminoglycoside__aadS	aadS	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(6)	Yes	Yes	Yes	II	plasmid	24.90097	unmob	bin_38	Binning	bin_38	0.3225314	22.469048	4.996684	14744.592	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__Bacteroides_I graminisolvens
k141_2490889_6	k141_2490889	gb|AKO71461.1|ARO:3004608|EreD	80.5	41	42	1	41	408	368	408	2.04e-16	68.6		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ere(D)	ere(D)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	IV	plasmid	24.90097	unmob	bin_38	Binning	bin_38	0.3225314	22.469048	4.996684	14744.592	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__Bacteroides_I graminisolvens
k141_3395643_1	k141_3395643	gi|489030921|ref|WP_002941309.1|	100.0	139	139	1	139	405	1	139	1.86e-90	266.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	IV	genome	13.38518		bin_72	Binning	bin_72	0.09913317	6.9060807	1.5812298	4666.011	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__RZYP01;s__
