qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage
k141_3273870_1	k141_3273870	AF001493.1.orf0.gene.p01	82.9	82	83	1	82	143	62	143	1.77e-50	154.0		rifamycin	rifamycin__arr-1	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	5.2510767
k141_1818566_4	k141_1818566	AF001493.1.orf0.gene.p01	83.3	138	143	5	142	143	6	143	1.16e-87	250.0		rifamycin	rifamycin__arr-1	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	8.6063
k141_1524263_1	k141_1524263	AF001493.1.orf0.gene.p01	87.0	138	140	2	139	143	6	143	1.12e-91	260.0		rifamycin	rifamycin__arr-1	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	6.168634
k141_636998_9	k141_636998	AF001493.1.orf0.gene.p01	83.1	142	157	15	156	143	2	143	2.13e-89	255.0		rifamycin	rifamycin__arr-1	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	11.760535
k141_1253341_14	k141_1253341	AF001493.1.orf0.gene.p01	83.9	143	157	14	156	143	1	143	5.24e-90	257.0		rifamycin	rifamycin__arr-1	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	10.756974
k141_3183159_3	k141_3183159	AF001493.1.orf0.gene.p01	83.1	142	146	5	146	143	2	143	7.92e-89	253.0		rifamycin	rifamycin__arr-1	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	1.9454287
k141_559386_10	k141_559386	AF001493.1.orf0.gene.p01	80.4	143	157	14	156	143	1	143	8.33e-87	249.0		rifamycin	rifamycin__arr-1	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	11.377857
k141_1786406_8	k141_1786406	gb|ADV91011.1|ARO:3000245|RbpA	85.6	111	112	1	111	114	1	111	1.63e-66	194.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	20.593102
k141_3572608_4	k141_3572608	gb|ADV91011.1|ARO:3000245|RbpA	85.6	111	112	1	111	114	1	111	8.069999999999999e-67	195.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	4.008371
k141_3578628_31	k141_3578628	gb|ADV91011.1|ARO:3000245|RbpA	91.1	112	113	1	112	114	1	112	4.17e-76	219.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	11.365391
k141_1500373_13	k141_1500373	gb|ADV91011.1|ARO:3000245|RbpA	95.5	111	112	1	111	114	1	111	3.43e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	12.94537
k141_4485282_3	k141_4485282	gb|ADV91011.1|ARO:3000245|RbpA	86.5	111	112	1	111	114	1	111	4.86e-68	198.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	2.491743
k141_1811360_5	k141_1811360	gb|ADV91011.1|ARO:3000245|RbpA	97.3	112	113	1	112	114	1	112	3.71e-79	226.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	29.168175
k141_3015347_7	k141_3015347	gb|ADV91011.1|ARO:3000245|RbpA	95.5	111	112	1	111	114	1	111	4.87e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	67.16342
k141_944988_4	k141_944988	gb|ADV91011.1|ARO:3000245|RbpA	95.1	41	41	1	41	114	1	41	5.1099999999999996e-23	81.6		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	4.1277165
k141_1553818_14	k141_1553818	gb|ADV91011.1|ARO:3000245|RbpA	80.2	111	115	1	111	114	1	111	1.7e-62	184.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	6.0883465
k141_3037630_29	k141_3037630	gb|ADV91011.1|ARO:3000245|RbpA	84.7	111	112	1	111	114	1	111	4.67e-66	193.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	40.779354
k141_1861187_17	k141_1861187	gb|ADV91011.1|ARO:3000245|RbpA	97.3	112	113	1	112	114	1	112	2.6100000000000002e-79	227.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	19.867086
k141_2148952_21	k141_2148952	gb|ADV91011.1|ARO:3000245|RbpA	92.9	112	113	1	112	114	1	112	4.88e-75	216.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	12.444161
k141_4550608_6	k141_4550608	gb|ADV91011.1|ARO:3000245|RbpA	97.3	111	112	1	111	114	1	111	7.19e-79	226.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	11.964068
k141_390933_9	k141_390933	gb|ADV91011.1|ARO:3000245|RbpA	94.6	111	112	1	111	114	1	111	3.43e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	27.837593
k141_4562374_2	k141_4562374	gb|ADV91011.1|ARO:3000245|RbpA	87.4	111	112	1	111	114	1	111	2.15e-71	207.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	82.439644
k141_1599538_3	k141_1599538	gb|ADV91011.1|ARO:3000245|RbpA	81.2	69	74	5	73	114	43	111	6.990000000000001e-35	113.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	2.346062
k141_3409686_2	k141_3409686	gb|ADV91011.1|ARO:3000245|RbpA	87.4	111	112	1	111	114	1	111	2.15e-71	207.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	94.03517
k141_2549287_9	k141_2549287	gb|ADV91011.1|ARO:3000245|RbpA	92.3	26	28	1	26	114	1	26	9.06e-12	52.4		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	2.5574389
k141_1159282_6	k141_1159282	gb|ADV91011.1|ARO:3000245|RbpA	98.2	111	112	1	111	114	1	111	7.19e-79	226.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	33.88983
k141_4708719_1	k141_4708719	gb|ADV91011.1|ARO:3000245|RbpA	89.9	109	110	1	109	114	4	112	1.19e-72	210.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	8.380447
k141_3250086_10	k141_3250086	gb|ADV91011.1|ARO:3000245|RbpA	80.2	111	115	1	111	114	1	111	1.24e-64	190.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	3.54922
k141_3870837_4	k141_3870837	gb|AAC43550.1|ARO:3003967|lrfA	81.7	503	509	1	503	504	1	503	2.78e-269	740.0		quinolone	quinolone__lfrA	lfrA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	27.905392
k141_3058840_31	k141_3058840	gb|AAC43550.1|ARO:3003967|lrfA	82.3	504	509	1	504	504	1	504	3.0800000000000003e-273	750.0		quinolone	quinolone__lfrA	lfrA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	20.921886
k141_1195543_1	k141_1195543	gi|983204316|ref|WP_060470352.1|	98.3	405	406	1	405	405	1	405	2.18e-275	747.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	II	plasmid	8.372428
