qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	sk-i_578754-checked_1.fq Relative Abundance (%)	sk-i_578754-checked_1.fq Mean	sk-i_578754-checked_1.fq RPKM	sk-i_578754-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_391633_4	k141_391633	gb|ACT97371.1|ARO:3003097|CfxA6	99.4	331	332	1	331	331	1	331	1.33e-234	637.0		beta_lactam	beta_lactam__CfxA6	CfxA	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	genome	312.9517		bin_29	Binning	bin_29	0.39033753	36.90686	12.027003	26657.281	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp018054505	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Prevotella	s__Prevotella sp018054505	d__Bacteria	422.6045686	p__Bacteroidota	95.53562000000001	c__Bacteroidia	95.53562000000001	o__Bacteroidales	73.22813400000001	f__Bacteroidaceae	36.90686	g__Prevotella	36.90686	s__Prevotella sp018054505	36.90686
k141_1726154_30	k141_1726154	YP_985461	80.2	273	275	1	273	274	1	273	2.01e-157	437.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	3.6325107		bin_72	Binning	bin_72	0.049216565	4.6534824	1.5132172	3353.9739	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__Brachymonas sp017993135	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Brachymonas	s__Brachymonas sp017993135			p__Pseudomonadota	175.168336	c__Gammaproteobacteria	175.168336	o__Burkholderiales	120.2277444	f__Burkholderiaceae_B	80.6114284	g__Brachymonas	30.3716924	s__Brachymonas sp017993135	4.6534824
k141_3152482_3	k141_3152482	AF133140.gene.p01	100.0	391	392	1	391	391	1	391	5.1600000000000005e-276	747.0		tetracycline	tetracycline__tet(G)	tet(G)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	49.613895	unmob	bin_37	Hi-C	bin_37	0.054961637	5.196686	1.7027318	3774.0232	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Neisseria	s__			p__Actinomycetota	27.189606599999998	c__Actinomycetia	27.189606599999998	o__Mycobacteriales	5.3883886	f__Neisseriaceae	17.491877000000002	g__Neisseria	17.491877000000002	s__	95.90447359999999
k141_4558956_7	k141_4558956	U41471.1.gene1.p01	86.8	159	156	1	155	195	37	195	3.29e-102	290.0		aminoglycoside	aminoglycoside__AAC(2')-Ib	AAC(2')-Ib	Enzymatic inactivation	Acetyltransferases	AAC(2')	Yes	Yes	Yes	IV	genome	4.839979		bin_1	Binning	bin_1	0.05698914	5.3883886	1.7587943	3898.2822	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium mageritense	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium mageritense			p__Bacillota_C	30.88196	c__Negativicutes	30.88196	o__Flavobacteriales	22.307486	f__Mycobacteriaceae	5.3883886	g__Mycobacterium	5.3883886	s__Mycobacterium mageritense	5.3883886
k141_5328994_6	k141_5328994	YP_002552549	83.9	274	275	1	274	274	1	274	8.06e-164	454.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	7.93888		bin_17	Binning	bin_17	0.19602531	18.534418	6.088248	13494.31	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia beijingensis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Ottowia	s__Ottowia beijingensis			p__Bacillota_A	62.736051	c__Clostridia	62.736051	o__Propionibacteriales	21.801218	f__Chitinibacteraceae	5.54265	g__Ottowia	18.534418	s__Ottowia beijingensis	18.534418
k141_2770458_3	k141_2770458	AY339985.2.gene4.p01	96.0	124	127	1	124	323	198	321	2.05e-78	233.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	30.010578	unmob	bin_27	Hi-C	bin_27	0.13003746	12.295191	3.9829004	8827.906	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria suis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Neisseria	s__Neisseria suis			p__Campylobacterota	31.092995	c__Campylobacteria	31.092995	o__Selenomonadales	30.88196	f__Weeksellaceae	22.307486	g__Formivibrio	5.54265	s__Neisseria suis	12.295191
k141_721401_1	k141_721401	gi|237823426|pdb|2V50|A	87.1	31	31	1	31	1052	1	31	9.68e-12	54.7	multicomponent system	multidrug	multidrug__MexB	MexB	Efflux pump			Yes	Yes	Yes	IV	genome	4.4671907		bin_73	Binning	bin_73	0.058620658	5.54265	1.892418	4194.453	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Chitinibacteraceae;g__Formivibrio;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Chitinibacteraceae	g__Formivibrio	s__							o__Thiotrichales	4.0772166	f__Propionibacteriaceae	21.801218	g__JABCPE02	12.998435	s__Micropruina glycogenica	21.801218
k141_2702695_7	k141_2702695	AGC41079.1	93.7	255	261	6	260	255	1	255	1.4899999999999999e-176	484.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(H)	lnu(H)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	IV	plasmid	10.192254	unmob	bin_79	Binning	bin_79	0.13747518	12.998435	4.2619066	9446.3125	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__JABCPE02;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__JABCPE02	s__							o__Lachnospirales	45.793146	f__Tannerellaceae	36.321274	g__Micropruina	21.801218	s__Epilithonimonas vandammei	9.309051
k141_2480118_1	k141_2480118	GQ244501.1.gene1.p01	82.8	29	29	1	29	519	327	355	1.22e-11	54.3		tetracycline	tetracycline__tet(43)	tet(43)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	32.587955		bin_15	Binning	bin_15	0.23057592	21.801218	7.0494328	15624.731	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Micropruina;s__Micropruina glycogenica	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__Micropruina	s__Micropruina glycogenica							o__Pseudomonadales	50.863375000000005	f__JAGPMH01	30.88196	g__Epilithonimonas	9.309051	s__Macellibacteroides fermentans	36.321274
k141_2348376_2	k141_2348376	gb|ADZ12699.1|ARO:3005091|RanA	81.0	258	271	1	258	258	1	258	1.14e-149	417.0		multidrug	multidrug__RanA								IV	genome	9.252151		bin_70	Binning	bin_70	0.09845519	9.309051	3.1021264	6875.715	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Epilithonimonas;s__Epilithonimonas vandammei	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Epilithonimonas	s__Epilithonimonas vandammei							o__Peptostreptococcales	16.942905	f__Thiotrichaceae	4.0772166	g__Macellibacteroides	36.321274	s__JAGPMH01 sp018052945	30.88196
