qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage
k141_1229716_1	k141_1229716	AF024666.2.gene33.p01	100.0	149	149	1	149	391	7	155	7.87e-87	257.0		chloramphenicol	chloramphenicol__cmx	cmx	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	6.4535074
k141_4513497_1	k141_4513497	AM778091.1.gene1.p01	94.9	98	100	2	99	262	165	262	3.52e-63	191.0		beta_lactam	beta_lactam__VIM-18	VIM	Enzymatic inactivation	Class B1 beta-lactamase		Yes	Yes	Yes	III	plasmid	5.2247243
k141_4513497_3	k141_4513497	FJ503047.1.gene1.p01	100.0	165	166	1	165	172	8	172	2.89e-123	342.0		aminoglycoside	aminoglycoside__AAC(6')-Ib-Hangzhou	AAC(6')-Ib-Hangzhou	Enzymatic inactivation	Acetyltransferases	AAC(6')	Yes	Yes	Yes	IV	plasmid	5.2247243
k141_2057069_2	k141_2057069	AB114632.1.gene2.p01	92.5	265	292	27	291	265	1	265	4.7799999999999994e-172	475.0		aminoglycoside	aminoglycoside__aadA7	aadA7	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	IV	genome	2.3092353
k141_3287467_6	k141_3287467	BAB71966	81.5	287	295	5	290	420	30	316	5.11e-160	451.0		tetracycline	tetracycline__tetA(P)	tetA(P)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	4.2884517
k141_6390725_3	k141_6390725	BAB71966	99.8	420	421	1	420	420	1	420	1.72e-291	789.0		tetracycline	tetracycline__tetA(P)	tetA(P)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	1.3205996
k141_4928353_24	k141_4928353	gb|ADV91011.1|ARO:3000245|RbpA	97.3	112	113	1	112	114	1	112	2.6100000000000002e-79	227.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	8.812431
k141_6184980_7	k141_6184980	gb|ADV91011.1|ARO:3000245|RbpA	91.9	111	112	1	111	114	1	111	2.82e-76	219.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	2.6432762
k141_5779873_8	k141_5779873	gb|ADV91011.1|ARO:3000245|RbpA	92.0	112	113	1	112	114	1	112	2.07e-76	219.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	50.48725
k141_4166324_5	k141_4166324	gb|ADV91011.1|ARO:3000245|RbpA	96.4	111	112	1	111	114	1	111	4.16e-78	224.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	1.9055433
