qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	sh-ads_579814-checked_1.fq Relative Abundance (%)	sh-ads_579814-checked_1.fq Mean	sh-ads_579814-checked_1.fq RPKM	sh-ads_579814-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_3699164_4	k141_3699164	U19459.gene.p01	82.0	211	212	1	211	212	1	211	5.1199999999999996e-136	378.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	IV	genome	5.81144		bin_17	Binning	bin_17	0.13568088	7.5336165	1.3076155	4781.5483	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__Desulfatiglandaceae;g__JAFGMQ01;s__	d__Bacteria	p__Desulfobacterota	c__DSM-4660	o__Desulfatiglandales	f__Desulfatiglandaceae	g__JAFGMQ01	s__	d__Bacteria	340.9997927	p__Desulfobacterota	7.5336165	c__DSM-4660	7.5336165	o__Desulfatiglandales	7.5336165	f__Desulfatiglandaceae	7.5336165	g__JAFGMQ01	7.5336165	s__	64.8584883
k141_2716992_4	k141_2716992	gb|ACJ63262.1|ARO:3003107|mefB	90.2	399	401	1	399	409	7	405	3.98e-257	701.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	genome	7.682698		bin_46	Binning	bin_46	0.08823619	4.8992724	0.8551635	3127.0718	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__;s__	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-138	g__	s__	d__Archaea	2.8007803	p__Bacillota_A	14.9836402	c__Clostridia	14.9836402	o__Christensenellales	4.8992724	f__CAG-138	4.8992724	g__	4.8992724	s__Ruminococcus flavefaciens_H	4.1127844
k141_1522468_5	k141_1522468	gb|ACJ63262.1|ARO:3003107|mefB	97.3	409	410	1	409	409	1	409	3.5400000000000003e-283	767.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	plasmid	5.7481823	unmob	bin_91	Binning	bin_91	0.10754857	5.9715834	1.0428985	3813.5608	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UMGS1668;s__	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__UMGS1668	s__			p__Pseudomonadota	69.318871	c__Gammaproteobacteria	59.530857	o__Oscillospirales	10.084367799999999	f__Ruminococcaceae	10.084367799999999	g__UMGS1668	5.9715834	s__Ottowia sp024235955	19.05508
k141_2388230_1	k141_2388230	AJ222769.gene.p01	99.4	530	530	1	530	639	1	530	0.0	1013.0		tetracycline	tetracycline__tet(W)	tet(W)	Antibiotic target protection			Yes	Yes	Yes	IV	plasmid	13.724715	unmob	bin_66	Hi-C	bin_66	0.0740715	4.1127844	0.718783	2628.3696	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus flavefaciens_H	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus	s__Ruminococcus flavefaciens_H			p__Chloroflexota	249.163665	c__Anaerolineae	249.163665	o__Burkholderiales	38.05106	f__Burkholderiaceae_B	38.05106	g__Ruminococcus	4.1127844	s__Ottowia sp018240925	18.99598
k141_545567_21	k141_545567	YP_002552549	81.4	274	275	1	274	274	1	274	3.48e-158	439.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	16.860023		bin_28	Binning	bin_28	0.34318313	19.05508	3.3102145	12104.443	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp024235955	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Ottowia	s__Ottowia sp024235955			p__Methanobacteriota_B	2.8007803	c__Thermococci	2.8007803	o__Promineofilales	233.97746	f__Promineofilaceae	233.97746	g__Ottowia	38.05106	s__JAMLHW01 sp023954475	233.97746
k141_662530_16	k141_662530	YP_002552549	80.3	269	270	1	269	274	6	274	2.6299999999999997e-147	412.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	16.518482		bin_32	Binning	bin_32	0.34211874	18.99598	3.31368	12117.114	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp018240925	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Ottowia	s__Ottowia sp018240925					c__Alphaproteobacteria	9.788014	o__Methanofastidiosales	2.8007803	f__Methanofastidiosaceae	2.8007803	g__JAMLHW01	233.97746	s__Methanofastidiosum sp013178285	2.8007803
k141_3976611_3	k141_3976611	gb|ABW91178.1|ARO:3002613|aadA13	99.6	261	262	1	261	265	5	265	2.02e-188	515.0		aminoglycoside	aminoglycoside__aadA13	aadA13	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	IV	genome	2.1542056		bin_9	Binning	bin_9	4.2139482	233.97746	40.64477	148625.5	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__Promineofilaceae;g__JAMLHW01;s__JAMLHW01 sp023954475	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Promineofilales	f__Promineofilaceae	g__JAMLHW01	s__JAMLHW01 sp023954475							o__Rhodobacterales	9.788014	f__Rhodobacteraceae	9.788014	g__Methanofastidiosum	2.8007803		
k141_2233510_1	k141_2233510	AAY68306	96.2	79	79	1	79	405	1	79	2.13e-46	150.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	genome	19.676035		bin_141	Binning	bin_141	0.050442223	2.8007803	0.48410642	1770.2295	d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Methanofastidiosales;f__Methanofastidiosaceae;g__Methanofastidiosum;s__Methanofastidiosum sp013178285	d__Archaea	p__Methanobacteriota_B	c__Thermococci	o__Methanofastidiosales	f__Methanofastidiosaceae	g__Methanofastidiosum	s__Methanofastidiosum sp013178285							o__Anaerolineales	15.186205	f__Anaerolineaceae	15.186205	g__Paracoccus	9.788014		
k141_4106215_2	k141_4106215	AY463797.7.gene32.p01	100.0	278	279	1	278	278	1	278	1.64e-206	562.0		aminoglycoside	aminoglycoside__APH(6)-Id	APH(6)-Id	Enzymatic inactivation	Phosphotransferases	APH(6)	Yes	Yes	Yes	IV	plasmid	22.718637	unmob	bin_40	Hi-C	bin_40	0.17628273	9.788014	1.6959238	6201.4746	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__							o__JAAEPA01	21.479797	f__JAAEPA01	21.479797	g__UBA6107	15.186205		
k141_3082460_2	k141_3082460	gb|ABG65740.1|ARO:3002879|linG	81.0	273	274	1	273	273	1	273	6.710000000000001e-167	461.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__linG	linG	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	I	genome	5.424076		bin_56	Binning	bin_56	0.27350447	15.186205	2.628316	9610.946	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA6107;s__	d__Bacteria	p__Chloroflexota	c__Anaerolineae	o__Anaerolineales	f__Anaerolineaceae	g__UBA6107	s__											g__JAAEPA01	21.479797		
