qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	YL-AS_578825-checked_1.fq Relative Abundance (%)	YL-AS_578825-checked_1.fq Mean	YL-AS_578825-checked_1.fq RPKM	YL-AS_578825-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_232805_88	k141_232805	YP_002552549	81.4	274	275	1	274	274	1	274	3.48e-158	439.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	11.258177		bin_70	Binning	bin_70	0.29853413	14.278298	1.8096561	7805.894	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp024235955	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Ottowia	s__Ottowia sp024235955	d__Bacteria	346.47321079999995	p__Pseudomonadota	274.4461953	c__Gammaproteobacteria	235.01757859999998	o__Burkholderiales	65.2037966	f__Burkholderiaceae_B	65.2037966	g__Ottowia	40.087385999999995	s__Ottowia sp024235955	14.278298
k141_244353_33	k141_244353	YP_002552549	81.8	274	310	36	309	274	1	274	1.31e-155	434.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	22.809454		bin_84	Binning	bin_84	0.5396226	25.809088	3.2532575	14032.826	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Ottowia	s__			p__Bacteroidota	46.683183	c__Bacteroidia	46.683183	o__Chitinophagales	46.683183	f__JADIYW01	22.315086	g__JADJSS01	22.315086	s__	110.0909072
k141_1409068_1	k141_1409068	gb|AIK02012.1|ARO:3002579|AAC(6')-Ib8	82.4	34	43	1	34	225	1	34	1.53e-12	57.0		aminoglycoside	aminoglycoside__AAC(6')-Ib8	AAC(6')-Ib8	Enzymatic inactivation	Acetyltransferases	AAC(6')	Yes	Yes	Yes	IV	genome	18.566708		bin_115	Binning	bin_115	0.46656922	22.315086	2.8067021	12106.62	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__JADIYW01;g__JADJSS01;s__JADJSS01 sp020636535	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__JADIYW01	g__JADJSS01	s__JADJSS01 sp020636535			p__Planctomycetota	9.381433	c__Alphaproteobacteria	39.4286167	o__Sphingomonadales	13.148789	f__Sphingomonadaceae	13.148789	g__Comamonas_C	12.658636	s__JADJSS01 sp020636535	22.315086
k141_1301906_7	k141_1301906	DQ677333.1.gene1.p01	100.0	69	70	1	69	259	191	259	6.5999999999999995e-43	137.0		aminoglycoside	aminoglycoside__aadA24	aadA24	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	10.859081		bin_102	Binning	bin_102	0.26466984	12.658636	1.5932102	6872.263	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Comamonas_C;s__Comamonas_C sp001724135	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Comamonas_C	s__Comamonas_C sp001724135			p__Actinomycetota	15.9623995	c__Planctomycetia	9.381433	o__Competibacterales	89.36404	f__Competibacteraceae	89.36404	g__Sphingobium	13.148789	s__Comamonas_C sp001724135	12.658636
k141_2412147_1	k141_2412147	AY339985.2.gene4.p01	83.0	135	138	1	135	323	187	321	1.6999999999999998e-75	226.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	21.352295	unmob	bin_148	Hi-C	bin_148	0.27491805	13.148789	1.6526452	7128.632	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium sp020446425	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__Sphingobium sp020446425					c__Acidimicrobiia	15.9623995	o__Planctomycetales	9.381433	f__Planctomycetaceae	9.381433	g__Plasticicumulans	89.36404	s__Sphingobium sp020446425	13.148789
k141_1470782_13	k141_1470782	gi|505289664|ref|WP_015476766.1|	87.9	66	79	1	66	1067	982	1047	6.46e-30	108.0	multicomponent system	multidrug	multidrug__MexF	MexF	Efflux pump			Yes	Yes	Yes	IV	genome	96.08204		bin_124	Binning	bin_124	1.8684448	89.36404	11.119476	47963.504	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__Plasticicumulans;s__Plasticicumulans sp003962905	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Competibacterales	f__Competibacteraceae	g__Plasticicumulans	s__Plasticicumulans sp003962905							o__Thiotrichales	75.19265999999999	f__Thiotrichaceae	75.19265999999999	g__SXXK01	9.381433	s__Plasticicumulans sp003962905	89.36404
k141_632735_2	k141_632735	KJ363320.1.gene3.p01	100.0	28	29	1	28	259	232	259	1.07e-13	59.7		aminoglycoside	aminoglycoside__aadA2	aadA2	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	plasmid	8.520355	unmob	bin_10	Hi-C	bin_10	0.19614924	9.381433	1.1735297	5061.986	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__SXXK01	s__							o__Rhodobacterales	26.2798277	f__Rhodobacteraceae	26.2798277	g__Thiolinea	40.368727	s__OLB8 sp001567405	24.368097
k141_441080_1	k141_441080	gb|AAC09012.1|ARO:3002243|CARB-4	99.3	288	289	1	288	288	1	288	6.88e-204	556.0		beta_lactam	beta_lactam__CARB-4	CARB	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	I	plasmid	18.256655	unmob	bin_60	Binning	bin_60	0.4463831	21.349625	2.67299	11529.857	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Thiotrichales	f__Thiotrichaceae	g__Thiolinea	s__							o__Acidimicrobiales	15.9623995	f__Ilumatobacteraceae	15.9623995	g__Pseudogemmobacter	7.4358397	s__Albidovulum sp024236495	18.843988
k141_844224_1	k141_844224	AAZ14842	100.0	55	56	1	55	406	352	406	2.62e-29	104.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ere(A)	ere(A)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	I	plasmid	31.844046	unmob	bin_78	Hi-C	bin_78	0.15547034	7.4358397	0.9290309	4007.346	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudogemmobacter;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Pseudogemmobacter	s__							o__Xanthomonadales	5.257082	f__Saprospiraceae	24.368097	g__UBA668	15.9623995	s__Thiothrix nivea	34.823933
k141_464548_9	k141_464548	gi|1011069317|ref|WP_062010695.1|	80.0	30	39	1	30	614	573	602	2.92e-09	48.1		novobiocin	novobiocin__novA	novA	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	16.051287		bin_85	Binning	bin_85	0.3337457	15.9623995	1.9972181	8614.941	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__UBA668;s__	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__UBA668	s__									f__Xanthomonadaceae	5.257082	g__OLB8	24.368097	s__CAISIP01 sp024236015	6.5814366
