qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage
k141_1748833_5	k141_1748833	AAL91930	100.0	40	41	1	40	245	206	245	1.14e-22	84.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(B)	erm(B)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	I	plasmid	16.001244
k141_1150301_5	k141_1150301	AAL91930	100.0	40	41	1	40	245	206	245	1.14e-22	84.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(B)	erm(B)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	I	plasmid	35.05179
k141_3147080_18	k141_3147080	gi|556259963|ref|WP_023287443.1|	100.0	402	403	1	402	402	1	402	4.71e-289	781.0		multidrug	multidrug__mdtH	mdtH	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	III	genome	9.477859
k141_1749556_2	k141_1749556	YP_002791405	97.9	189	190	1	189	189	1	189	6e-133	369.0		trimethoprim	trimethoprim__dfrA19	dfrA19	Antibiotic target replacement	dihydrofolate reductase		Yes	Yes	Yes	IV	plasmid	0.5405405
k141_3148780_1	k141_3148780	gb|BAD89844.2|ARO:3000753|abeM	80.4	316	316	1	316	448	1	316	7.089999999999999e-170	478.0		multidrug	multidrug__abeM	abeM	Efflux pump	MATE transporter		Yes	Yes	Yes	IV	genome	21.706484
k141_3148804_1	k141_3148804	gb|BAD89844.2|ARO:3000753|abeM	81.6	316	316	1	316	448	1	316	1.2299999999999998e-170	479.0		multidrug	multidrug__abeM	abeM	Efflux pump	MATE transporter		Yes	Yes	Yes	IV	genome	19.980354
k141_1051998_3	k141_1051998	gb|BAD89844.2|ARO:3000753|abeM	81.4	338	345	1	338	448	110	447	2.7399999999999998e-189	528.0		multidrug	multidrug__abeM	abeM	Efflux pump	MATE transporter		Yes	Yes	Yes	IV	genome	15.347801
k141_4555804_16	k141_4555804	gb|BAD89844.2|ARO:3000753|abeM	82.4	125	133	2	126	448	323	447	5.88e-65	202.0		multidrug	multidrug__abeM	abeM	Efflux pump	MATE transporter		Yes	Yes	Yes	IV	genome	27.62121
k141_2515533_3	k141_2515533	gb|BAD89844.2|ARO:3000753|abeM	91.9	74	81	8	81	448	8	81	3.9300000000000005e-37	127.0		multidrug	multidrug__abeM	abeM	Efflux pump	MATE transporter		Yes	Yes	Yes	IV	genome	10.568658
k141_5062878_1	k141_5062878	gb|BAD89844.2|ARO:3000753|abeM	99.7	332	354	1	332	448	36	367	9.430000000000001e-223	613.0		multidrug	multidrug__abeM	abeM	Efflux pump	MATE transporter		Yes	Yes	Yes	IV	genome	1.1558704
k141_5094506_1	k141_5094506	gb|BAD89844.2|ARO:3000753|abeM	86.4	66	66	1	66	448	1	66	1.57e-29	106.0		multidrug	multidrug__abeM	abeM	Efflux pump	MATE transporter		Yes	Yes	Yes	IV	genome	25.427727
k141_628851_3	k141_628851	gb|BAD89844.2|ARO:3000753|abeM	85.7	49	49	1	49	448	1	49	7.32e-19	75.9		multidrug	multidrug__abeM	abeM	Efflux pump	MATE transporter		Yes	Yes	Yes	IV	genome	2.469967
k141_2051842_1	k141_2051842	gb|BAD89844.2|ARO:3000753|abeM	80.9	388	388	1	388	448	28	415	6.59e-218	602.0		multidrug	multidrug__abeM	abeM	Efflux pump	MATE transporter		Yes	Yes	Yes	IV	genome	3.1259842
