qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	sk-as_579852-checked_1.fq Relative Abundance (%)	sk-as_579852-checked_1.fq Mean	sk-as_579852-checked_1.fq RPKM	sk-as_579852-checked_1.fq TPM	host_taxonomy
k141_415456_11	k141_415456	YP_970399	80.2	273	275	1	273	274	1	273	6.7e-156	434.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	8.6082945		bin_55	Binning	bin_55	0.25319612	11.467354	1.3084227	5861.102	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Rubrivivax_A;s__Rubrivivax_A sp019635285
k141_2907860_3	k141_2907860	YP_002552549	80.7	269	270	1	269	274	6	274	4.55e-148	414.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	10.85979		bin_119	Binning	bin_119	0.32334912	14.644611	1.6613746	7442.156	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp018240925
k141_2716033_2	k141_2716033	YP_002552549	81.8	274	275	1	274	274	1	274	6.1e-152	424.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	3.1208103		bin_34	Binning	bin_34	0.25136346	11.384353	1.2848507	5755.5107	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__CAISIP01;s__CAISIP01 sp016790475
k141_651913_41	k141_651913	YP_002552549	80.3	274	275	1	274	274	1	274	3.87e-155	432.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	14.6335945		bin_106	Binning	bin_106	0.5395568	24.436747	2.78461	12473.706	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp020848515
k141_3252416_3	k141_3252416	YP_002552549	84.0	263	264	1	263	274	12	274	1.3599999999999998e-159	442.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	3.442268		bin_122	Binning	bin_122	0.11046283	5.0029063	0.5671178	2540.413	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__
k141_1863989_4	k141_1863989	YP_002552549	82.1	263	264	1	263	274	12	274	5.609999999999999e-152	423.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	5.726001		bin_97	Binning	bin_97	0.19342235	8.760176	0.99354	4450.579	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__
k141_10827_4	k141_10827	AY536519.1.gene1.p01	100.0	299	300	1	299	299	1	299	1.46e-215	587.0		beta_lactam	beta_lactam__VEB-3	VEB	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	I	plasmid	14.811609	unmob	bin_110	Binning	bin_110	0.35779792	16.204813	1.8283206	8189.9946	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__UBA3362 sp016710235
k141_633889_3	k141_633889	AGC41079.1	82.9	251	257	6	256	255	1	251	1.51e-152	424.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(H)	lnu(H)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	IV	genome	2.9365773		bin_96	Binning	bin_96	0.27086034	12.267374	1.3826358	6193.5396	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__JADIYW01;g__JADJSS01;s__
k141_848510_9	k141_848510	CAC47932	100.0	388	389	1	388	388	1	388	3.71e-288	778.0		tetracycline	tetracycline__tetX2	tet(X)	Enzymatic inactivation			Yes	Yes	Yes	IV	plasmid	123.691666	unmob	bin_75	Binning	bin_75	2.9635937	134.22235	15.118552	67723.81	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp001567405
k141_231267_1	k141_231267	gi|754690915|ref|WP_042068827.1|	100.0	237	237	1	237	273	1	237	3.62e-175	481.0		aminoglycoside	aminoglycoside__APH(6)-Id	APH(6)-Id	Enzymatic inactivation	Phosphotransferases	APH(6)	Yes	Yes	Yes	IV	plasmid	36.16133	unmob	bin_126	Hi-C	bin_126	0.13525775	6.1258783	0.6930757	3104.6443	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Aestuariivirga;s__
k141_231267_2	k141_231267	AF313472.2.gene15.p01	99.6	267	268	1	267	267	1	267	1.06e-201	549.0		aminoglycoside	aminoglycoside__APH(3'')-Ib	APH(3'')-Ib	Enzymatic inactivation	Phosphotransferases	APH(3'')	Yes	Yes	Yes	I	plasmid	36.16133	unmob	bin_126	Hi-C	bin_126	0.13525775	6.1258783	0.6930757	3104.6443	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Aestuariivirga;s__
k141_2126178_11	k141_2126178	YP_981592	83.7	276	278	1	276	277	1	276	9.66e-162	449.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	11.384087		bin_34	Binning	bin_34	0.25136346	11.384353	1.2848507	5755.5107	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__CAISIP01;s__CAISIP01 sp016790475
k141_1727837_18	k141_1727837	YP_981592	84.8	276	275	1	273	277	1	276	1.46e-169	468.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	5.7716584		bin_63	Binning	bin_63	0.22108209	10.0128975	1.1311426	5066.9727	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__JAHBZM01;s__
k141_2254807_3	k141_2254807	YP_981592	82.2	276	275	1	273	277	1	276	3.6500000000000005e-163	452.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	2.0479975		bin_97	Binning	bin_97	0.19342235	8.760176	0.99354	4450.579	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__
k141_1299982_2	k141_1299982	gb|AAA27459.1|ARO:3004683|aadS	85.0	287	288	1	287	287	1	287	1.02e-184	508.0		aminoglycoside	aminoglycoside__aadS	aadS	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(6)	Yes	Yes	Yes	II	genome	150.44098		bin_75	Binning	bin_75	2.9635937	134.22235	15.118552	67723.81	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp001567405
k141_2134159_6	k141_2134159	YP_985461	84.7	163	165	1	163	274	111	273	9.33e-99	284.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	4.112371		bin_82	Binning	bin_82	0.33492324	15.168809	1.704008	7633.132	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__JAABQG01;s__
k141_757910_2	k141_757910	YP_985461	83.2	273	275	1	273	274	1	273	9.390000000000001e-163	451.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	12.646385		bin_82	Binning	bin_82	0.33492324	15.168809	1.704008	7633.132	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__JAABQG01;s__
k141_2344733_1	k141_2344733	gb|AAL59753.1|ARO:3000412|sul2	100.0	271	272	1	271	271	1	271	3.6299999999999998e-186	510.0		sulfonamide	sulfonamide__sul2	sul2	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	20.014366	unmob	bin_24	Hi-C	bin_24	0.07171763	3.2481203	0.36098024	1617.017	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Nannocystis;s__
k141_1939009_1	k141_1939009	AY494717.1.gene1.p01	100.0	287	288	1	287	287	1	287	1.63e-206	563.0		beta_lactam	beta_lactam__GES-5	GES	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	notassessed	plasmid	6.1936207	unmob	bin_103	Binning	bin_103	0.17951243	8.13019	0.9190624	4116.955	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__AWTP1-18;s__
k141_2370368_3	k141_2370368	U14748.1.gene2.p01	82.5	292	295	1	292	304	11	302	8.1e-174	481.0		beta_lactam	beta_lactam__AER-1	AER-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	II	genome	3.0368085		bin_58	Binning	bin_58	0.28183982	12.764639	1.4378655	6440.944	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__;s__
k141_1126780_4	k141_1126780	Q49184	100.0	283	284	1	283	283	1	283	9.04e-202	550.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	48.710648	unmob	bin_41	Hi-C	bin_41	0.7531666	34.111217	3.818424	17104.695	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__SSSZ01;s__SSSZ01 sp009469685
k141_711009_3	k141_711009	AY463797.7.gene28.p01	100.0	399	400	1	399	399	1	399	1.7e-285	772.0		tetracycline	tetracycline__tet(A)	tet(A)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	5.7191796	unmob	bin_6	Hi-C	bin_6	0.16557129	7.4987903	0.8472097	3795.09	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Sandaracinaceae;g__JAFLCL01;s__
k141_3003308_4	k141_3003308	BAC67144	100.0	396	397	1	396	396	1	396	6.26e-275	745.0		tetracycline	tetracycline__tet(C)	tet(C)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	11.286796	unmob	bin_117	Hi-C	bin_117	0.52381146	23.723633	2.6774259	11993.575	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola;s__Tabrizicola sp016793705
k141_736998_3	k141_736998	YP_002890644	99.6	274	275	1	274	274	1	274	2.2000000000000003e-193	528.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	11.7219715		bin_128	Binning	bin_128	0.262236	11.876775	1.3423249	6012.9653	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Thauera;s__Thauera aminoaromatica
k141_1403156_7	k141_1403156	gi|1004701441|gb|AMP49834.1|	100.0	37	37	1	37	386	1	37	5.18e-19	75.5		tetracycline	tetracycline__tet(X)	tet(X)	Enzymatic inactivation			Yes	Yes	Yes	III	genome	53.627964		bin_75	Binning	bin_75	2.9635937	134.22235	15.118552	67723.81	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp001567405
