qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	swh-e_579360-checked_1.fq Relative Abundance (%)	swh-e_579360-checked_1.fq Mean	swh-e_579360-checked_1.fq RPKM	swh-e_579360-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_27099_4	k141_27099	gb|CCP45647.1|ARO:3003955|efpA	80.1	534	534	1	533	530	1	530	3.8899999999999994e-282	775.0		multidrug	multidrug__efpA	efpA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	23.037748		bin_25	Binning	bin_25	0.4352374	22.64447	4.870238	19373.86	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__	d__Bacteria	96.79660409999998	p__Actinomycetota	26.5027445	c__Actinomycetia	26.5027445	o__Mycobacteriales	26.5027445	f__Mycobacteriaceae	26.5027445	g__Mycobacterium	22.64447	s__	35.303848
k141_823394_3	k141_823394	YP_002552549	87.2	273	275	1	273	274	1	273	3.75e-169	467.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	4.7852626		bin_131	Binning	bin_131	0.115852386	6.027552	1.2960103	5155.5444	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Giesbergeria;s__Giesbergeria sp010020825	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Giesbergeria	s__Giesbergeria sp010020825			p__Pseudomonadota	70.2938596	c__Gammaproteobacteria	62.65732539999999	o__Burkholderiales	43.516017399999996	f__Burkholderiaceae_B	6.027552	g__Giesbergeria	6.027552	s__Giesbergeria sp010020825	6.027552
k141_4972886_4	k141_4972886	AB104852.1.gene6.p01	100.0	278	279	1	278	279	2	279	2.04e-198	541.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	41.286995	unmob	bin_127	Hi-C	bin_127	0.0689621	3.5879507	0.7623612	3032.682	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Aquaspirillaceae;g__Rivicola;s__Rivicola pingtungensis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Aquaspirillaceae	g__Rivicola	s__Rivicola pingtungensis					c__Alphaproteobacteria	7.6365342	o__Pseudomonadales	19.141308	f__Aquaspirillaceae	3.5879507	g__Rivicola	3.5879507	s__Rivicola pingtungensis	3.5879507
k141_4976995_13	k141_4976995	gb|BAD89844.2|ARO:3000753|abeM	80.8	447	453	1	447	448	1	447	5.38e-248	681.0		multidrug	multidrug__abeM	abeM	Efflux pump	MATE transporter		Yes	Yes	Yes	IV	genome	13.480519		bin_78	Binning	bin_78	0.36790496	19.141308	4.1587257	16543.463	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp003987695	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter sp003987695							o__Sphingomonadales	7.6365342	f__Moraxellaceae	19.141308	g__Acinetobacter	19.141308	s__Acinetobacter sp003987695	19.141308
k141_91512_2	k141_91512	YP_002890644	99.3	274	275	1	274	274	1	274	1.27e-192	526.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	16.663113		bin_93	Binning	bin_93	0.30026266	15.6220255	3.356321	13351.483	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Thauera;s__Thauera aminoaromatica	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Thauera	s__Thauera aminoaromatica									f__Rhodocyclaceae	29.886280199999998	g__Thauera	15.6220255	s__Thauera aminoaromatica	15.6220255
k141_4988089_18	k141_4988089	FM897214.1.orf2.gene.p01	89.3	150	151	1	150	150	1	150	1.9900000000000001e-103	291.0		rifamycin	rifamycin__arr-3	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	3.6254663		bin_100	Binning	bin_100	0.07715548	4.0142345	0.86590993	3444.5996	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Nitrosomonadaceae	g__Nitrosomonas	s__									f__Nitrosomonadaceae	4.0142345	g__Nitrosomonas	4.0142345	s__Skermania piniformis	3.8582745
k141_824065_1	k141_824065	EU675686.2.gene7.p01	100.0	27	27	1	27	121	1	27	4.42e-13	55.8		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	2.9713275	unmob	bin_111	Hi-C	bin_111	0.062986515	3.2770538	0.6984403	2778.404	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__JADCGM01;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__JADCGM01	s__									f__Sphingomonadaceae	7.6365342	g__JADCGM01	3.2770538	s__Sphingobium xenophagum	4.3594804
k141_4683528_3	k141_4683528	gb|ADV91011.1|ARO:3000245|RbpA	89.5	114	115	1	114	114	1	114	7.53e-75	216.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	3.4581833		bin_54	Binning	bin_54	0.07415785	3.8582745	0.8348695	3321.1213	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Skermania;s__Skermania piniformis	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Skermania	s__Skermania piniformis											g__Skermania	3.8582745	s__SSSZ01 sp009469685	8.896165
k141_180643_4	k141_180643	gb|WP_007708339.1|ARO:3006991|SGM-5	89.2	260	261	1	260	326	67	326	6.010000000000001e-163	453.0		beta_lactam	beta_lactam__SGM-5								IV	genome	4.342125		bin_61	Binning	bin_61	0.08379126	4.3594804	0.9333013	3712.684	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium xenophagum	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__Sphingobium xenophagum											g__Sphingobium	4.3594804		
k141_3670157_1	k141_3670157	gi|808041102|ref|WP_046203752.1|	100.0	51	51	1	51	283	1	51	3.02e-28	99.8		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	51.01104	unmob	bin_40	Hi-C	bin_40	0.17098847	8.896165	1.9117726	7605.0522	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__SSSZ01;s__SSSZ01 sp009469685	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__SSSZ01	s__SSSZ01 sp009469685											g__SSSZ01	8.896165		
