qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage
k141_1643112_1	k141_1643112	gi|694076105|ref|WP_032421853.1|	83.1	497	509	1	497	1036	540	1036	5.05e-286	803.0	multicomponent system	multidrug	multidrug__acrF	acrF	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	1.016785
k141_178830_1	k141_178830	gi|694076105|ref|WP_032421853.1|	99.4	361	361	1	361	1036	162	522	4.38e-235	666.0	multicomponent system	multidrug	multidrug__acrF	acrF	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	1.4079229
k141_1643790_2	k141_1643790	YP_001563294	81.8	209	245	38	245	275	4	211	7.750000000000001e-110	316.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	4.1253457
k141_1643812_3	k141_1643812	gb|AAL19305.1|ARO:3000790|mdsB	83.6	61	81	1	61	1055	981	1041	3.77e-25	95.5	multicomponent system	multidrug	multidrug__mdsB	mdsB	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	1.6102151
k141_2207417_1	k141_2207417	gb|AAL19305.1|ARO:3000790|mdsB	84.9	139	140	1	139	1055	920	1055	4.4300000000000004e-66	214.0	multicomponent system	multidrug	multidrug__mdsB	mdsB	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	2.2180214
k141_2567819_1	k141_2567819	gb|AAL19305.1|ARO:3000790|mdsB	80.6	465	465	1	465	1055	554	1018	8.19e-261	737.0	multicomponent system	multidrug	multidrug__mdsB	mdsB	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	1.2028869
k141_1581234_1	k141_1581234	gb|AAL19305.1|ARO:3000790|mdsB	81.7	431	431	1	431	1055	438	868	7.89e-243	690.0	multicomponent system	multidrug	multidrug__mdsB	mdsB	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	2.551965
k141_3012365_1	k141_3012365	gb|AAC74000.1|ARO:3003950|msbA	89.3	215	217	1	215	582	367	581	1.19e-128	373.0		multidrug	multidrug__msbA	msbA	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	1.0871288
k141_3691961_2	k141_3691961	gb|AAC74000.1|ARO:3003950|msbA	91.6	227	228	1	227	582	1	227	5.67e-138	397.0		multidrug	multidrug__msbA	msbA	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	2.0692236
k141_1603066_1	k141_1603066	gb|AAC74000.1|ARO:3003950|msbA	90.3	352	352	1	352	582	1	352	2.2300000000000002e-217	605.0		multidrug	multidrug__msbA	msbA	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	0.55487055
k141_1919625_2	k141_1919625	M29695.1.gene2.p01	100.0	172	173	1	172	184	13	184	4.86e-131	363.0		aminoglycoside	aminoglycoside__AAC(6')-IIa	AAC(6')-IIa-32	Enzymatic inactivation	Acetyltransferases	AAC(6')	Yes	Yes	Yes	IV	genome	3.2315164
k141_1919625_3	k141_1919625	gi|551485182|gb|AGY30825.1|	100.0	266	320	54	319	266	1	266	3.39e-200	547.0		beta_lactam	beta_lactam__OXA-119	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	III	genome	3.2315164
k141_2193824_1	k141_2193824	ZP_03003660	83.3	36	44	9	44	408	10	45	1.47e-15	66.2		multidrug	multidrug__Escherichia coli mdfA	Escherichia coli mdfA	Efflux pump			Yes	Yes	Yes	III	genome	1.2820513
