qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage
k141_2936478_3	k141_2936478	gb|AAC75271.1|ARO:3003952|yojI	86.5	251	251	1	251	547	1	251	1.15e-146	419.0		other_peptide_antibiotics	other_peptide_antibiotics__microcin efflux pumu gene yojI	microcin efflux pumu gene yojI	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	3.9396286
k141_3193006_1	k141_3193006	gb|AAC75271.1|ARO:3003952|yojI	87.5	279	279	1	279	547	1	279	8.700000000000001e-167	472.0		other_peptide_antibiotics	other_peptide_antibiotics__microcin efflux pumu gene yojI	microcin efflux pumu gene yojI	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	12.54905
k141_2972714_1	k141_2972714	gb|AAC75271.1|ARO:3003952|yojI	84.1	446	447	1	446	547	102	547	1.77e-271	744.0		other_peptide_antibiotics	other_peptide_antibiotics__microcin efflux pumu gene yojI	microcin efflux pumu gene yojI	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	48.38393
k141_2748184_1	k141_2748184	gb|AAC75271.1|ARO:3003952|yojI	85.5	69	69	1	69	547	1	69	2.5500000000000003e-27	100.0		other_peptide_antibiotics	other_peptide_antibiotics__microcin efflux pumu gene yojI	microcin efflux pumu gene yojI	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	3.2040403
k141_3430201_1	k141_3430201	gb|AAC75271.1|ARO:3003952|yojI	87.6	338	354	17	354	547	1	338	2.3799999999999998e-204	570.0		other_peptide_antibiotics	other_peptide_antibiotics__microcin efflux pumu gene yojI	microcin efflux pumu gene yojI	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	1.6681223
k141_45629_4	k141_45629	gb|AAC75271.1|ARO:3003952|yojI	99.8	547	548	1	547	547	1	547	0.0	1057.0		other_peptide_antibiotics	other_peptide_antibiotics__microcin efflux pumu gene yojI	microcin efflux pumu gene yojI	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	16.989897
k141_1624749_3	k141_1624749	gb|AAC75271.1|ARO:3003952|yojI	87.1	279	279	1	279	547	1	279	1.2300000000000001e-166	471.0		other_peptide_antibiotics	other_peptide_antibiotics__microcin efflux pumu gene yojI	microcin efflux pumu gene yojI	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	48.799526
k141_1630493_2	k141_1630493	gb|AAC75271.1|ARO:3003952|yojI	86.2	239	239	1	239	547	1	239	2.13e-138	398.0		other_peptide_antibiotics	other_peptide_antibiotics__microcin efflux pumu gene yojI	microcin efflux pumu gene yojI	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	1.6703703
k141_1014500_2	k141_1014500	gb|AAC75271.1|ARO:3003952|yojI	81.3	477	478	1	477	547	71	547	1.22e-284	779.0		other_peptide_antibiotics	other_peptide_antibiotics__microcin efflux pumu gene yojI	microcin efflux pumu gene yojI	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	4.8403363
k141_1927365_1	k141_1927365	gb|AAC75271.1|ARO:3003952|yojI	90.0	369	369	1	369	547	1	369	4.68e-232	641.0		other_peptide_antibiotics	other_peptide_antibiotics__microcin efflux pumu gene yojI	microcin efflux pumu gene yojI	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	10.843101
k141_2455663_1	k141_2455663	gb|AAC75271.1|ARO:3003952|yojI	81.6	228	229	1	228	547	320	547	3.66e-131	379.0		other_peptide_antibiotics	other_peptide_antibiotics__microcin efflux pumu gene yojI	microcin efflux pumu gene yojI	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	6.4509373
k141_662434_2	k141_662434	gb|AAC75271.1|ARO:3003952|yojI	86.5	547	566	19	565	547	1	547	0.0	931.0		other_peptide_antibiotics	other_peptide_antibiotics__microcin efflux pumu gene yojI	microcin efflux pumu gene yojI	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	5.030551
k141_225947_1	k141_225947	CAM88389	100.0	187	188	1	187	187	1	187	3.2299999999999998e-136	377.0		trimethoprim	trimethoprim__dfrA10	dfrA10	Antibiotic target replacement	dihydrofolate reductase		Yes	Yes	Yes	III	plasmid	225.63521
k141_225947_2	k141_225947	gb|AAC44316.1|ARO:3005010|qacEdelta1	100.0	115	116	1	115	115	1	115	3.57e-78	224.0		multidrug	multidrug__qacEdelta1								IV	plasmid	225.63521
k141_225947_3	k141_225947	AB104852.1.gene6.p01	100.0	279	280	1	279	279	1	279	3.6799999999999997e-199	543.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	225.63521
k141_355_3	k141_355	gi|695837579|ref|WP_032750956.1|	98.2	512	513	1	512	512	1	512	0.0	980.0	multicomponent system	multidrug	multidrug__emrB	emrB	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	III	genome	5.610181
k141_355_4	k141_355	gi|797196726|ref|WP_045857723.1|	94.8	155	156	1	155	390	236	390	4.3e-101	294.0	multicomponent system	multidrug	multidrug__emrA	emrA	Efflux pump			Yes	Yes	Yes	IV	genome	5.610181
k141_2729984_4	k141_2729984	gi|797196726|ref|WP_045857723.1|	93.3	45	45	1	45	390	1	45	1.17e-20	80.5	multicomponent system	multidrug	multidrug__emrA	emrA	Efflux pump			Yes	Yes	Yes	IV	genome	3.5983605
k141_2259299_14	k141_2259299	ZP_02775049	99.8	410	411	1	410	410	1	410	1.31e-290	786.0		multidrug	multidrug__Escherichia coli mdfA	Escherichia coli mdfA	Efflux pump			Yes	Yes	Yes	III	plasmid	16.731081
k141_1581775_5	k141_1581775	gb|AAF74725.1|ARO:3004659|Mef(En2)	99.5	401	402	1	401	401	1	401	1.1e-282	765.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(En2)	mef(En2)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	III	genome	14.484583
k141_2485160_2	k141_2485160	gb|AEA37904.1|ARO:3003112|lsaC	93.6	298	298	1	298	492	1	298	4.27e-198	550.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lsa(C)	lsa(C)	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	genome	3.859434
k141_2034922_1	k141_2034922	gi|391322939|gb|EIQ79610.1|	96.6	58	58	1	58	393	1	58	3.3999999999999996e-30	107.0		multidrug	multidrug__mdtL	mdtL	Efflux pump			Yes	Yes	Yes	III	genome	3.3680763
k141_2858218_2	k141_2858218	gi|391322939|gb|EIQ79610.1|	92.0	88	88	1	88	393	1	88	5.71e-48	155.0		multidrug	multidrug__mdtL	mdtL	Efflux pump			Yes	Yes	Yes	III	genome	5.0612717
k141_172063_4	k141_172063	gi|391322939|gb|EIQ79610.1|	91.0	312	313	1	312	393	82	393	9.41e-192	531.0		multidrug	multidrug__mdtL	mdtL	Efflux pump			Yes	Yes	Yes	III	genome	5.752287
k141_2938788_3	k141_2938788	gi|447196024|ref|WP_001273280.1|	88.6	1004	1005	1	1004	1037	34	1037	0.0	1716.0	multicomponent system	multidrug	multidrug__acrF	acrF	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	8.276181
k141_3410704_6	k141_3410704	gi|447196024|ref|WP_001273280.1|	88.5	1037	1038	1	1037	1037	1	1037	0.0	1767.0	multicomponent system	multidrug	multidrug__acrF	acrF	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	21.545279
k141_2752112_4	k141_2752112	gi|447196024|ref|WP_001273280.1|	88.3	437	437	1	437	1037	1	437	2.12e-256	724.0	multicomponent system	multidrug	multidrug__acrF	acrF	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	6.712129
k141_71437_2	k141_71437	gi|447196024|ref|WP_001273280.1|	92.4	368	369	1	368	1037	1	368	1.57e-224	640.0	multicomponent system	multidrug	multidrug__acrF	acrF	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	21.197954
k141_792952_9	k141_792952	gi|447196024|ref|WP_001273280.1|	80.8	1038	1050	1	1038	1037	1	1037	0.0	1618.0	multicomponent system	multidrug	multidrug__acrF	acrF	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	20.432135
