qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage
k141_2899884_1	k141_2899884	NC_010558.1.6275994.p01	100.0	262	263	1	262	262	1	262	1.19e-191	523.0		aminoglycoside	aminoglycoside__aadA5	aadA5	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	2.3309572
k141_415456_11	k141_415456	YP_970399	80.2	273	275	1	273	274	1	273	6.7e-156	434.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	8.6082945
k141_209516_1	k141_209516	gb|AAA88548.1|ARO:3002597|AAC(6')-Ie-APH(2'')-Ia	99.8	421	421	1	421	479	16	436	1.04e-319	863.0		aminoglycoside	aminoglycoside__AAC(6')-Ie-APH(2'')-Ia	AAC(6')-Ie-APH(2'')-Ia	Enzymatic inactivation	Acetyltransferases	AAC(6')	Yes	Yes	Yes	I	plasmid	1.72287
k141_417345_1	k141_417345	gb|AAP43110.2|ARO:3003923|oqxB	83.6	67	67	1	67	1050	1	67	9.889999999999999e-30	107.0	multicomponent system	multidrug	multidrug__oqxB	oqxB	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	37.924034
k141_1528757_3	k141_1528757	gb|AAP43110.2|ARO:3003923|oqxB	82.9	35	35	1	35	1050	1	35	6.27e-12	55.5	multicomponent system	multidrug	multidrug__oqxB	oqxB	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	39.24379
k141_1984321_3	k141_1984321	gb|AAP43110.2|ARO:3003923|oqxB	82.5	137	156	1	136	1050	911	1047	2.92e-65	213.0	multicomponent system	multidrug	multidrug__oqxB	oqxB	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	6.5892296
k141_2077727_1	k141_2077727	gi|852273548|ref|WP_048328542.1|	80.3	351	351	1	351	1043	478	828	1.53e-194	562.0	multicomponent system	multidrug	multidrug__MexD	MexD	Efflux pump			Yes	Yes	Yes	IV	plasmid	2.2132597
k141_1664292_2	k141_1664292	gi|1028096845|ref|WP_063853563.1|	99.1	316	317	1	316	405	1	316	2.76e-211	581.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	plasmid	3.2897766
k141_2907860_3	k141_2907860	YP_002552549	80.7	269	270	1	269	274	6	274	4.55e-148	414.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	10.85979
k141_3128208_8	k141_3128208	YP_002552549	87.5	273	275	1	273	274	1	273	2.2699999999999997e-170	470.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	16.884228
k141_1679197_9	k141_1679197	YP_002552549	80.3	269	270	1	269	274	6	274	1.29e-154	430.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	24.14665
k141_2716033_2	k141_2716033	YP_002552549	81.8	274	275	1	274	274	1	274	6.1e-152	424.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	3.1208103
k141_651913_41	k141_651913	YP_002552549	80.3	274	275	1	274	274	1	274	3.87e-155	432.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	14.6335945
k141_687842_4	k141_687842	YP_002552549	80.7	274	277	3	276	274	1	274	1.26e-156	436.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	17.601683
k141_3252416_3	k141_3252416	YP_002552549	84.0	263	264	1	263	274	12	274	1.3599999999999998e-159	442.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	3.442268
k141_1863989_4	k141_1863989	YP_002552549	82.1	263	264	1	263	274	12	274	5.609999999999999e-152	423.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	5.726001
k141_216785_1	k141_216785	ACI02941	96.0	101	101	1	101	386	1	101	5.49e-62	191.0		tetracycline	tetracycline__tet(X3)	tet(X)	Enzymatic inactivation			Yes	Yes	Yes	IV	genome	2.0644987
k141_2081487_1	k141_2081487	gi|426206800|emb|CCP09090.1|	99.6	273	275	2	274	276	4	276	3.01e-196	536.0		beta_lactam	beta_lactam__OXA-10	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	I	genome	16.35892
k141_10827_4	k141_10827	AY536519.1.gene1.p01	100.0	299	300	1	299	299	1	299	1.46e-215	587.0		beta_lactam	beta_lactam__VEB-3	VEB	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	I	plasmid	14.811609
k141_2290362_1	k141_2290362	gb|CCP45647.1|ARO:3003955|efpA	80.6	237	237	1	236	530	294	530	7.62e-124	360.0		multidrug	multidrug__efpA	efpA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	3.7970574
k141_1080139_1	k141_1080139	gb|CCP45647.1|ARO:3003955|efpA	82.3	254	248	1	248	530	1	252	3.45e-128	372.0		multidrug	multidrug__efpA	efpA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	3.744417
k141_1914055_8	k141_1914055	gb|CCP45647.1|ARO:3003955|efpA	80.1	534	534	1	533	530	1	530	3.8899999999999994e-282	775.0		multidrug	multidrug__efpA	efpA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	3.172271
k141_633889_3	k141_633889	AGC41079.1	82.9	251	257	6	256	255	1	251	1.51e-152	424.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(H)	lnu(H)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	IV	genome	2.9365773
k141_254806_3	k141_254806	AGC41079.1	92.7	110	115	6	115	255	1	110	2.41e-71	212.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(H)	lnu(H)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	IV	genome	6.8075686
k141_2366293_2	k141_2366293	AGC41079.1	82.0	250	257	6	255	255	1	250	9.289999999999999e-147	409.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(H)	lnu(H)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	IV	genome	3.2477436
k141_227645_1	k141_227645	AJ420072.gene.p01	99.4	349	350	1	349	407	59	407	5.519999999999999e-241	657.0		tetracycline	tetracycline__tet(33)	tet(33)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	1.1503067
k141_847867_2	k141_847867	AF133140.gene.p01	95.8	361	362	1	361	391	31	391	1.9700000000000002e-247	674.0		tetracycline	tetracycline__tet(G)	tet(G)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	22.8851
k141_848510_9	k141_848510	CAC47932	100.0	388	389	1	388	388	1	388	3.71e-288	778.0		tetracycline	tetracycline__tetX2	tet(X)	Enzymatic inactivation			Yes	Yes	Yes	IV	plasmid	123.691666
k141_1678252_4	k141_1678252	gi|730661043|ref|WP_034065992.1|	99.0	404	405	1	404	404	1	404	1.2200000000000001e-276	750.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	4.8921475
k141_231267_1	k141_231267	gi|754690915|ref|WP_042068827.1|	100.0	237	237	1	237	273	1	237	3.62e-175	481.0		aminoglycoside	aminoglycoside__APH(6)-Id	APH(6)-Id	Enzymatic inactivation	Phosphotransferases	APH(6)	Yes	Yes	Yes	IV	plasmid	36.16133
k141_231267_2	k141_231267	AF313472.2.gene15.p01	99.6	267	268	1	267	267	1	267	1.06e-201	549.0		aminoglycoside	aminoglycoside__APH(3'')-Ib	APH(3'')-Ib	Enzymatic inactivation	Phosphotransferases	APH(3'')	Yes	Yes	Yes	I	plasmid	36.16133
k141_1266587_9	k141_1266587	AM412777.1.gene1.p01	99.6	266	267	1	266	266	1	266	1.33e-190	521.0		beta_lactam	beta_lactam__OXA-101	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	IV	genome	24.853474
k141_2302238_3	k141_2302238	AY339985.2.gene4.p01	90.3	31	34	1	31	323	291	321	1.91e-14	62.4		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	2.1279864
k141_246810_1	k141_246810	AY339985.2.gene4.p01	83.7	135	138	1	135	323	187	321	2.98e-76	228.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	1.1428572
k141_2525648_2	k141_2525648	AY339985.2.gene4.p01	94.6	147	160	12	158	323	176	322	3.55e-96	279.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	genome	0.996124
k141_1086981_2	k141_1086981	AY339985.2.gene4.p01	91.8	61	64	1	61	323	261	321	8.800000000000001e-35	118.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	1.2935673
k141_647172_2	k141_647172	AF090987.gene.p01	87.7	292	302	1	292	394	1	292	8.92e-178	495.0		tetracycline	tetracycline__tet(30)	tet(30)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	0.9550562
k141_2512329_3	k141_2512329	gb|AAZ42322.1|ARO:3003836|qacH	92.7	110	111	1	110	110	1	110	3.01e-70	204.0		multidrug	multidrug__qacH	qacH	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	2.4218094
k141_1836849_1	k141_1836849	gb|AAZ42322.1|ARO:3003836|qacH	99.1	110	111	1	110	110	1	110	5.4000000000000005e-73	211.0		multidrug	multidrug__qacH	qacH	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	3.3171616
k141_654633_1	k141_654633	gb|ADV91011.1|ARO:3000245|RbpA	87.7	57	58	1	57	114	56	112	3.4e-33	108.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	1.3508772
k141_2753681_21	k141_2753681	gb|ADV91011.1|ARO:3000245|RbpA	92.0	112	113	1	112	114	1	112	3.44e-75	216.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	3.7363052
k141_339802_5	k141_339802	gb|ADV91011.1|ARO:3000245|RbpA	92.9	112	113	1	112	114	1	112	7.21e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	3.3729308
k141_1282541_1	k141_1282541	EEQ96502	87.8	49	54	6	54	296	35	83	2.07e-23	87.4		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	21.949743
k141_659900_1	k141_659900	AAA27431	99.6	266	267	1	266	266	1	266	6.86e-193	526.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(F)	erm(F)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	II	genome	3.093925
k141_659900_2	k141_659900	gb|AET35493.1|ARO:3001777|OXA-347	92.0	274	275	1	274	274	1	274	4.77e-188	515.0		beta_lactam	beta_lactam__OXA-347	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	II	genome	3.093925
k141_2939955_1	k141_2939955	ABE98197	100.0	218	219	1	218	218	1	218	3.42e-112	318.0		quinolone	quinolone__QnrS2	QnrS family	Antibiotic target protection			Yes	Yes	Yes	I	plasmid	3.1218405
k141_3150894_1	k141_3150894	gb|AAG05915.1|ARO:3004074|MuxB	80.3	157	173	1	157	1043	864	1020	5.34e-74	238.0	multicomponent system	multidrug	multidrug__MuxB	MuxB	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	4.5197673
k141_1718248_1	k141_1718248	gb|AAG05915.1|ARO:3004074|MuxB	84.8	79	104	2	80	1043	941	1019	8.12e-36	127.0	multicomponent system	multidrug	multidrug__MuxB	MuxB	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	7.0002465
k141_2180173_2	k141_2180173	gb|AAG05915.1|ARO:3004074|MuxB	82.7	133	144	2	134	1043	887	1019	5.95e-61	200.0	multicomponent system	multidrug	multidrug__MuxB	MuxB	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	1.3897281
k141_1702512_2	k141_1702512	P14171	100.0	293	294	1	293	293	1	293	3.3000000000000003e-209	570.0		beta_lactam	beta_lactam__RCP-1	RCP-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	genome	2.0562377
k141_1086981_1	k141_1086981	gi|446136270|ref|WP_000214125.1|	100.0	199	199	1	199	404	1	199	4.42e-131	372.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	1.2935673
k141_2125863_1	k141_2125863	gb|AAG07064.1|ARO:3003693|mexK	82.1	117	131	2	118	1025	908	1024	5.62e-54	180.0	multicomponent system	multidrug	multidrug__mexK	mexK	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	2.5034776
k141_2126178_11	k141_2126178	YP_981592	83.7	276	278	1	276	277	1	276	9.66e-162	449.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	11.384087
k141_1727837_18	k141_1727837	YP_981592	84.8	276	275	1	273	277	1	276	1.46e-169	468.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	5.7716584
k141_2254807_3	k141_2254807	YP_981592	82.2	276	275	1	273	277	1	276	3.6500000000000005e-163	452.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	2.0479975
k141_1299982_2	k141_1299982	gb|AAA27459.1|ARO:3004683|aadS	85.0	287	288	1	287	287	1	287	1.02e-184	508.0		aminoglycoside	aminoglycoside__aadS	aadS	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(6)	Yes	Yes	Yes	II	genome	150.44098
k141_1730290_1	k141_1730290	gb|AAA27459.1|ARO:3004683|aadS	85.0	286	287	1	286	287	1	286	9.36e-183	503.0		aminoglycoside	aminoglycoside__aadS	aadS	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(6)	Yes	Yes	Yes	II	genome	2.6509695
k141_497077_3	k141_497077	gb|AAA27459.1|ARO:3004683|aadS	91.2	57	57	1	57	287	71	127	5.45e-33	112.0		aminoglycoside	aminoglycoside__aadS	aadS	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(6)	Yes	Yes	Yes	II	genome	3.8000715
k141_2033518_6	k141_2033518	gb|AAA27459.1|ARO:3004683|aadS	100.0	34	34	1	34	287	1	34	3.3e-16	67.0		aminoglycoside	aminoglycoside__aadS	aadS	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(6)	Yes	Yes	Yes	II	genome	3.834883
k141_803611_4	k141_803611	gb|AAA27459.1|ARO:3004683|aadS	100.0	34	34	1	34	287	1	34	3.3e-16	67.0		aminoglycoside	aminoglycoside__aadS	aadS	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(6)	Yes	Yes	Yes	II	genome	6.5212307
k141_2956369_2	k141_2956369	YP_966872	88.0	25	30	6	30	265	7	31	9.63e-10	48.9		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	3.4929264
k141_266650_1	k141_266650	CAI46978	100.0	293	296	3	295	293	1	293	1.63e-205	561.0		beta_lactam	beta_lactam__Other class A beta-lactamase	Other class A beta-lactamase	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	II	plasmid	14.759044
k141_2958588_4	k141_2958588	YP_985461	80.0	25	29	3	27	274	250	274	2.62e-10	50.4		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	49.869118
k141_2134159_6	k141_2134159	YP_985461	84.7	163	165	1	163	274	111	273	9.33e-99	284.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	4.112371
k141_757910_2	k141_757910	YP_985461	83.2	273	275	1	273	274	1	273	9.390000000000001e-163	451.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	12.646385
k141_1718323_1	k141_1718323	AY758206.1.gene5.p01	100.0	247	248	1	247	281	35	281	1.01e-179	493.0		aminoglycoside	aminoglycoside__aadA11	aadA-ANT(3'')-IIa	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	IV	genome	1.4976714
k141_476003_1	k141_476003	YP_294981	81.5	27	31	4	30	293	7	33	7.69e-10	49.3		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	2.137893
k141_1819007_3	k141_1819007	YP_294981	83.3	24	27	4	27	293	7	30	2.79e-08	44.7		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	8.996707
k141_480515_4	k141_480515	FM897214.1.orf2.gene.p01	92.8	83	84	1	83	150	68	150	2.6300000000000002e-56	169.0		rifamycin	rifamycin__arr-3	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	2.3683522
k141_2344733_1	k141_2344733	gb|AAL59753.1|ARO:3000412|sul2	100.0	271	272	1	271	271	1	271	3.6299999999999998e-186	510.0		sulfonamide	sulfonamide__sul2	sul2	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	20.014366
k141_67900_3	k141_67900	YP_997055	92.0	25	25	1	25	274	1	25	3.77e-09	47.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	8.945476
k141_3198499_1	k141_3198499	YP_997055	92.0	25	25	1	25	274	1	25	3.77e-09	47.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	6.7668066
k141_1939009_1	k141_1939009	AY494717.1.gene1.p01	100.0	287	288	1	287	287	1	287	1.63e-206	563.0		beta_lactam	beta_lactam__GES-5	GES	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	notassessed	plasmid	6.1936207
k141_1730921_2	k141_1730921	gi|1028097001|ref|WP_063853698.1|	97.5	281	282	1	281	408	128	408	8.489999999999999e-188	520.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	plasmid	2.3795123
k141_3181330_2	k141_3181330	U14748.1.gene2.p01	81.2	303	312	9	311	304	2	304	2.88e-176	488.0		beta_lactam	beta_lactam__AER-1	AER-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	II	plasmid	4.284127
k141_2370368_3	k141_2370368	U14748.1.gene2.p01	82.5	292	295	1	292	304	11	302	8.1e-174	481.0		beta_lactam	beta_lactam__AER-1	AER-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	II	genome	3.0368085
k141_2771701_2	k141_2771701	gi|488250641|ref|WP_002321849.1|	99.6	245	246	1	245	245	1	245	4.62e-176	482.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(B)	erm(B)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	I	plasmid	1.9258621
k141_1124724_68	k141_1124724	ZP_03028124	100.0	263	264	1	263	335	73	335	6.97e-188	516.0		aminoglycoside	aminoglycoside__aadA	aadA-ANT(3'')-IIa	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	IV	genome	15.94073
k141_1126780_4	k141_1126780	Q49184	100.0	283	284	1	283	283	1	283	9.04e-202	550.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	48.710648
k141_711009_3	k141_711009	AY463797.7.gene28.p01	100.0	399	400	1	399	399	1	399	1.7e-285	772.0		tetracycline	tetracycline__tet(A)	tet(A)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	5.7191796
