qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	TP-AS_578565-checked_1.fq Relative Abundance (%)	TP-AS_578565-checked_1.fq Mean	TP-AS_578565-checked_1.fq RPKM	TP-AS_578565-checked_1.fq TPM	host_taxonomy
k141_2548531_13	k141_2548531	CAC47932	100.0	388	389	1	388	388	1	388	3.71e-288	778.0		tetracycline	tetracycline__tetX2	tet(X)	Enzymatic inactivation			Yes	Yes	Yes	IV	plasmid	6.658965	unmob	bin_102	Binning	bin_102	0.16741957	7.858313	0.9576196	4254.3022	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp001567405
k141_2561031_16	k141_2561031	YP_002552549	81.4	274	275	1	274	274	1	274	3.48e-158	439.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	19.216545		bin_86	Binning	bin_86	0.4603062	21.60578	2.618085	11631.053	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp024235955
k141_1409427_15	k141_1409427	YP_002552549	80.3	274	275	1	274	274	1	274	4.25e-159	442.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	plasmid	5.6355853	unmob	bin_76	Binning	bin_76	0.13303404	6.2443314	0.76036644	3377.9897	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Hydrogenophaga;s__
k141_2078263_17	k141_2078263	YP_981592	80.9	277	278	1	277	277	1	277	2.07e-156	435.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	5.9174695		bin_36	Binning	bin_36	0.13554241	6.3620687	0.77476895	3441.9746	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__CAISIP01;s__CAISIP01 sp024236015
k141_2843696_15	k141_2843696	AAK14791	100.0	260	261	1	260	260	1	260	1.19e-190	520.0		beta_lactam	beta_lactam__NPS-1	NPS-1	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	I	genome	62.122646		bin_64	Binning	bin_64	0.41775545	19.60854	2.4088943	10701.711	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__41T-STBD-0c-01a;s__
k141_2853527_2	k141_2853527	Q49184	100.0	283	284	1	283	283	1	283	9.04e-202	550.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	65.1493	unmob	bin_130	Hi-C	bin_130	0.09723005	4.5637684	0.55514556	2466.2786	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__JACKKV01;s__JACKKV01 sp024236235
k141_3870096_1	k141_3870096	YP_997055	80.4	51	53	2	52	274	224	274	2.0299999999999998e-23	87.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	21.875875		bin_86	Binning	bin_86	0.4603062	21.60578	2.618085	11631.053	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp024235955
k141_60580_9	k141_60580	YP_002890644	94.5	274	275	1	274	274	1	274	9.62e-188	514.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	51.690083		bin_75	Binning	bin_75	1.0164127	47.70822	5.788357	25715.246	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Thauera;s__Thauera sp003963015
k141_1082917_3	k141_1082917	AF319779.2.orf0.gene.p01	97.0	266	267	1	266	266	1	266	5.8100000000000004e-185	506.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(35)	erm(35)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	IV	genome	8.114343		bin_97	Binning	bin_97	0.18047848	8.471271	1.0325805	4587.323	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Parvicellaceae;g__Parvicella;s__
k141_3398487_1	k141_3398487	AY536519.1.gene1.p01	100.0	299	300	1	299	299	1	299	1.46e-215	587.0		beta_lactam	beta_lactam__VEB-3	VEB	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	I	plasmid	11.505112	unmob	bin_112	Hi-C	bin_112	0.09022027	4.234745	0.51363784	2281.878	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__LD1-PB3_A;f__CAIVKH01;g__JACKPT01;s__JACKPT01 sp024233345
