qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	sk-e_577737-checked_1.fq Relative Abundance (%)	sk-e_577737-checked_1.fq Mean	sk-e_577737-checked_1.fq RPKM	sk-e_577737-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_3908_4	k141_3908	YP_985461	83.2	273	275	1	273	274	1	273	9.39e-163	451.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	4.310898		bin_53	Binning	bin_53	0.11288057	5.2137437	1.2590575	5472.607	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__JAABQG01;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__JAABQG01	s__	d__Bacteria	422.78823099999994	p__Pseudomonadota	304.96545690000005	c__Gammaproteobacteria	44.849297899999996	o__Burkholderiales	44.849297899999996	f__Burkholderiaceae_B	41.7143609	g__JAABQG01	5.2137437	s__	158.02897230000002
k141_2790942_6	k141_2790942	YP_002552549	87.5	273	275	1	273	274	1	273	2.2699999999999997e-170	470.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	4.641198		bin_54	Binning	bin_54	0.13077636	6.040316	1.4609684	6350.2305	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Giesbergeria;s__Giesbergeria sp010020825	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Giesbergeria	s__Giesbergeria sp010020825			p__Bacillota	42.700459300000006	c__Alphaproteobacteria	260.11615900000004	o__Sphingomonadales	254.19024000000002	f__Sphingomonadaceae	254.19024000000002	g__Giesbergeria	6.040316	s__Giesbergeria sp010020825	6.040316
k141_480263_8	k141_480263	YP_002552549	81.8	170	171	1	170	274	105	274	8.370000000000001e-99	285.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	6.0100527		bin_59	Binning	bin_59	0.13877182	6.4096117	1.5538532	6753.9595	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp020848515	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Ottowia	s__Ottowia sp020848515			p__Actinomycetota	47.139347	c__Bacilli	42.700459300000006	o__Bacillales	33.9300823	f__DSM-18226	5.5711913	g__Ottowia	20.6427677	s__Ottowia sp020848515	6.4096117
k141_2649015_1	k141_2649015	YP_002552549	80.7	269	270	1	269	274	6	274	3.17e-155	432.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	12.176069		bin_36	Binning	bin_36	0.3081561	14.233156	3.441879	14960.44	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp001897615	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Ottowia	s__Ottowia sp001897615			p__Myxococcota	8.999629800000001	c__Actinomycetia	47.139347	o__Paenibacillales	5.447721	f__Paenibacillaceae	5.447721	g__Sphingobium	254.19024000000002	s__Ottowia sp001897615	14.233156
k141_853932_2	k141_853932	gb|WP_009821475.1|ARO:3006987|SGM-1	80.6	320	323	5	322	321	2	321	1.5699999999999998e-180	500.0		beta_lactam	beta_lactam__SGM-1								IV	genome	2.6061678		bin_49	Binning	bin_49	0.9497629	43.86778	11.152512	48475.387	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__			p__Bacteroidota	9.535238	c__Polyangia	8.999629800000001	o__Mycobacteriales	32.844904	f__Mycobacteriaceae	32.844904	g__Neobacillus	5.5711913	s__Sphingobium limneticum	210.32246
k141_81390_16	k141_81390	gb|WP_009821475.1|ARO:3006987|SGM-1	83.8	321	325	4	324	321	1	321	2.38e-187	517.0		beta_lactam	beta_lactam__SGM-1								IV	genome	101.985954		bin_19	Binning	bin_19	4.553603	210.32246	51.791245	225115.28	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium limneticum	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__Sphingobium limneticum			p__Nitrospirota	9.4481	c__Bacteroidia	9.535238	o__Nannocystales	5.1046734	f__Nannocystaceae	5.1046734	g__Paenibacillus	5.447721	s__Paenibacillus chibensis	5.447721
k141_433712_2	k141_433712	gi|926255636|ref|WP_053593902.1|	81.4	140	146	1	140	142	1	140	7.879999999999998e-82	236.0		fosfomycin	fosfomycin__FosB	FosB family	Enzymatic inactivation	thiol transferase		Yes	Yes	Yes	IV	genome	5.996219		bin_23	Binning	bin_23	0.12061952	5.5711913	1.3357296	5805.8677	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-18226;g__Neobacillus;s__	d__Bacteria	p__Bacillota	c__Bacilli	o__Bacillales	f__DSM-18226	g__Neobacillus	s__					c__Nitrospiria	9.4481	o__Propionibacteriales	14.294443	f__Nocardioidaceae	14.294443	g__Mycobacterium	32.844904	s__OLB8 sp001567405	9.535238
k141_2766604_4	k141_2766604	gi|817727729|ref|WP_046680744.1|	90.0	492	493	1	492	492	1	492	0.0	875.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lsa(B)	lsa(B)	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	IV	genome	3.8455765		bin_11	Binning	bin_11	0.11794632	5.447721	1.3155836	5718.302	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus chibensis	d__Bacteria	p__Bacillota	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus	s__Paenibacillus chibensis							o__Rhodobacterales	5.925919	f__Rhodobacteraceae	5.925919	g__JADJRG01	5.1046734	s__Nitrospira_A sp009594855	9.4481
k141_868141_44	k141_868141	gb|ADV91011.1|ARO:3000245|RbpA	92.9	112	113	1	112	114	1	112	7.21e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	15.780545		bin_20	Binning	bin_20	0.35969037	16.613428	4.0134244	17444.707	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__							o__Chitinophagales	9.535238	f__Saprospiraceae	9.535238	g__Nocardioides	14.294443	s__Brevibacillus centrosporus	3.322656
k141_1128772_1	k141_1128772	gb|ADV91011.1|ARO:3000245|RbpA	92.0	112	113	1	112	114	1	112	8.43e-76	218.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	15.227465		bin_17	Binning	bin_17	0.35142088	16.231476	3.9224846	17049.428	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__							o__Polyangiales	3.8949564	f__Ga0077539	3.8949564	g__QY30	5.925919		
