qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	TP-AS_578565-checked_1.fq Relative Abundance (%)	TP-AS_578565-checked_1.fq Mean	TP-AS_578565-checked_1.fq RPKM	TP-AS_578565-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_2548531_13	k141_2548531	CAC47932	100.0	388	389	1	388	388	1	388	3.71e-288	778.0		tetracycline	tetracycline__tetX2	tet(X)	Enzymatic inactivation			Yes	Yes	Yes	IV	plasmid	6.658965	unmob	bin_102	Binning	bin_102	0.16741957	7.858313	0.9576196	4254.3022	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp001567405	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__OLB8	s__OLB8 sp001567405	d__Bacteria	155.4739764	p__Bacteroidota	16.329584	c__Bacteroidia	16.329584	o__Chitinophagales	7.858313	f__Saprospiraceae	7.858313	g__OLB8	7.858313	s__OLB8 sp001567405	7.858313
k141_2561031_16	k141_2561031	YP_002552549	81.4	274	275	1	274	274	1	274	3.48e-158	439.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	19.216545		bin_86	Binning	bin_86	0.4603062	21.60578	2.618085	11631.053	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp024235955	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Ottowia	s__Ottowia sp024235955			p__Pseudomonadota	130.6691641	c__Gammaproteobacteria	126.1053957	o__Burkholderiales	81.9204001	f__Burkholderiaceae_B	34.2121801	g__Ottowia	21.60578	s__Ottowia sp024235955	21.60578
k141_1409427_15	k141_1409427	YP_002552549	80.3	274	275	1	274	274	1	274	4.25e-159	442.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	plasmid	5.6355853	unmob	bin_76	Binning	bin_76	0.13303404	6.2443314	0.76036644	3377.9897	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Hydrogenophaga;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Hydrogenophaga	s__			p__Verrucomicrobiota	8.475228300000001	c__Alphaproteobacteria	4.5637684	o__Chromatiales	19.60854	f__Sedimenticolaceae	19.60854	g__Hydrogenophaga	6.2443314	s__	55.1535394
k141_2078263_17	k141_2078263	YP_981592	80.9	277	278	1	277	277	1	277	2.07e-156	435.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	5.9174695		bin_36	Binning	bin_36	0.13554241	6.3620687	0.77476895	3441.9746	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__CAISIP01;s__CAISIP01 sp024236015	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__CAISIP01	s__CAISIP01 sp024236015					c__Kiritimatiellia	4.234745	o__Sphingomonadales	4.5637684	f__Sphingomonadaceae	4.5637684	g__CAISIP01	6.3620687	s__CAISIP01 sp024236015	6.3620687
k141_2843696_15	k141_2843696	AAK14791	100.0	260	261	1	260	260	1	260	1.19e-190	520.0		beta_lactam	beta_lactam__NPS-1	NPS-1	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	I	genome	62.122646		bin_64	Binning	bin_64	0.41775545	19.60854	2.4088943	10701.711	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__41T-STBD-0c-01a;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Sedimenticolaceae	g__41T-STBD-0c-01a	s__					c__Verrucomicrobiae	4.2404833	o__Flavobacteriales	8.471271	f__Rhodocyclaceae	47.70822	g__41T-STBD-0c-01a	19.60854	s__JACKKV01 sp024236235	4.5637684
k141_2853527_2	k141_2853527	Q49184	100.0	283	284	1	283	283	1	283	9.04e-202	550.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	65.1493	unmob	bin_130	Hi-C	bin_130	0.09723005	4.5637684	0.55514556	2466.2786	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__JACKKV01;s__JACKKV01 sp024236235	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__JACKKV01	s__JACKKV01 sp024236235							o__LD1-PB3_A	4.234745	f__Parvicellaceae	8.471271	g__JACKKV01	4.5637684	s__Thauera sp003963015	47.70822
k141_60580_9	k141_60580	YP_002890644	94.5	274	275	1	274	274	1	274	9.62e-188	514.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	51.690083		bin_75	Binning	bin_75	1.0164127	47.70822	5.788357	25715.246	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Thauera;s__Thauera sp003963015	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Thauera	s__Thauera sp003963015							o__Verrucomicrobiales	4.2404833	f__CAIVKH01	4.234745	g__Thauera	47.70822	s__JACKPT01 sp024233345	4.234745
k141_1082917_3	k141_1082917	AF319779.2.orf0.gene.p01	97.0	266	267	1	266	266	1	266	5.81e-185	506.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(35)	erm(35)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	IV	genome	8.114343		bin_97	Binning	bin_97	0.18047848	8.471271	1.0325805	4587.323	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Parvicellaceae;g__Parvicella;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Parvicellaceae	g__Parvicella	s__							o__Xanthomonadales	3.7470586	f__DEV007	4.2404833	g__Parvicella	8.471271	s__JACKQE01 sp024233005	4.2404833
k141_3398487_1	k141_3398487	AY536519.1.gene1.p01	100.0	299	300	1	299	299	1	299	1.46e-215	587.0		beta_lactam	beta_lactam__VEB-3	VEB	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	I	plasmid	11.505112	unmob	bin_112	Hi-C	bin_112	0.09022027	4.234745	0.51363784	2281.878	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__LD1-PB3_A;f__CAIVKH01;g__JACKPT01;s__JACKPT01 sp024233345	d__Bacteria	p__Verrucomicrobiota	c__Kiritimatiellia	o__LD1-PB3_A	f__CAIVKH01	g__JACKPT01	s__JACKPT01 sp024233345							o__Competibacterales	20.829397	f__Rhodanobacteraceae	3.7470586	g__JACKPT01	4.234745	s__Dokdonella sp019634795	3.7470586
k141_1900032_8	k141_1900032	AAC78336	100.0	408	409	1	408	408	1	408	1.22e-294	796.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ereA2	ere(A)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	I	plasmid	42.19873	unmob	bin_24	Binning	bin_24	0.090342514	4.2404833	0.51382154	2282.6943	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__JACKQE01;s__JACKQE01 sp024233005	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__DEV007	g__JACKQE01	s__JACKQE01 sp024233005									f__Competibacteraceae	20.829397	g__JACKQE01	4.2404833		
