qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	swh-e_579360-checked_1.fq Relative Abundance (%)	swh-e_579360-checked_1.fq Mean	swh-e_579360-checked_1.fq RPKM	swh-e_579360-checked_1.fq TPM	host_taxonomy
k141_27099_4	k141_27099	gb|CCP45647.1|ARO:3003955|efpA	80.1	534	534	1	533	530	1	530	3.8899999999999994e-282	775.0		multidrug	multidrug__efpA	efpA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	23.037748		bin_25	Binning	bin_25	0.4352374	22.64447	4.870238	19373.86	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
k141_823394_3	k141_823394	YP_002552549	87.2	273	275	1	273	274	1	273	3.75e-169	467.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	4.7852626		bin_131	Binning	bin_131	0.115852386	6.027552	1.2960103	5155.5444	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Giesbergeria;s__Giesbergeria sp010020825
k141_4972886_4	k141_4972886	AB104852.1.gene6.p01	100.0	278	279	1	278	279	2	279	2.04e-198	541.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	41.286995	unmob	bin_127	Hi-C	bin_127	0.0689621	3.5879507	0.7623612	3032.682	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Aquaspirillaceae;g__Rivicola;s__Rivicola pingtungensis
k141_4976995_13	k141_4976995	gb|BAD89844.2|ARO:3000753|abeM	80.8	447	453	1	447	448	1	447	5.3800000000000004e-248	681.0		multidrug	multidrug__abeM	abeM	Efflux pump	MATE transporter		Yes	Yes	Yes	IV	genome	13.480519		bin_78	Binning	bin_78	0.36790496	19.141308	4.1587257	16543.463	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp003987695
k141_91512_2	k141_91512	YP_002890644	99.3	274	275	1	274	274	1	274	1.27e-192	526.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	16.663113		bin_93	Binning	bin_93	0.30026266	15.6220255	3.356321	13351.483	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Thauera;s__Thauera aminoaromatica
k141_4988089_18	k141_4988089	FM897214.1.orf2.gene.p01	89.3	150	151	1	150	150	1	150	1.9900000000000001e-103	291.0		rifamycin	rifamycin__arr-3	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	3.6254663		bin_100	Binning	bin_100	0.07715548	4.0142345	0.86590993	3444.5996	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__
k141_824065_1	k141_824065	EU675686.2.gene7.p01	100.0	27	27	1	27	121	1	27	4.42e-13	55.8		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	2.9713275	unmob	bin_111	Hi-C	bin_111	0.062986515	3.2770538	0.6984403	2778.404	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__JADCGM01;s__
k141_4683528_3	k141_4683528	gb|ADV91011.1|ARO:3000245|RbpA	89.5	114	115	1	114	114	1	114	7.53e-75	216.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	3.4581833		bin_54	Binning	bin_54	0.07415785	3.8582745	0.8348695	3321.1213	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Skermania;s__Skermania piniformis
k141_4455749_27	k141_4455749	gb|ADV91011.1|ARO:3000245|RbpA	92.9	112	113	1	112	114	1	112	7.21e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	23.043894		bin_25	Binning	bin_25	0.4352374	22.64447	4.870238	19373.86	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
k141_180643_4	k141_180643	gb|WP_007708339.1|ARO:3006991|SGM-5	89.2	260	261	1	260	326	67	326	6.010000000000001e-163	453.0		beta_lactam	beta_lactam__SGM-5								IV	genome	4.342125		bin_61	Binning	bin_61	0.08379126	4.3594804	0.9333013	3712.684	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium xenophagum
k141_3670157_1	k141_3670157	gi|808041102|ref|WP_046203752.1|	100.0	51	51	1	51	283	1	51	3.02e-28	99.8		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	51.01104	unmob	bin_40	Hi-C	bin_40	0.17098847	8.896165	1.9117726	7605.0522	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__SSSZ01;s__SSSZ01 sp009469685
