qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	YL-ADS_577288-checked_1.fq Relative Abundance (%)	YL-ADS_577288-checked_1.fq Mean	YL-ADS_577288-checked_1.fq RPKM	YL-ADS_577288-checked_1.fq TPM	host_taxonomy
k141_1112166_2	k141_1112166	gb|ACJ63262.1|ARO:3003107|mefB	90.1	406	407	1	406	409	1	406	2.02e-263	717.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	genome	23.703684		bin_70	Binning	bin_70	0.12781964	7.5782776	1.0018519	3433.526	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__JAGPKJ01;s__JAGPKJ01 sp018053995
k141_3090325_2	k141_3090325	gb|ACJ63262.1|ARO:3003107|mefB	88.7	406	407	1	406	409	1	406	4.0699999999999994e-263	716.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	genome	2.4083645		bin_130	Binning	bin_130	0.07525839	4.461982	0.59579074	2041.882	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga fabula
k141_2741420_2	k141_2741420	gb|ABR14060.1|ARO:3002838|lnuD	84.1	164	165	1	164	164	1	164	4.18e-105	296.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(D)	lnu(D)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	III	genome	20.321438		bin_70	Binning	bin_70	0.12781964	7.5782776	1.0018519	3433.526	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__JAGPKJ01;s__JAGPKJ01 sp018053995
k141_2741420_3	k141_2741420	U19459.gene.p01	82.0	211	212	1	211	212	1	211	5.1199999999999996e-136	378.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	IV	genome	20.321438		bin_70	Binning	bin_70	0.12781964	7.5782776	1.0018519	3433.526	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__JAGPKJ01;s__JAGPKJ01 sp018053995
k141_274199_49	k141_274199	YP_002552549	80.3	274	275	1	274	274	1	274	4.25e-159	442.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	15.932419		bin_68	Binning	bin_68	0.4055943	24.047213	3.206922	10990.699	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Comamonas_C;s__Comamonas_C sp001724135
k141_2526000_19	k141_2526000	YP_002552549	81.8	274	310	36	309	274	1	274	1.31e-155	434.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	38.47357		bin_44	Binning	bin_44	0.7631253	45.24481	6.065205	20786.547	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__
k141_2988117_8	k141_2988117	YP_002552549	87.5	273	275	1	273	274	1	273	2.2699999999999997e-170	470.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	21.791403		bin_39	Binning	bin_39	0.36787865	21.811094	2.8983953	9933.322	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Giesbergeria;s__Giesbergeria sp010020825
k141_1494555_1	k141_1494555	gb|AAL36430.1|ARO:3004692|aadA10	100.0	43	43	1	43	277	1	43	9.809999999999999e-24	87.4		aminoglycoside	aminoglycoside__aadA10	aadA10	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	40.70506		bin_44	Binning	bin_44	0.7631253	45.24481	6.065205	20786.547	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__
k141_622022_2	k141_622022	KJ363320.1.gene3.p01	100.0	28	29	1	28	259	232	259	1.07e-13	59.7		aminoglycoside	aminoglycoside__aadA2	aadA2	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	plasmid	3.9755735	unmob	bin_1	Hi-C	bin_1	0.08770076	5.1996756	0.69356614	2376.9756	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__
k141_2238075_4	k141_2238075	CAC47932	100.0	388	389	1	388	388	1	388	3.71e-288	778.0		tetracycline	tetracycline__tetX2	tet(X)	Enzymatic inactivation			Yes	Yes	Yes	IV	plasmid	25.473972	unmob	bin_63	Binning	bin_63	1.0643616	63.104755	8.411599	28828.06	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__OLB10;s__OLB10 sp001567275
