qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	s-as_579739-checked_1.fq Relative Abundance (%)	s-as_579739-checked_1.fq Mean	s-as_579739-checked_1.fq RPKM	s-as_579739-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_769654_4	k141_769654	gb|ADV91011.1|ARO:3000245|RbpA	92.9	112	113	1	112	114	1	112	5.07e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	26.887896		bin_113	Binning	bin_113	0.87589866	39.876896	5.6941123	25972.053	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__	d__Bacteria	207.81839480000002	p__Actinomycetota	39.876896	c__Actinomycetia	39.876896	o__Mycobacteriales	39.876896	f__Mycobacteriaceae	39.876896	g__Mycobacterium	39.876896	s__	145.81458880000002
k141_3281803_1	k141_3281803	gi|808041102|ref|WP_046203752.1|	100.0	51	51	1	51	283	1	51	3.02e-28	99.8		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	39.793983	unmob	bin_177	Hi-C	bin_177	0.06555281	2.984412	0.42091933	1919.9027	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__JAGLBJ01;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__JAGLBJ01	s__			p__Pseudomonadota	102.1742176	c__Gammaproteobacteria	71.3489084	o__Pseudomonadales	2.984412	f__Moraxellaceae	2.984412	g__JAGLBJ01	2.984412	s__OLB8 sp018057925	31.8077
k141_1572491_8	k141_1572491	YP_002552549	81.2	276	315	39	314	274	1	274	1.06e-160	447.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	22.102121		bin_75	Binning	bin_75	0.45440885	20.687798	2.9143367	13292.907	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Pelomonas;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Pelomonas	s__			p__Bacteroidota	57.038149000000004	c__Alphaproteobacteria	30.8253092	o__Burkholderiales	61.8387984	f__Burkholderiaceae_B	29.8639994	g__Pelomonas	20.687798	s__OLB8 sp001567405	8.528976
k141_1538812_2	k141_1538812	gi|446136270|ref|WP_000214125.1|	100.0	404	405	1	404	404	1	404	1.04e-277	753.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	3.6305954	unmob	bin_145	Hi-C	bin_145	0.08670419	3.9473672	0.5558935	2535.548	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__TMP-24;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__TMP-24	s__			p__Gemmatimonadota	6.3136945	c__Bacteroidia	57.038149000000004	o__Rhodobacterales	3.9473672	f__Rhodobacteraceae	3.9473672	g__TMP-24	3.9473672	s__Nitrosomonas sp008015595	21.66713
k141_280760_1	k141_280760	gb|AAL59753.1|ARO:3000412|sul2	100.0	271	272	1	271	271	1	271	3.63e-186	510.0		sulfonamide	sulfonamide__sul2	sul2	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	42.949806	unmob	bin_124	Hi-C	bin_124	0.366849	16.701473	2.3725164	10821.552	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__B-17BO;g__UBA2475;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__AKYH767	f__B-17BO	g__UBA2475	s__			p__Spirochaetota	2.4154377	c__Gemmatimonadetes	6.3136945	o__AKYH767	16.701473	f__B-17BO	16.701473	g__UBA2475	16.701473		
k141_1548522_5	k141_1548522	P14171	100.0	293	294	1	293	293	1	293	3.300000000000001e-209	570.0		beta_lactam	beta_lactam__RCP-1	RCP-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	genome	6.7860904		bin_123	Binning	bin_123	0.38325226	17.448263	2.4747639	11287.92	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__JADJTR01;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__JADJTR01	s__					c__Leptospirae	2.4154377	o__Rhizobiales	17.448263	f__Rhizobiaceae	17.448263	g__JADJTR01	17.448263		
k141_2935582_23	k141_2935582	YP_981592	84.8	276	275	1	273	277	1	276	1.46e-169	468.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	3.228607		bin_117	Binning	bin_117	0.108509764	4.940106	0.71102226	3243.1235	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__JAHBZM01;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__JAHBZM01	s__							o__Chitinophagales	40.336676	f__Saprospiraceae	40.336676	g__JAHBZM01	4.940106		
k141_330285_1	k141_330285	gb|AAA27459.1|ARO:3004683|aadS	84.9	152	152	1	152	287	1	152	5.82e-92	267.0		aminoglycoside	aminoglycoside__aadS	aadS	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(6)	Yes	Yes	Yes	II	genome	36.397194		bin_161	Binning	bin_161	0.6986583	31.8077	4.466377	20372.09	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp018057925	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__OLB8	s__OLB8 sp018057925							o__Sphingomonadales	9.429679	f__Casimicrobiaceae	10.307669	g__OLB8	40.336676		
k141_2628519_7	k141_2628519	ZP_02884769	82.1	56	66	10	65	280	9	64	2.27e-26	95.5		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	9.586448		bin_107	Binning	bin_107	0.22640863	10.307669	1.4630417	6673.243	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__VBCG01;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Casimicrobiaceae	g__VBCG01	s__							o__Xanthomonadales	6.525698	f__Sphingomonadaceae	9.429679	g__VBCG01	10.307669		
k141_126961_2	k141_126961	AF313472.2.gene15.p01	98.9	267	268	1	267	267	1	267	2.51e-200	545.0		aminoglycoside	aminoglycoside__APH(3'')-Ib	APH(3'')-Ib	Enzymatic inactivation	Phosphotransferases	APH(3'')	Yes	Yes	Yes	I	plasmid	10.8115835	unmob	bin_118	Binning	bin_118	0.20712353	9.429679	1.3378952	6102.422	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__							o__Gemmatimonadales	6.3136945	f__Xanthomonadaceae	6.525698	g__Sphingobium	9.429679		
