qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage
k105_5049232_3	k105_5049232	gb|ADV91011.1|ARO:3000245|RbpA	92.0	112	113	1	112	114	1	112	2.07e-76	219.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	28.709948
k105_3161395_3	k105_3161395	gb|ADV91011.1|ARO:3000245|RbpA	90.9	22	22	1	22	114	1	22	1.72e-09	46.2		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	1.5367817
k105_427261_28	k105_427261	gb|ADV91011.1|ARO:3000245|RbpA	95.5	112	113	1	112	114	1	112	2.15e-78	224.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	8.277945
k105_3855901_21	k105_3855901	gb|ADV91011.1|ARO:3000245|RbpA	92.9	112	113	1	112	114	1	112	7.21e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	19.044987
k105_757474_3	k105_757474	gb|ADV91011.1|ARO:3000245|RbpA	97.3	112	113	1	112	114	1	112	2.6100000000000002e-79	227.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	3.1789474
k105_4589476_3	k105_4589476	gb|ADV91011.1|ARO:3000245|RbpA	91.9	111	112	1	111	114	1	111	6.65e-75	216.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	2.6390994
k105_1264023_1	k105_1264023	gi|504870756|ref|WP_015057858.1|	100.0	140	140	1	140	404	1	140	1.89e-90	266.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	plasmid	4.9030437
k105_424240_1	k105_424240	M29695.1.gene2.p01	99.5	184	185	1	184	184	1	184	5.399999999999999e-138	381.0		aminoglycoside	aminoglycoside__AAC(6')-IIa	AAC(6')-IIa-32	Enzymatic inactivation	Acetyltransferases	AAC(6')	Yes	Yes	Yes	IV	plasmid	3.6598961
k105_424240_2	k105_424240	gi|692128548|ref|WP_032084014.1|	99.5	406	407	1	406	406	1	406	4.73e-291	786.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ere(A)	ere(A)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	I	plasmid	3.6598961
k105_1058111_3	k105_1058111	AY494717.1.gene1.p01	100.0	287	288	1	287	287	1	287	1.63e-206	563.0		beta_lactam	beta_lactam__GES-5	GES	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	notassessed	plasmid	10.943111
k105_2742875_6	k105_2742875	YP_981592	84.8	276	275	1	273	277	1	276	1.46e-169	468.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	8.856349
k105_4271923_3	k105_4271923	YP_981592	80.5	241	238	1	238	277	1	241	4.35e-136	382.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	1.8052381
k105_1387893_1	k105_1387893	YP_981592	87.7	65	66	1	65	277	179	243	3.41e-36	120.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	2.7388973
k105_2532630_1	k105_2532630	AM932669.1.gene2.p01	91.0	267	268	1	267	267	1	267	1.77e-175	483.0		beta_lactam	beta_lactam__OXA-129	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	I	genome	1.9572837
k105_6319121_3	k105_6319121	ABM94007	81.0	42	44	1	42	285	243	284	1.76e-21	81.6		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	2.875
k105_3589262_4	k105_3589262	U41471.1.gene1.p01	86.8	159	156	1	155	195	37	195	3.29e-102	290.0		aminoglycoside	aminoglycoside__AAC(2')-Ib	AAC(2')-Ib	Enzymatic inactivation	Acetyltransferases	AAC(2')	Yes	Yes	Yes	IV	genome	3.3991103
k105_15504_1	k105_15504	KJ363320.1.gene3.p01	100.0	254	255	1	254	259	6	259	2.27e-184	504.0		aminoglycoside	aminoglycoside__aadA2	aadA2	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	13.714194
k105_2644978_3	k105_2644978	KJ363320.1.gene3.p01	100.0	34	34	1	34	259	1	34	3.65e-15	63.9		aminoglycoside	aminoglycoside__aadA2	aadA2	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	4.277996
k105_855938_5	k105_855938	AAT49071	88.9	63	80	16	78	78	16	78	5.68e-38	120.0		trimethoprim	trimethoprim__dfrB2	dfrB2	Antibiotic target replacement	dihydrofolate reductase		Yes	Yes	Yes	IV	genome	1.9414201
k105_5063921_10	k105_5063921	ZP_02884769	83.9	31	39	9	39	280	9	39	1.73e-11	54.3		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	8.063262
k105_5793626_1	k105_5793626	ZP_02884769	96.3	27	35	9	35	280	9	35	2.74e-11	53.5		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	4.75669
k105_1700906_2	k105_1700906	AY536519.1.gene1.p01	100.0	299	300	1	299	299	1	299	1.46e-215	587.0		beta_lactam	beta_lactam__VEB-3	VEB	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	I	plasmid	2.2682552
k105_648892_5	k105_648892	CAI46978	100.0	293	296	3	295	293	1	293	1.63e-205	561.0		beta_lactam	beta_lactam__Other class A beta-lactamase	Other class A beta-lactamase	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	II	plasmid	9.578044
k105_1702216_1	k105_1702216	gi|488250641|ref|WP_002321849.1|	100.0	245	246	1	245	245	1	245	3.96e-177	485.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(B)	erm(B)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	I	plasmid	2.5193026
k105_2757651_1	k105_2757651	gb|WP_150378267.1|ARO:3005057|tet(X5)	100.0	31	31	1	31	388	1	31	2.82e-15	64.7		tetracycline	tetracycline__tet(X5)	tet(X)	Enzymatic inactivation						IV	genome	3.1317723
k105_5281532_97	k105_5281532	gb|CCP45647.1|ARO:3003955|efpA	80.1	534	534	1	533	530	1	530	3.8899999999999994e-282	775.0		multidrug	multidrug__efpA	efpA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	20.20763
k105_2987021_1	k105_2987021	gb|CCP45647.1|ARO:3003955|efpA	82.8	128	149	22	149	530	54	181	2.21e-65	206.0		multidrug	multidrug__efpA	efpA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	3.296548
k105_2987021_2	k105_2987021	gb|CCP45647.1|ARO:3003955|efpA	81.8	466	473	8	472	530	65	530	3.38e-260	716.0		multidrug	multidrug__efpA	efpA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	3.296548
k105_4442847_2	k105_4442847	gb|AAP43110.2|ARO:3003923|oqxB	88.3	94	116	1	94	1050	947	1040	3.3300000000000004e-47	160.0	multicomponent system	multidrug	multidrug__oqxB	oqxB	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	2.0348296
k105_1472375_2	k105_1472375	gb|AAP43110.2|ARO:3003923|oqxB	80.4	51	53	3	53	1050	2	52	8.510000000000001e-21	81.6	multicomponent system	multidrug	multidrug__oqxB	oqxB	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	1.4912975
k105_4865383_1	k105_4865383	AM087411.1.gene3.p01	99.6	254	255	1	254	281	28	281	3.58e-184	504.0		aminoglycoside	aminoglycoside__aadA6	aadA-ANT(3'')-IIa	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	3.2013497
k105_3391728_3	k105_3391728	gi|921231571|ref|WP_053176464.1|	81.3	144	147	1	144	620	453	596	6.61e-73	228.0		novobiocin	novobiocin__novA	novA	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	5.442322
