qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	sh-ads_579814-checked_1.fq Relative Abundance (%)	sh-ads_579814-checked_1.fq Mean	sh-ads_579814-checked_1.fq RPKM	sh-ads_579814-checked_1.fq TPM	host_taxonomy
k141_3699164_4	k141_3699164	U19459.gene.p01	82.0	211	212	1	211	212	1	211	5.1199999999999996e-136	378.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	IV	genome	5.81144		bin_17	Binning	bin_17	0.13568088	7.5336165	1.3076155	4781.5483	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__Desulfatiglandaceae;g__JAFGMQ01;s__
k141_3699164_1	k141_3699164	gb|ACJ63262.1|ARO:3003107|mefB	88.7	53	53	1	53	409	1	53	2.26e-25	94.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	genome	5.81144		bin_17	Binning	bin_17	0.13568088	7.5336165	1.3076155	4781.5483	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__Desulfatiglandaceae;g__JAFGMQ01;s__
k141_2716992_4	k141_2716992	gb|ACJ63262.1|ARO:3003107|mefB	90.2	399	401	1	399	409	7	405	3.98e-257	701.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	genome	7.682698		bin_46	Binning	bin_46	0.08823619	4.8992724	0.8551635	3127.0718	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__;s__
k141_1522468_5	k141_1522468	gb|ACJ63262.1|ARO:3003107|mefB	97.3	409	410	1	409	409	1	409	3.5400000000000003e-283	767.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	plasmid	5.7481823	unmob	bin_91	Binning	bin_91	0.10754857	5.9715834	1.0428985	3813.5608	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UMGS1668;s__
k141_3699164_5	k141_3699164	gb|ABR14060.1|ARO:3002838|lnuD	84.1	164	165	1	164	164	1	164	4.18e-105	296.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(D)	lnu(D)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	III	genome	5.81144		bin_17	Binning	bin_17	0.13568088	7.5336165	1.3076155	4781.5483	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__Desulfatiglandaceae;g__JAFGMQ01;s__
k141_2388230_1	k141_2388230	AJ222769.gene.p01	99.4	530	530	1	530	639	1	530	0.0	1013.0		tetracycline	tetracycline__tet(W)	tet(W)	Antibiotic target protection			Yes	Yes	Yes	IV	plasmid	13.724715	unmob	bin_66	Hi-C	bin_66	0.0740715	4.1127844	0.718783	2628.3696	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus flavefaciens_H
k141_545567_21	k141_545567	YP_002552549	81.4	274	275	1	274	274	1	274	3.48e-158	439.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	16.860023		bin_28	Binning	bin_28	0.34318313	19.05508	3.3102145	12104.443	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp024235955
k141_662530_16	k141_662530	YP_002552549	80.3	269	270	1	269	274	6	274	2.6299999999999997e-147	412.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	16.518482		bin_32	Binning	bin_32	0.34211874	18.99598	3.31368	12117.114	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp018240925
k141_1603518_5	k141_1603518	VXQ21601.1	100.0	344	345	1	344	344	1	344	2.5700000000000003e-259	701.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__cfr(E)	cfr(E)	Antibiotic target alteration	Cfr 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	III	genome	4.4021487		bin_91	Binning	bin_91	0.10754857	5.9715834	1.0428985	3813.5608	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UMGS1668;s__
k141_3976611_3	k141_3976611	gb|ABW91178.1|ARO:3002613|aadA13	99.6	261	262	1	261	265	5	265	2.02e-188	515.0		aminoglycoside	aminoglycoside__aadA13	aadA13	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	IV	genome	2.1542056		bin_9	Binning	bin_9	4.2139482	233.97746	40.64477	148625.5	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__Promineofilaceae;g__JAMLHW01;s__JAMLHW01 sp023954475
