qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	TP-I_577697-checked_1.fq Relative Abundance (%)	TP-I_577697-checked_1.fq Mean	TP-I_577697-checked_1.fq RPKM	TP-I_577697-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_2266853_5	k141_2266853	gb|AAF42062.1|ARO:3000811|mtrD	81.6	975	982	1	975	1067	92	1066	0.0	1515.0	multicomponent system	multidrug	multidrug__mtrD	mtrD	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	5.796325		bin_96	Binning	bin_96	0.083959535	5.15076	0.80669177	2753.6477	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Neisseria	s__	d__Bacteria	538.7214064	p__Pseudomonadota	239.5325454	c__Gammaproteobacteria	209.09999330000005	o__Burkholderiales	40.3875383	f__Neisseriaceae	5.15076	g__Neisseria	5.15076	s__	291.65233059999997
k141_2589_1	k141_2589	gb|WP_063864115.1|ARO:3005734|OXA-504	98.8	84	85	1	84	264	181	264	2.28e-57	175.0		beta_lactam	beta_lactam__OXA-427	OXA	Enzymatic inactivation	Class D beta-lactamase					III	genome	48.231815		bin_52	Binning	bin_52	0.7796758	47.831646	7.5203013	25670.59	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas caviae			p__Actinomycetota	209.7833	c__Actinomycetia	209.7833	o__Enterobacterales_A	75.99411199999999	f__Aeromonadaceae	47.831646	g__Aeromonas	47.831646	s__Aeromonas caviae	47.831646
k141_2932034_5	k141_2932034	YP_002552549	81.4	274	275	1	274	274	1	274	3.48e-158	439.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	18.119646		bin_23	Binning	bin_23	0.31303954	19.20439	3.0207005	10311.177	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp024235955	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Ottowia	s__Ottowia sp024235955			p__Bacteroidota	64.994742	c__Bacteroidia	64.994742	o__Pseudomonadales	42.421767	f__Burkholderiaceae_B	31.1481796	g__Ottowia	19.20439	s__Ottowia sp024235955	19.20439
k141_2074616_3	k141_2074616	YP_002552549	80.7	274	275	1	274	274	1	274	7.35e-160	444.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	5.0586042		bin_40	Binning	bin_40	0.08307032	5.0962086	0.7976551	2722.8	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Hydrogenophaga;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Hydrogenophaga	s__			p__Verrucomicrobiota	3.7950363	c__Verrucomicrobiae	3.7950363	o__Mycobacteriales	209.7833	f__Pseudomonadaceae	15.488776	g__Hydrogenophaga	5.0962086	s__Pseudomonas_E fluvialis	15.488776
k141_1397809_14	k141_1397809	gb|AAG07064.1|ARO:3003693|mexK	95.2	62	71	1	62	1025	961	1022	1.5999999999999999e-29	107.0	multicomponent system	multidrug	multidrug__mexK	mexK	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	12.393131		bin_79	Binning	bin_79	0.2524735	15.488776	2.4396567	8327.783	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluvialis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E fluvialis			p__Bacillota_A	6.0807347	c__Alphaproteobacteria	30.4325521	o__GCA-2729495	11.351732	f__Mycobacteriaceae	209.7833	g__Pseudomonas_E	15.488776	s__Vibrio fluvialis	18.755556
k141_4141046_16	k141_4141046	gb|ADV91011.1|ARO:3000245|RbpA	94.6	111	112	1	111	114	1	111	3.43e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	233.12804		bin_20	Binning	bin_20	3.4195552	209.7833	33.138924	113119.92	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__			p__Bacillota	14.535048	c__Clostridia	6.0807347	o__Chitinophagales	7.92925	f__Vibrionaceae	18.755556	g__Mycobacterium	209.7833	s__SHZI01 sp024234935	11.351732
k141_1881997_4	k141_1881997	gi|764440891|ref|WP_044366757.1|	97.3	438	439	1	438	439	1	438	9.83e-289	783.0	multicomponent system	multidrug	multidrug__tolC	tolC	Efflux pump			Yes	Yes	Yes	IV	genome	18.246258		bin_68	Binning	bin_68	0.30572337	18.755556	2.9899595	10206.241	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio;s__Vibrio fluvialis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Vibrionaceae	g__Vibrio	s__Vibrio fluvialis					c__Bacilli	14.535048	o__Chromatiales	18.166365	f__GCA-2729495	11.351732	g__Vibrio	18.755556	s__OLB8 sp001567405	7.92925
k141_1375665_1	k141_1375665	AY115475.1.gene2.p01	100.0	266	267	1	266	266	1	266	5.6400000000000006e-192	524.0		beta_lactam	beta_lactam__OXA-10	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	IV	plasmid	33.11876	unmob	bin_75	Hi-C	bin_75	0.18503797	11.351732	1.7893506	6107.9585	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GCA-2729495;f__GCA-2729495;g__SHZI01;s__SHZI01 sp024234935	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__GCA-2729495	f__GCA-2729495	g__SHZI01	s__SHZI01 sp024234935							o__UBA9214	13.325873	f__Saprospiraceae	7.92925	g__SHZI01	11.351732	s__41T-STBD-0c-01a sp024235395	18.166365
k141_1375665_1	k141_1375665	AY115475.1.gene2.p01	100.0	266	267	1	266	266	1	266	5.6400000000000006e-192	524.0		beta_lactam	beta_lactam__OXA-10	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	IV	plasmid	33.11876	unmob	bin_102	Hi-C	bin_102	0.111618415	6.847581	1.0814731	3691.615	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Brachymonas	s__							o__Verrucomicrobiales	3.7950363	f__Sedimenticolaceae	18.166365	g__Brachymonas	6.847581	s__JACKQE01 sp024233005	3.7950363
k141_2443635_64	k141_2443635	gb|AAA27459.1|ARO:3004683|aadS	85.5	83	84	1	83	287	205	287	5.9e-46	147.0		aminoglycoside	aminoglycoside__aadS	aadS	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(6)	Yes	Yes	Yes	II	genome	8.4942045		bin_47	Binning	bin_47	0.12925008	7.92925	1.2539228	4280.2744	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp001567405	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__OLB8	s__OLB8 sp001567405							o__Rhodobacterales	26.68799	f__Pasteurellaceae	9.40691	g__OLB8	7.92925	s__Lachnospira eligens_A	6.0807347
