qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage
k141_2370559_1	k141_2370559	ACI02010	99.5	406	407	1	406	406	1	406	2.02e-276	749.0		tetracycline	tetracycline__tet(40)	tet(40)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	II	genome	2.8379629
k141_790459_9	k141_790459	gi|496592990|ref|WP_009288847.1|	99.8	408	409	1	408	408	1	408	3.1400000000000004e-281	762.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	plasmid	19.535147
k141_2636980_2	k141_2636980	U19459.gene.p01	80.1	211	212	1	211	212	1	211	2.08e-135	377.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	IV	genome	3.2680554
k141_2114545_3	k141_2114545	U19459.gene.p01	80.0	210	212	1	210	212	1	210	2.84e-133	371.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	IV	genome	2.3339179
k141_3699164_4	k141_3699164	U19459.gene.p01	82.0	211	212	1	211	212	1	211	5.1199999999999996e-136	378.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	IV	genome	5.81144
k141_531612_2	k141_531612	gb|CCP45647.1|ARO:3003955|efpA	80.5	456	456	1	455	530	75	530	1.2700000000000002e-248	686.0		multidrug	multidrug__efpA	efpA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	4.883707
k141_3430087_3	k141_3430087	gb|ADV91011.1|ARO:3000245|RbpA	91.1	112	113	1	112	114	1	112	4.17e-76	219.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	5.5202236
k141_3733412_5	k141_3733412	gb|ADV91011.1|ARO:3000245|RbpA	95.5	111	112	1	111	114	1	111	3.43e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	4.44984
k141_2951369_6	k141_2951369	gb|ADV91011.1|ARO:3000245|RbpA	96.0	75	77	2	76	114	37	111	3.93e-51	154.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	4.063182
k141_576767_6	k141_576767	gb|ADV91011.1|ARO:3000245|RbpA	98.2	111	112	1	111	114	1	111	7.19e-79	226.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	5.946676
