qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	YL-E_579475-checked_1.fq Relative Abundance (%)	YL-E_579475-checked_1.fq Mean	YL-E_579475-checked_1.fq RPKM	YL-E_579475-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_365721_4	k141_365721	AY339985.2.gene4.p01	84.0	100	103	1	100	323	222	321	4.369999999999999e-54	169.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	9.361271	unmob	bin_46	Hi-C	bin_46	0.09475263	4.8898654	0.61862046	2470.5818	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium sp020446425	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__Sphingobium sp020446425	d__Bacteria	1272.1075749	p__Pseudomonadota	1065.624761	c__Alphaproteobacteria	17.57763	o__Sphingomonadales	13.7877144	f__Sphingomonadaceae	13.7877144	g__Sphingobium	13.7877144	s__Sphingobium sp020446425	4.8898654
k141_120420_15	k141_120420	gb|ADV91011.1|ARO:3000245|RbpA	94.6	111	112	1	111	114	1	111	1.98e-76	219.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	plasmid	39.795017	unmob	bin_17	Binning	bin_17	1.8770704	96.86931	12.272451	49012.434	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__			p__Actinomycetota	105.84982099999999	c__Actinomycetia	105.84982099999999	o__Mycobacteriales	105.84982099999999	f__Mycobacteriaceae	105.84982099999999	g__Mycobacterium	105.84982099999999	s__	1144.4321396
k141_352272_3	k141_352272	gb|CAJ98570.1|ARO:3003071|mphF	100.0	299	300	1	299	299	1	299	1.2699999999999999e-225	612.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mph(F)	mph(F)	Enzymatic inactivation	phosphorylases	MLS_macrolide	Yes	Yes	Yes	I	genome	87.869415		bin_22	Binning	bin_22	1.8222249	94.03891	11.90998	47564.84	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Thiotrichales	f__Thiotrichaceae	g__Thiolinea	s__			p__Planctomycetota	8.485718299999998	c__Gammaproteobacteria	1048.047131	o__Thiotrichales	990.073318	f__Thiotrichaceae	990.073318	g__Thiolinea	970.4996699999999	s__Mycobacterium austroafricanum	8.980511
k141_1045411_22	k141_1045411	gb|CAA03986.1|ARO:3000343|tap	85.3	400	415	9	408	409	5	404	3.39e-234	643.0		multidrug	multidrug__tap	tap	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	8.301996		bin_9	Binning	bin_9	0.1740185	8.980511	1.1443952	4570.367	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium austroafricanum	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium austroafricanum			p__Bacteroidota	92.1472746	c__Planctomycetia	8.485718299999998	o__Pseudomonadales	18.175252	f__Oleiphilaceae	13.806947	g__JADJWY01	13.806947	s__Thiothrix nivea	19.573648
k141_7747_1	k141_7747	S46063.1.gene1.p2	89.5	304	308	1	304	304	1	304	1.11e-195	537.0		beta_lactam	beta_lactam__CARB-3	CARB	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	genome	25.72992		bin_19	Binning	bin_19	0.26754206	13.806947	1.7622485	7037.8853	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__JADJWY01;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Oleiphilaceae	g__JADJWY01	s__					c__Bacteroidia	92.1472746	o__Planctomycetales	8.485718299999998	f__Planctomycetaceae	8.485718299999998	g__SXXK01	5.0568686	s__Giesbergeria sp023954095	10.161659
k141_1743640_4	k141_1743640	BAC67144	99.7	396	397	1	396	396	1	396	2.549999999999999e-274	743.0		tetracycline	tetracycline__tet(C)	tet(C)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	8.601001	unmob	bin_5	Hi-C	bin_5	0.09798871	5.0568686	0.6390901	2552.3315	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__SXXK01	s__							o__Burkholderiales	39.798561	f__Burkholderiaceae_B	19.411209	g__Thiothrix	19.573648	s__Bacteroides_I graminisolvens	4.903226
k141_821771_4	k141_821771	CAI46978	100.0	293	294	1	293	293	1	293	5.24e-206	562.0		beta_lactam	beta_lactam__Other class A beta-lactamase	Other class A beta-lactamase	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	II	genome	11.281298		bin_26	Binning	bin_26	0.37928542	19.573648	2.4905396	9946.456	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__Thiothrix nivea	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Thiotrichales	f__Thiotrichaceae	g__Thiothrix	s__Thiothrix nivea							o__Bacteroidales	4.903226	f__Bacteroidaceae	4.903226	g__Giesbergeria	19.411209	s__Albidovulum sp024236495	3.7899156
k141_708352_18	k141_708352	YP_970399	86.8	272	275	1	272	274	1	272	1.7e-165	458.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	10.543905		bin_30	Binning	bin_30	0.19690602	10.161659	1.2832564	5124.936	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Giesbergeria;s__Giesbergeria sp023954095	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Giesbergeria	s__Giesbergeria sp023954095							o__Rhodobacterales	3.7899156	f__Rhodobacteraceae	3.7899156	g__Bacteroides_I	4.903226	s__Sphingobium yanoikuyae	8.897849
k141_1170560_2	k141_1170560	AY536519.1.gene1.p01	100.0	299	300	1	299	299	1	299	1.46e-215	587.0		beta_lactam	beta_lactam__VEB-3	VEB	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	I	plasmid	752.1672	unmob	bin_27	Hi-C	bin_27	16.167988	834.37555	107.562004	429569.9	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Thiotrichales	f__Thiotrichaceae	g__Thiolinea	s__							o__Flavobacteriales	79.897202	f__Rhodocyclaceae	20.387352	g__Albidovulum	3.7899156	s__UBA5078 sp024234325	4.368305
k141_717550_3	k141_717550	AY743590.gene.p01	100.0	361	362	1	361	395	35	395	1.3499999999999998e-255	694.0		tetracycline	tetracycline__tet(39)	tet(39)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	3.4341004	unmob	bin_69	Binning	bin_69	0.09501153	4.903226	0.61992764	2475.8013	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__Bacteroides_I graminisolvens	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides_I	s__Bacteroides_I graminisolvens							o__Chitinophagales	7.3468466	f__Pseudohongiellaceae	4.368305	g__Zoogloea	20.387352	s__Thiolinea sp020442915	42.08521
