qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	sh-as_578410-checked_1.fq Relative Abundance (%)	sh-as_578410-checked_1.fq Mean	sh-as_578410-checked_1.fq RPKM	sh-as_578410-checked_1.fq TPM	host_taxonomy
k141_884821_10	k141_884821	YP_002552549	81.4	274	275	1	274	274	1	274	3.48e-158	439.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	13.69582		bin_64	Binning	bin_64	0.31011334	15.209859	1.986919	8296.903	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp024235955
k141_918373_21	k141_918373	YP_002552549	80.7	269	270	1	269	274	6	274	4.55e-148	414.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	12.190516		bin_77	Binning	bin_77	0.26163155	12.832016	1.686331	7041.7183	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp018240925
k141_1769290_5	k141_1769290	P14171	100.0	293	294	1	293	293	1	293	3.3000000000000003e-209	570.0		beta_lactam	beta_lactam__RCP-1	RCP-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	plasmid	6.949113	unmob	bin_49	Binning	bin_49	0.21933968	10.757763	1.4100014	5887.8335	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__Albidovulum sp024236495
k141_1990460_1	k141_1990460	AAC78336	100.0	408	409	1	408	408	1	408	1.22e-294	796.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ereA2	ere(A)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	I	plasmid	14.483611	unmob	bin_15	Binning	bin_15	0.7683588	37.685028	4.927938	20577.906	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Halioglobus;s__Halioglobus sp024234735
k141_446126_8	k141_446126	AAK14791	100.0	260	261	1	260	260	1	260	1.19e-190	520.0		beta_lactam	beta_lactam__NPS-1	NPS-1	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	I	genome	57.775616		bin_47	Binning	bin_47	0.63636184	31.211086	4.1219697	17212.367	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__41T-STBD-0c-01a;s__
k141_2510637_12	k141_2510637	YP_981592	80.9	277	278	1	277	277	1	277	2.07e-156	435.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	5.1077642		bin_31	Binning	bin_31	0.11464452	5.6228704	0.7344245	3066.7832	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__CAISIP01;s__CAISIP01 sp024236015
k141_2362623_1	k141_2362623	gi|987444470|gb|AMD83510.1|	100.0	45	46	1	45	199	155	199	1.21e-25	90.9		beta_lactam	beta_lactam__VEB-1	VEB	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	genome	5.22305		bin_83	Binning	bin_83	0.10800421	5.2971888	0.69200957	2889.6687	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__LD1-PB3_A;f__CAIVKH01;g__JACKPT01;s__JACKPT01 sp024233345
k141_2995744_1	k141_2995744	ABG36700	88.1	135	138	1	135	323	187	321	8.55e-81	239.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	8.797656	unmob	bin_65	Hi-C	bin_65	0.23010057	11.2855425	1.4819078	6188.096	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__JAEUMD01;s__JAEUMD01 sp020638055
k141_2995744_2	k141_2995744	gi|730661043|ref|WP_034065992.1|	99.8	404	405	1	404	404	1	404	5.41e-280	758.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	8.797656	unmob	bin_65	Hi-C	bin_65	0.23010057	11.2855425	1.4819078	6188.096	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__JAEUMD01;s__JAEUMD01 sp020638055
k141_2995744_6	k141_2995744	AF133140.gene.p01	96.9	391	392	1	391	391	1	391	1.02e-266	724.0		tetracycline	tetracycline__tet(G)	tet(G)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	8.797656	unmob	bin_65	Hi-C	bin_65	0.23010057	11.2855425	1.4819078	6188.096	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__JAEUMD01;s__JAEUMD01 sp020638055
k141_1909061_181	k141_1909061	gb|ADT70779.1|ARO:3001805|OXA-198	80.2	257	259	1	257	262	5	261	4.0599999999999997e-150	418.0		beta_lactam	beta_lactam__OXA-198	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	IV	genome	9.409645		bin_46	Binning	bin_46	0.20047706	9.8326235	1.295191	5408.411	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__JAAEPA01;f__JAAEPA01;g__JAAEPA01;s__
