qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	YL-ADS_577288-checked_1.fq Relative Abundance (%)	YL-ADS_577288-checked_1.fq Mean	YL-ADS_577288-checked_1.fq RPKM	YL-ADS_577288-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_1112166_2	k141_1112166	gb|ACJ63262.1|ARO:3003107|mefB	90.1	406	407	1	406	409	1	406	2.02e-263	717.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	genome	23.703684		bin_70	Binning	bin_70	0.12781964	7.5782776	1.0018519	3433.526	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__JAGPKJ01;s__JAGPKJ01 sp018053995	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__JAGPKJ01	s__JAGPKJ01 sp018053995	d__Bacteria	240.4225045	p__Bacillota_A	7.5782776	c__Clostridia	7.5782776	o__Lachnospirales	7.5782776	f__Lachnospiraceae	7.5782776	g__JAGPKJ01	7.5782776	s__JAGPKJ01 sp018053995	7.5782776
k141_3090325_2	k141_3090325	gb|ACJ63262.1|ARO:3003107|mefB	88.7	406	407	1	406	409	1	406	4.069999999999999e-263	716.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	genome	2.4083645		bin_130	Binning	bin_130	0.07525839	4.461982	0.59579074	2041.882	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga fabula	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Gallionellaceae	g__Nitrotoga	s__Nitrotoga fabula			p__Pseudomonadota	132.976386	c__Gammaproteobacteria	132.976386	o__Burkholderiales	95.565099	f__Gallionellaceae	4.461982	g__Nitrotoga	4.461982	s__Nitrotoga fabula	4.461982
k141_274199_49	k141_274199	YP_002552549	80.3	274	275	1	274	274	1	274	4.25e-159	442.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	15.932419		bin_68	Binning	bin_68	0.4055943	24.047213	3.206922	10990.699	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Comamonas_C;s__Comamonas_C sp001724135	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Comamonas_C	s__Comamonas_C sp001724135			p__Planctomycetota	5.1996756	c__Planctomycetia	5.1996756	o__Planctomycetales	5.1996756	f__Burkholderiaceae_B	91.103117	g__Comamonas_C	24.047213	s__Comamonas_C sp001724135	24.047213
k141_2526000_19	k141_2526000	YP_002552549	81.8	274	310	36	309	274	1	274	1.31e-155	434.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	38.47357		bin_44	Binning	bin_44	0.7631253	45.24481	6.065205	20786.547	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Ottowia	s__			p__Bacteroidota	87.0300776	c__Bacteroidia	87.0300776	o__AKYH767-A	63.104755	f__Planctomycetaceae	5.1996756	g__Ottowia	45.24481	s__	79.3958242
k141_2988117_8	k141_2988117	YP_002552549	87.5	273	275	1	273	274	1	273	2.2699999999999997e-170	470.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	21.791403		bin_39	Binning	bin_39	0.36787865	21.811094	2.8983953	9933.322	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Giesbergeria;s__Giesbergeria sp010020825	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Giesbergeria	s__Giesbergeria sp010020825			p__Bacillota_C	3.6314921	c__Negativicutes	3.6314921	o__Thiotrichales	37.411287	f__OLB10	63.104755	g__Giesbergeria	21.811094	s__Giesbergeria sp010020825	21.811094
k141_622022_2	k141_622022	KJ363320.1.gene3.p01	100.0	28	29	1	28	259	232	259	1.07e-13	59.7		aminoglycoside	aminoglycoside__aadA2	aadA2	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	plasmid	3.9755735	unmob	bin_1	Hi-C	bin_1	0.08770076	5.1996756	0.69356614	2376.9756	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__SXXK01	s__			p__Bacillota_B	4.0065956	c__Syntrophomonadia	4.0065956	o__Acidaminococcales	3.6314921	f__Thiotrichaceae	37.411287	g__SXXK01	5.1996756	s__OLB10 sp001567275	63.104755
k141_2238075_4	k141_2238075	CAC47932	100.0	388	389	1	388	388	1	388	3.71e-288	778.0		tetracycline	tetracycline__tetX2	tet(X)	Enzymatic inactivation			Yes	Yes	Yes	IV	plasmid	25.473972	unmob	bin_63	Binning	bin_63	1.0643616	63.104755	8.411599	28828.06	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__OLB10;g__OLB10;s__OLB10 sp001567275	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__AKYH767-A	f__OLB10	g__OLB10	s__OLB10 sp001567275							o__Syntrophomonadales	4.0065956	f__Acidaminococcaceae	3.6314921	g__OLB10	63.104755	s__Thiolinea sp020442915	15.460388
k141_2685931_2	k141_2685931	gi|639206639|ref|WP_024544906.1|	82.3	158	159	1	158	158	1	158	9.43e-90	257.0		aminoglycoside	aminoglycoside__AAC(3)-Id	AAC(3)-Id	Enzymatic inactivation	Acetyltransferases	AAC(3)	Yes	Yes	Yes	IV	genome	14.290723		bin_38	Binning	bin_38	0.2607639	15.460388	2.0607996	7062.729	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__Thiolinea sp020442915	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Thiotrichales	f__Thiotrichaceae	g__Thiolinea	s__Thiolinea sp020442915							o__Bacteroidales	20.525816000000003	f__Syntrophomonadaceae	4.0065956	g__Thiolinea	37.411287	s__UBA4844 sp012729715	4.0065956
k141_917666_2	k141_917666	AY536519.1.gene1.p01	100.0	299	300	1	299	299	1	299	1.46e-215	587.0		beta_lactam	beta_lactam__VEB-3	VEB	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	I	plasmid	27.659256	unmob	bin_29	Hi-C	bin_29	0.21958093	13.018697	1.7292081	5926.3066	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Thiotrichales	f__Thiotrichaceae	g__Thiolinea	s__							o__Chitinophagales	3.3995066	f__Bacteroidaceae	7.08003	g__RZYP01	3.6314921	s__Bacteroides_I graminisolvens	3.7110825
k141_2026439_3	k141_2026439	gb|CAJ98570.1|ARO:3003071|mphF	100.0	299	300	1	299	299	1	299	1.2699999999999999e-225	612.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mph(F)	mph(F)	Enzymatic inactivation	phosphorylases	MLS_macrolide	Yes	Yes	Yes	I	genome	24.940666		bin_36	Binning	bin_36	0.15065575	8.932202	1.1896181	4077.0354	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Thiotrichales	f__Thiotrichaceae	g__Thiolinea	s__									f__Prolixibacteraceae	13.445786	g__UBA4844	4.0065956	s__UBA1413 sp012729335	13.445786
