qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	s-i_578603-checked_1.fq Relative Abundance (%)	s-i_578603-checked_1.fq Mean	s-i_578603-checked_1.fq RPKM	s-i_578603-checked_1.fq TPM	host_taxonomy
k141_3858849_25	k141_3858849	gb|ADV91011.1|ARO:3000245|RbpA	94.6	111	112	1	111	114	1	111	4.87e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	61.408855		bin_91	Binning	bin_91	1.1347649	62.8573	12.879538	48458.863	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
k141_2898881_1	k141_2898881	gb|WP_063864115.1|ARO:3005734|OXA-504	98.5	264	265	1	264	264	1	264	7.15e-194	529.0		beta_lactam	beta_lactam__OXA-427	OXA	Enzymatic inactivation	Class D beta-lactamase					III	genome	25.38764		bin_80	Binning	bin_80	0.6471447	35.846867	7.339683	27615.334	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae
k141_2038872_1	k141_2038872	gi|53794413|gb|AAU93764.1|	99.6	246	248	3	248	301	33	278	1.91e-175	483.0		aminoglycoside	aminoglycoside__aadA	aadA-ANT(3'')-IIa	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	plasmid	106.541405	unmob	bin_130	Hi-C	bin_130	0.16258147	9.005771	1.8525122	6970.022	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__Brachymonas sp018054915
k141_2038872_2	k141_2038872	gi|426206800|emb|CCP09090.1|	100.0	273	275	2	274	276	4	276	2.5799999999999996e-197	538.0		beta_lactam	beta_lactam__OXA-10	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	I	plasmid	106.541405	unmob	bin_130	Hi-C	bin_130	0.16258147	9.005771	1.8525122	6970.022	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__Brachymonas sp018054915
k141_1173733_2	k141_1173733	YP_002552549	90.1	273	277	4	276	274	2	274	1.81e-172	476.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	20.384588		bin_137	Binning	bin_137	0.4370317	24.208214	4.952335	18633.01	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Acidovorax_C;s__
k141_4394064_8	k141_4394064	YP_002552549	81.3	273	275	1	273	274	1	273	1.83e-153	427.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	31.911283		bin_4	Binning	bin_4	0.5122757	28.376158	5.79145	21790.154	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Rubrivivax_A;s__Rubrivivax_A sp019635285
k141_4417948_2	k141_4417948	YP_002552549	90.9	274	275	1	274	274	1	274	1.05e-175	484.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	22.201754		bin_66	Binning	bin_66	0.53426754	29.594336	6.094409	22930.03	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Alicycliphilus;s__Alicycliphilus sp018054745
k141_752511_13	k141_752511	YP_002552549	81.2	276	315	39	314	274	1	274	1.06e-160	447.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	6.6482363		bin_55	Binning	bin_55	0.14837758	8.218984	1.6937737	6372.7744	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Pelomonas;s__
k141_2643957_23	k141_2643957	ABF20240	100.0	21	21	1	21	210	1	21	4.97e-10	48.9		chloramphenicol	chloramphenicol__catB3	catB3	Enzymatic inactivation	cat		Yes	Yes	Yes	IV	genome	9.521077		bin_130	Binning	bin_130	0.16258147	9.005771	1.8525122	6970.022	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__Brachymonas sp018054915
k141_3249472_3	k141_3249472	AAR05762	100.0	301	302	1	301	301	1	301	1.78e-217	592.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mph(A)	mph(A)	Enzymatic inactivation	phosphorylases	MLS_macrolide	Yes	Yes	Yes	I	plasmid	187.31998	unmob	bin_130	Hi-C	bin_130	0.16258147	9.005771	1.8525122	6970.022	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__Brachymonas sp018054915
