qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	swh-i_578335-checked_1.fq Relative Abundance (%)	swh-i_578335-checked_1.fq Mean	swh-i_578335-checked_1.fq RPKM	swh-i_578335-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_4654913_109	k141_4654913	gb|ADV91011.1|ARO:3000245|RbpA	97.3	112	113	1	112	114	1	112	2.61e-79	227.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	plasmid	13.47265	unmob	bin_1	Binning	bin_1	0.20697735	14.975817	4.541176	12993.53	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium mageritense	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium mageritense	d__Bacteria	300.4670965	p__Actinomycetota	14.975817	c__Actinomycetia	14.975817	o__Mycobacteriales	14.975817	f__Mycobacteriaceae	14.975817	g__Mycobacterium	14.975817	s__Mycobacterium mageritense	14.975817
k141_780329_3	k141_780329	gb|ADZ12700.1|ARO:3005090|RanB	82.7	248	251	3	250	253	6	253	1.03e-141	396.0		multidrug	multidrug__RanB								IV	genome	15.282979		bin_101	Binning	bin_101	0.18383025	13.301011	4.024979	11516.55	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Epilithonimonas;s__Epilithonimonas vandammei	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Weeksellaceae	g__Epilithonimonas	s__Epilithonimonas vandammei			p__Bacteroidota	65.097996	c__Bacteroidia	65.097996	o__Flavobacteriales	13.301011	f__Weeksellaceae	13.301011	g__Epilithonimonas	13.301011	s__Epilithonimonas vandammei	13.301011
k141_4938_2	k141_4938	gb|WP_063864115.1|ARO:3005734|OXA-504	98.9	264	265	1	264	264	1	264	3.55e-194	530.0		beta_lactam	beta_lactam__OXA-427	OXA	Enzymatic inactivation	Class D beta-lactamase					III	genome	58.034096		bin_23	Binning	bin_23	0.58096516	42.03565	12.695435	36325.055	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas caviae			p__Pseudomonadota	180.53203100000002	c__Gammaproteobacteria	161.9639345	o__Enterobacterales_A	42.03565	f__Aeromonadaceae	42.03565	g__Aeromonas	42.03565	s__Aeromonas caviae	42.03565
k141_4697269_2	k141_4697269	U19459.gene.p01	80.1	211	212	1	211	212	1	211	2.08e-135	377.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	IV	genome	6.045297		bin_43	Binning	bin_43	0.12064453	8.729218	2.6230714	7505.312	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Macellibacteroides;s__Macellibacteroides fermentans	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Macellibacteroides	s__Macellibacteroides fermentans			p__Bacillota_A	24.9578535	c__Clostridia	24.9578535	o__Bacteroidales	51.796985	f__Tannerellaceae	8.729218	g__Macellibacteroides	8.729218	s__Macellibacteroides fermentans	8.729218
k141_692760_3	k141_692760	U19459.gene.p01	82.0	211	212	1	211	212	1	211	5.1199999999999996e-136	378.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	IV	genome	24.548832		bin_74	Binning	bin_74	0.2060235	14.906801	4.531932	12967.077	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Saccharofermentans;s__Saccharofermentans sp022484595	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Saccharofermentanales	f__Saccharofermentanaceae	g__Saccharofermentans	s__Saccharofermentans sp022484595			p__Bacillota_C	14.903399	c__Alphaproteobacteria	18.5680965	o__Saccharofermentanales	14.906801	f__Saccharofermentanaceae	14.906801	g__Saccharofermentans	14.906801	s__Saccharofermentans sp022484595	14.906801
k141_1563700_2	k141_1563700	YP_001186705	90.9	824	824	1	824	1017	1	824	0.0	1430.0	multicomponent system	multidrug	multidrug__mexW	mexW	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	37.59334		bin_40	Binning	bin_40	0.35903752	25.978107	7.7779083	22254.691	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E alcaligenes	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E alcaligenes					c__Negativicutes	14.903399	o__Pseudomonadales	31.076277	f__Pseudomonadaceae	25.978107	g__Pseudomonas_E	25.978107	s__Pseudomonas_E alcaligenes	25.978107
k141_4673664_5	k141_4673664	gb|AAA88548.1|ARO:3002597|AAC(6')-Ie-APH(2'')-Ia	100.0	479	480	1	479	479	1	479	0.0	977.0		aminoglycoside	aminoglycoside__AAC(6')-Ie-APH(2'')-Ia	AAC(6')-Ie-APH(2'')-Ia	Enzymatic inactivation	Acetyltransferases	AAC(6')	Yes	Yes	Yes	I	plasmid	53.772167	unmob	bin_125	Hi-C	bin_125	0.057065014	4.128931	1.2330421	3528.0654	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminococcus_D	s__Ruminococcus_D bicirculans							o__Oscillospirales	4.128931	f__Ruminococcaceae	4.128931	g__Ruminococcus_D	4.128931	s__Ruminococcus_D bicirculans	4.128931
k141_2503624_1	k141_2503624	gb|AAF74725.1|ARO:3004659|Mef(En2)	99.5	401	402	1	401	401	1	401	1.1000000000000001e-282	765.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(En2)	mef(En2)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	III	genome	55.50688		bin_8	Binning	bin_8	0.37000027	26.771317	8.054285	23045.48	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola vulgatus							o__Lachnospirales	5.9221215	f__Bacteroidaceae	43.067767	g__Phocaeicola	26.771317	s__Phocaeicola vulgatus	26.771317
k141_1574651_11	k141_1574651	YP_002929946	98.2	282	283	1	282	282	1	282	1.03e-186	512.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	III	genome	8.219119		bin_83	Binning	bin_83	0.08184829	5.9221215	1.7809254	5095.7065	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_A	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira eligens_A							o__Burkholderiales	80.873818	f__Lachnospiraceae	5.9221215	g__Lachnospira	5.9221215	s__Lachnospira eligens_A	5.9221215
k141_2505894_18	k141_2505894	FJ790516.1.gene3.p01	100.0	37	38	1	37	265	1	37	6.32e-17	68.9		beta_lactam	beta_lactam__OXA-145	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	IV	genome	7.262319		bin_82	Binning	bin_82	0.12936641	9.360289	2.859173	8180.8613	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CTSOIL-112;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__CTSOIL-112	s__							o__Rhodobacterales	13.4110725	f__Burkholderiaceae	9.360289	g__CTSOIL-112	9.360289	s__	33.0265555
