qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	sh-e_579967-checked_1.fq Relative Abundance (%)	sh-e_579967-checked_1.fq Mean	sh-e_579967-checked_1.fq RPKM	sh-e_579967-checked_1.fq TPM	host_taxonomy
k141_1818566_4	k141_1818566	AF001493.1.orf0.gene.p01	83.3	138	143	5	142	143	6	143	1.16e-87	250.0		rifamycin	rifamycin__arr-1	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	8.6063		bin_8	Binning	bin_8	0.4272273	21.718456	2.9465573	11810.876	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium senegalense
k141_1524263_1	k141_1524263	AF001493.1.orf0.gene.p01	87.0	138	140	2	139	143	6	143	1.12e-91	260.0		rifamycin	rifamycin__arr-1	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	6.168634		bin_8	Binning	bin_8	0.4272273	21.718456	2.9465573	11810.876	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium senegalense
k141_636998_9	k141_636998	AF001493.1.orf0.gene.p01	83.1	142	157	15	156	143	2	143	2.13e-89	255.0		rifamycin	rifamycin__arr-1	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	11.760535		bin_11	Binning	bin_11	0.5179552	26.330687	3.545407	14211.286	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium fortuitum
k141_1253341_14	k141_1253341	AF001493.1.orf0.gene.p01	83.9	143	157	14	156	143	1	143	5.24e-90	257.0		rifamycin	rifamycin__arr-1	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	10.756974		bin_8	Binning	bin_8	0.4272273	21.718456	2.9465573	11810.876	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium senegalense
k141_559386_10	k141_559386	AF001493.1.orf0.gene.p01	80.4	143	157	14	156	143	1	143	8.33e-87	249.0		rifamycin	rifamycin__arr-1	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	11.377857		bin_11	Binning	bin_11	0.5179552	26.330687	3.545407	14211.286	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium fortuitum
k141_1786406_8	k141_1786406	gb|ADV91011.1|ARO:3000245|RbpA	85.6	111	112	1	111	114	1	111	1.63e-66	194.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	20.593102		bin_14	Binning	bin_14	0.38939023	19.79498	2.6881776	10775.195	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia cyriacigeorgica_B
k141_1500373_13	k141_1500373	gb|ADV91011.1|ARO:3000245|RbpA	95.5	111	112	1	111	114	1	111	3.43e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	12.94537		bin_63	Binning	bin_63	0.34550354	17.563961	2.3971264	9608.554	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp020438895
k141_1811360_5	k141_1811360	gb|ADV91011.1|ARO:3000245|RbpA	97.3	112	113	1	112	114	1	112	3.71e-79	226.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	29.168175		bin_11	Binning	bin_11	0.5179552	26.330687	3.545407	14211.286	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium fortuitum
k141_1553818_14	k141_1553818	gb|ADV91011.1|ARO:3000245|RbpA	80.2	111	115	1	111	114	1	111	1.7e-62	184.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	6.0883465		bin_96	Binning	bin_96	0.13446659	6.8357215	0.9304127	3729.4338	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Gordonia;s__Gordonia sihwensis
k141_1861187_17	k141_1861187	gb|ADV91011.1|ARO:3000245|RbpA	97.3	112	113	1	112	114	1	112	2.6100000000000002e-79	227.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	19.867086		bin_8	Binning	bin_8	0.4272273	21.718456	2.9465573	11810.876	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium senegalense
