qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	s-i_578603-checked_1.fq Relative Abundance (%)	s-i_578603-checked_1.fq Mean	s-i_578603-checked_1.fq RPKM	s-i_578603-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_3858849_25	k141_3858849	gb|ADV91011.1|ARO:3000245|RbpA	94.6	111	112	1	111	114	1	111	4.87e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	61.408855		bin_91	Binning	bin_91	1.1347649	62.8573	12.879538	48458.863	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__	d__Bacteria	283.44447060000005	p__Actinomycetota	62.8573	c__Actinomycetia	62.8573	o__Mycobacteriales	62.8573	f__Mycobacteriaceae	62.8573	g__Mycobacterium	62.8573	s__	159.0809243
k141_2898881_1	k141_2898881	gb|WP_063864115.1|ARO:3005734|OXA-504	98.5	264	265	1	264	264	1	264	7.15e-194	529.0		beta_lactam	beta_lactam__OXA-427	OXA	Enzymatic inactivation	Class D beta-lactamase					III	genome	25.38764		bin_80	Binning	bin_80	0.6471447	35.846867	7.339683	27615.334	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas caviae			p__Pseudomonadota	172.19075449999997	c__Gammaproteobacteria	165.69226179999998	o__Enterobacterales_A	35.846867	f__Aeromonadaceae	35.846867	g__Aeromonas	35.846867	s__Aeromonas caviae	35.846867
k141_2038872_1	k141_2038872	gi|53794413|gb|AAU93764.1|	99.6	246	248	3	248	301	33	278	1.91e-175	483.0		aminoglycoside	aminoglycoside__aadA	aadA-ANT(3'')-IIa	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	plasmid	106.541405	unmob	bin_130	Hi-C	bin_130	0.16258147	9.005771	1.8525122	6970.022	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__Brachymonas sp018054915	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Brachymonas	s__Brachymonas sp018054915			p__Bacteroidota	45.176444000000004	c__Bacteroidia	45.176444000000004	o__Burkholderiales	112.9064508	f__Burkholderiaceae_B	106.14290150000001	g__Brachymonas	9.005771	s__Brachymonas sp018054915	9.005771
k141_1173733_2	k141_1173733	YP_002552549	90.1	273	277	4	276	274	2	274	1.81e-172	476.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	20.384588		bin_137	Binning	bin_137	0.4370317	24.208214	4.952335	18633.01	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Acidovorax_C;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Acidovorax_C	s__			p__Planctomycetota	3.2199721	c__Phycisphaerae	3.2199721	o__Chitinophagales	22.965528	f__Saprospiraceae	22.965528	g__Acidovorax_C	24.208214	s__Rubrivivax_A sp019635285	28.376158
k141_4394064_8	k141_4394064	YP_002552549	81.3	273	275	1	273	274	1	273	1.83e-153	427.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	31.911283		bin_4	Binning	bin_4	0.5122757	28.376158	5.79145	21790.154	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Rubrivivax_A;s__Rubrivivax_A sp019635285	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Rubrivivax_A	s__Rubrivivax_A sp019635285					c__Alphaproteobacteria	6.4984927	o__Pseudomonadales	16.938944	f__Moraxellaceae	16.938944	g__Rubrivivax_A	28.376158	s__Alicycliphilus sp018054745	29.594336
k141_4417948_2	k141_4417948	YP_002552549	90.9	274	275	1	274	274	1	274	1.05e-175	484.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	22.201754		bin_66	Binning	bin_66	0.53426754	29.594336	6.094409	22930.03	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Alicycliphilus;s__Alicycliphilus sp018054745	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Alicycliphilus	s__Alicycliphilus sp018054745							o__Phycisphaerales	3.2199721	f__UBA1924	3.2199721	g__Alicycliphilus	29.594336	s__Bacteroides_I graminisolvens	10.172118
k141_752511_13	k141_752511	YP_002552549	81.2	276	315	39	314	274	1	274	1.06e-160	447.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	6.6482363		bin_55	Binning	bin_55	0.14837758	8.218984	1.6937737	6372.7744	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Pelomonas;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Pelomonas	s__							o__Bacteroidales	14.776864999999999	f__Bacteroidaceae	14.776864999999999	g__Pelomonas	8.218984	s__Nitrosomonas sp008015595	6.7635493
k141_646548_1	k141_646548	gb|AAL59753.1|ARO:3000412|sul2	100.0	271	272	1	271	271	1	271	3.63e-186	510.0		sulfonamide	sulfonamide__sul2	sul2	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	74.32501	unmob	bin_56	Hi-C	bin_56	0.41459745	22.965528	4.711246	17725.92	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__UBA3362	s__							o__Flavobacteriales	7.434051	f__Flavobacteriaceae	7.434051	g__UBA3362	22.965528	s__Phocaeicola vulgatus	4.604747
k141_80157_6	k141_80157	gb|WP_082741435.1|ARO:3004569|ICR-Mo	80.9	544	544	3	541	558	15	558	0.0	886.0		polymyxin	polymyxin__ICR-Mo	ICR-Mo	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	26.792055		bin_116	Binning	bin_116	0.30579934	16.938944	3.4950526	13150.03	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella_A;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Moraxella_A	s__							o__Sphingomonadales	6.4984927	f__Nitrosomonadaceae	6.7635493	g__Moraxella_A	16.938944		
k141_951473_1	k141_951473	YP_581244	80.0	30	37	5	34	280	8	37	9.96e-10	49.3		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	3.5467181		bin_115	Binning	bin_115	0.058130264	3.2199721	0.64473754	2425.8054	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__UBA1924;g__JADLFW01;s__	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__UBA1924	g__JADLFW01	s__									f__Sphingomonadaceae	6.4984927	g__JADLFW01	3.2199721		
