qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	s-e_577476-checked_1.fq Relative Abundance (%)	s-e_577476-checked_1.fq Mean	s-e_577476-checked_1.fq RPKM	s-e_577476-checked_1.fq TPM	host_taxonomy
k141_4110192_2	k141_4110192	gb|WP_128268285.1|ARO:3006983|RSD2-2	99.2	252	269	18	268	252	1	252	9.92e-181	495.0		beta_lactam	beta_lactam__RSD2-2								III	genome	24.1		bin_121	Binning	bin_121	0.13771868	7.641061	1.4320623	5329.804	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum;s__Sulfurospirillum sp001548035
k141_3563589_1	k141_3563589	gb|AEH26330.1|ARO:3005009|qacE	81.8	44	45	1	44	110	67	110	3.86e-23	82.0		multidrug	multidrug__qacE								IV	genome	3.5760086		bin_149	Binning	bin_149	0.06222037	3.4521797	0.6496427	2417.8188	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__
k141_1101741_3	k141_1101741	YP_002552549	81.0	273	275	1	273	274	1	273	1.83e-153	427.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	6.050578		bin_29	Binning	bin_29	0.15052855	8.351792	1.5708846	5846.4673	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Rubrivivax_A;s__Rubrivivax_A sp019635285
k141_1923383_15	k141_1923383	gb|AAG07064.1|ARO:3003693|mexK	81.7	1022	1022	1	1020	1025	1	1022	0.0	1624.0	multicomponent system	multidrug	multidrug__mexK	mexK	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	67.92986		bin_7	Binning	bin_7	1.0896921	60.45951	11.328775	42163.066	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E mandelii
k141_1378940_9	k141_1378940	gb|AAF74725.1|ARO:3004659|Mef(En2)	99.5	401	402	1	401	401	1	401	1.1e-282	765.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(En2)	mef(En2)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	III	genome	5.3998103		bin_48	Binning	bin_48	0.09439667	5.2374215	0.9750224	3628.8057	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
k141_11095_63	k141_11095	Q4KC13	82.8	273	276	1	273	276	1	273	6.06e-162	449.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	4.5405645		bin_25	Binning	bin_25	0.10838534	6.0135565	1.1291494	4202.433	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E agarici
k141_1785142_88	k141_1785142	Q4KC13	89.9	276	277	1	276	276	1	276	2.7000000000000002e-179	493.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	43.478214		bin_7	Binning	bin_7	1.0896921	60.45951	11.328775	42163.066	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E mandelii
k141_1380669_2	k141_1380669	gb|CAB76928.1|ARO:3004837|OXA-724	100.0	264	265	1	264	264	1	264	2.2299999999999998e-197	538.0		beta_lactam	beta_lactam__OXA-724	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	IV	genome	1.8461254		bin_69	Binning	bin_69	0.2360045	13.094265	2.4582653	9149.091	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae
k141_1382082_4	k141_1382082	gi|808667354|emb|CQD17781.1|	80.2	409	408	2	407	426	18	426	1.38e-219	607.0		tetracycline	tetracycline__tet(V)	tet(V)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	11.605844		bin_12	Binning	bin_12	0.25857073	14.346309	2.7123883	10094.879	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
k141_1108663_5	k141_1108663	AY463797.7.gene32.p01	100.0	278	279	1	278	278	1	278	1.64e-206	562.0		aminoglycoside	aminoglycoside__APH(6)-Id	APH(6)-Id	Enzymatic inactivation	Phosphotransferases	APH(6)	Yes	Yes	Yes	IV	plasmid	13.645203	unmob	bin_102	Binning	bin_102	0.106918976	5.9321976	1.1145368	4148.046	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_C;g__;s__
k141_1108663_6	k141_1108663	AF313472.2.gene15.p01	99.6	267	268	1	267	267	1	267	1.06e-201	549.0		aminoglycoside	aminoglycoside__APH(3'')-Ib	APH(3'')-Ib	Enzymatic inactivation	Phosphotransferases	APH(3'')	Yes	Yes	Yes	I	plasmid	13.645203	unmob	bin_102	Binning	bin_102	0.106918976	5.9321976	1.1145368	4148.046	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_C;g__;s__
k141_3300355_2	k141_3300355	gb|ADV91011.1|ARO:3000245|RbpA	92.0	112	113	1	112	114	1	112	2.07e-76	219.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	141.80136		bin_15	Binning	bin_15	1.863574	103.39689	19.315	71885.93	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp020438785
k141_3925420_27	k141_3925420	gb|ADV91011.1|ARO:3000245|RbpA	92.9	112	113	1	112	114	1	112	3.57e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	5.8272862		bin_85	Binning	bin_85	0.12283109	6.8150516	1.2877632	4792.7563	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
k141_3157367_44	k141_3157367	gb|ADV91011.1|ARO:3000245|RbpA	92.9	112	113	1	112	114	1	112	4.88e-75	216.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	21.218569		bin_47	Binning	bin_47	0.44797117	24.854836	4.6810822	17421.898	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium insubricum
k141_2976024_66	k141_2976024	gb|ADV91011.1|ARO:3000245|RbpA	91.0	111	113	1	111	114	1	111	3.3e-73	211.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	10.540829		bin_12	Binning	bin_12	0.25857073	14.346309	2.7123883	10094.879	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
k141_3575973_33	k141_3575973	YP_349555	86.6	276	278	1	276	277	1	276	1.9199999999999999e-168	466.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	53.139717		bin_7	Binning	bin_7	1.0896921	60.45951	11.328775	42163.066	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E mandelii
k141_2483504_7	k141_2483504	YP_350221	94.3	1009	1012	1	1009	1009	1	1009	0.0	1800.0	multicomponent system	multidrug	multidrug__mexW	mexW	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	43.385197		bin_7	Binning	bin_7	1.0896921	60.45951	11.328775	42163.066	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E mandelii
k141_3311021_5	k141_3311021	CAI46978	100.0	293	296	3	295	293	1	293	1.63e-205	561.0		beta_lactam	beta_lactam__Other class A beta-lactamase	Other class A beta-lactamase	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	II	plasmid	66.66336	unmob	bin_134	Hi-C	bin_134	0.055901993	3.1016164	0.5758428	2143.1528	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__
k141_1260490_1	k141_1260490	CAI46978	97.9	96	97	1	96	293	198	293	2.11e-57	177.0		beta_lactam	beta_lactam__Other class A beta-lactamase	Other class A beta-lactamase	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	II	genome	5.4771614		bin_134	Binning	bin_134	0.055901993	3.1016164	0.5758428	2143.1528	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__
k141_4137047_1	k141_4137047	AF472622.2.gene1.p01	100.0	321	322	1	321	321	1	321	2.78e-231	628.0		beta_lactam	beta_lactam__CfxA3	CfxA	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	plasmid	10.113566	mob_unconj	bin_48	Hi-C	bin_48	0.09439667	5.2374215	0.9750224	3628.8057	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
k141_1676786_132	k141_1676786	gb|CAA03986.1|ARO:3000343|tap	82.2	404	418	1	404	409	1	404	8.95e-226	622.0		multidrug	multidrug__tap	tap	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	8.629546		bin_39	Binning	bin_39	0.20881161	11.585518	2.1981285	8180.924	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
k141_496145_13	k141_496145	gb|CAA03986.1|ARO:3000343|tap	83.3	406	409	1	405	409	1	406	9.87e-230	632.0		multidrug	multidrug__tap	tap	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	11.364073		bin_12	Binning	bin_12	0.25857073	14.346309	2.7123883	10094.879	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
k141_69535_39	k141_69535	YP_550152	81.2	271	275	2	272	277	5	275	1.5000000000000001e-155	433.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	plasmid	5.7179594	unmob	bin_60	Binning	bin_60	0.10599099	5.8807106	1.1063058	4117.4126	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Rhodoferax_C;s__
k141_3045988_56	k141_3045988	gi|496340078|ref|WP_009049256.1|	92.5	1059	1060	1	1059	1059	1	1059	0.0	1873.0	multicomponent system	multidrug	multidrug__MexF	MexF	Efflux pump			Yes	Yes	Yes	IV	genome	4.1054254		bin_25	Binning	bin_25	0.10838534	6.0135565	1.1291494	4202.433	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E agarici
k141_3606345_3	k141_3606345	gi|504109716|ref|WP_014343702.1|	99.8	405	406	1	405	405	1	405	1.15e-286	775.0		tetracycline	tetracycline__tet(E)	tet(E)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	II	plasmid	13.854897	unmob	bin_69	Hi-C	bin_69	0.2360045	13.094265	2.4582653	9149.091	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae
k141_1966501_61	k141_1966501	gi|740796309|ref|WP_038581593.1|	88.1	1050	1051	1	1050	1048	1	1048	0.0	1768.0	multicomponent system	multidrug	multidrug__MexB	MexB	Efflux pump			Yes	Yes	Yes	IV	plasmid	6.1295214	Conj	bin_25	Binning	bin_25	0.10838534	6.0135565	1.1291494	4202.433	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E agarici
k141_3991882_4	k141_3991882	gb|CCP45647.1|ARO:3003955|efpA	80.5	532	526	1	525	530	1	530	1.22e-283	778.0		multidrug	multidrug__efpA	efpA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	13.872106		bin_39	Binning	bin_39	0.20881161	11.585518	2.1981285	8180.924	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
k141_1976937_2	k141_1976937	gb|WP_063864115.1|ARO:3005734|OXA-504	98.9	264	265	1	264	264	1	264	3.55e-194	530.0		beta_lactam	beta_lactam__OXA-427	OXA	Enzymatic inactivation	Class D beta-lactamase					III	genome	14.265394		bin_69	Binning	bin_69	0.2360045	13.094265	2.4582653	9149.091	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae
k141_61973_3	k141_61973	gi|966396486|ref|WP_058441292.1|	80.2	1053	1061	1	1053	1063	1	1053	0.0	1631.0	multicomponent system	multidrug	multidrug__MexF	MexF	Efflux pump			Yes	Yes	Yes	IV	genome	20.832508		bin_115	Binning	bin_115	0.3853973	21.383041	3.999856	14886.533	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella_A;s__
k141_4009807_1	k141_4009807	YP_970399	82.4	68	74	6	73	274	3	70	1.2500000000000002e-35	119.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	16.103645		bin_52	Binning	bin_52	0.28356338	15.732979	2.9365063	10928.989	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Piscinibacter;s__Piscinibacter sp017983795
k141_3911518_1	k141_3911518	gb|WP_063865154.1|ARO:3006211|VEB-14	100.0	35	35	1	35	298	1	35	6.9e-15	63.5		beta_lactam	beta_lactam__VEB-9	VEB	Enzymatic inactivation	Class A beta-lactamase					III	plasmid	36.50178	unmob	bin_97	Binning	bin_97	0.1562176	8.667439	1.6107192	5994.723	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp018057925
k141_2824018_1	k141_2824018	AF479774.1.gene7.p01	100.0	189	190	1	189	274	86	274	1.07e-141	394.0		beta_lactam	beta_lactam__OXA-9	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	I	genome	2.766323		bin_101	Binning	bin_101	0.06447043	3.5770202	0.67807806	2523.6487	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sterolibacterium;s__Sterolibacterium sp018062105
k141_2008959_4	k141_2008959	gb|WP_150378267.1|ARO:3005057|tet(X5)	100.0	40	40	1	40	388	1	40	4.89e-21	81.3		tetracycline	tetracycline__tet(X5)	tet(X)	Enzymatic inactivation						IV	genome	4.0167446		bin_94	Binning	bin_94	0.084320955	4.678389	0.8792698	3272.4365	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__
