qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage
k141_700391_3	k141_700391	AM087411.1.gene3.p01	100.0	281	282	1	281	281	1	281	1.34e-202	552.0		aminoglycoside	aminoglycoside__aadA6	aadA-ANT(3'')-IIa	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	1.8330419
k141_3846608_1	k141_3846608	gi|966476691|ref|WP_058507424.1|	87.2	78	78	1	78	1063	1	78	1.2500000000000001e-37	130.0	multicomponent system	multidrug	multidrug__MexF	MexF	Efflux pump			Yes	Yes	Yes	IV	genome	2.0984175
k141_1903_1	k141_1903	gb|ACT97371.1|ARO:3003097|CfxA6	100.0	57	58	1	57	331	275	331	2.19e-34	117.0		beta_lactam	beta_lactam__CfxA6	CfxA	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	genome	3.899021
k141_3149027_3	k141_3149027	gi|852275723|ref|WP_048329135.1|	93.7	95	95	1	95	1056	1	95	4.36e-51	170.0	multicomponent system	multidrug	multidrug__MexF	MexF	Efflux pump			Yes	Yes	Yes	IV	genome	2.9054842
k141_1420204_1	k141_1420204	gi|852275723|ref|WP_048329135.1|	80.3	66	79	2	67	1056	356	421	5.72e-24	92.0	multicomponent system	multidrug	multidrug__MexF	MexF	Efflux pump			Yes	Yes	Yes	IV	genome	1.3328551
k141_3185749_1	k141_3185749	gi|852275723|ref|WP_048329135.1|	87.6	897	899	1	897	1056	152	1048	0.0	1525.0	multicomponent system	multidrug	multidrug__MexF	MexF	Efflux pump			Yes	Yes	Yes	IV	genome	3.0556645
k141_4900447_1	k141_4900447	YP_523088	87.5	88	102	2	89	277	45	132	3.7499999999999996e-48	153.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	2.761242
k141_611908_1	k141_611908	YP_523088	86.5	37	37	1	37	277	12	48	1.82e-16	67.8		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	1.7492712
k141_4900447_2	k141_4900447	YP_985461	89.1	129	131	1	129	274	145	273	9.32e-80	234.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	2.761242
k141_642364_1	k141_642364	YP_985461	85.3	170	172	1	170	274	104	273	1.19e-103	297.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	1.599016
k141_4203645_2	k141_4203645	gb|AAL59753.1|ARO:3000412|sul2	100.0	271	272	1	271	271	1	271	3.6299999999999998e-186	510.0		sulfonamide	sulfonamide__sul2	sul2	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	26.711538
k141_1409673_2	k141_1409673	gb|ACJ63262.1|ARO:3003107|mefB	97.1	409	410	1	409	409	1	409	5.87e-282	764.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	plasmid	1.8966426
k141_1059780_4	k141_1059780	AF030344.gene.p01	84.6	123	125	1	123	419	296	418	8.24e-62	193.0		tetracycline	tetracycline__tet(V)	tet(V)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	2.5364807
