qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	s-as_579739-checked_1.fq Relative Abundance (%)	s-as_579739-checked_1.fq Mean	s-as_579739-checked_1.fq RPKM	s-as_579739-checked_1.fq TPM	host_taxonomy
k141_769654_4	k141_769654	gb|ADV91011.1|ARO:3000245|RbpA	92.9	112	113	1	112	114	1	112	5.0700000000000004e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	26.887896		bin_113	Binning	bin_113	0.87589866	39.876896	5.6941123	25972.053	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
k141_3281803_1	k141_3281803	gi|808041102|ref|WP_046203752.1|	100.0	51	51	1	51	283	1	51	3.02e-28	99.8		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	39.793983	unmob	bin_177	Hi-C	bin_177	0.06555281	2.984412	0.42091933	1919.9027	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__JAGLBJ01;s__
k141_1572491_8	k141_1572491	YP_002552549	81.2	276	315	39	314	274	1	274	1.06e-160	447.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	22.102121		bin_75	Binning	bin_75	0.45440885	20.687798	2.9143367	13292.907	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Pelomonas;s__
k141_3042287_3	k141_3042287	AB104852.1.gene6.p01	100.0	278	279	1	278	279	2	279	2.04e-198	541.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	42.87816	unmob	bin_177	Hi-C	bin_177	0.06555281	2.984412	0.42091933	1919.9027	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__JAGLBJ01;s__
k141_1538812_2	k141_1538812	gi|446136270|ref|WP_000214125.1|	100.0	404	405	1	404	404	1	404	1.04e-277	753.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	3.6305954	unmob	bin_145	Hi-C	bin_145	0.08670419	3.9473672	0.5558935	2535.548	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__TMP-24;s__
k141_280760_1	k141_280760	gb|AAL59753.1|ARO:3000412|sul2	100.0	271	272	1	271	271	1	271	3.6299999999999998e-186	510.0		sulfonamide	sulfonamide__sul2	sul2	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	42.949806	unmob	bin_124	Hi-C	bin_124	0.366849	16.701473	2.3725164	10821.552	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__B-17BO;g__UBA2475;s__
k141_1548522_5	k141_1548522	P14171	100.0	293	294	1	293	293	1	293	3.3000000000000003e-209	570.0		beta_lactam	beta_lactam__RCP-1	RCP-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	genome	6.7860904		bin_123	Binning	bin_123	0.38325226	17.448263	2.4747639	11287.92	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__JADJTR01;s__
k141_2935582_23	k141_2935582	YP_981592	84.8	276	275	1	273	277	1	276	1.46e-169	468.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	3.228607		bin_117	Binning	bin_117	0.108509764	4.940106	0.71102226	3243.1235	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__JAHBZM01;s__
k141_2096130_31	k141_2096130	gb|CCP45647.1|ARO:3003955|efpA	80.2	530	525	1	524	530	1	530	3.7099999999999995e-287	787.0		multidrug	multidrug__efpA	efpA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	29.138254		bin_113	Binning	bin_113	0.87589866	39.876896	5.6941123	25972.053	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
k141_2337389_5	k141_2337389	BAC67144	99.7	396	397	1	396	396	1	396	2.5499999999999997e-274	743.0		tetracycline	tetracycline__tet(C)	tet(C)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	10.5921955	unmob	bin_177	Binning	bin_177	0.06555281	2.984412	0.42091933	1919.9027	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__JAGLBJ01;s__
k141_330285_1	k141_330285	gb|AAA27459.1|ARO:3004683|aadS	84.9	152	152	1	152	287	1	152	5.82e-92	267.0		aminoglycoside	aminoglycoside__aadS	aadS	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(6)	Yes	Yes	Yes	II	genome	36.397194		bin_161	Binning	bin_161	0.6986583	31.8077	4.466377	20372.09	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp018057925
k141_2628519_7	k141_2628519	ZP_02884769	82.1	56	66	10	65	280	9	64	2.2700000000000002e-26	95.5		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	9.586448		bin_107	Binning	bin_107	0.22640863	10.307669	1.4630417	6673.243	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__VBCG01;s__
k141_126961_2	k141_126961	AF313472.2.gene15.p01	98.9	267	268	1	267	267	1	267	2.51e-200	545.0		aminoglycoside	aminoglycoside__APH(3'')-Ib	APH(3'')-Ib	Enzymatic inactivation	Phosphotransferases	APH(3'')	Yes	Yes	Yes	I	plasmid	10.8115835	unmob	bin_118	Binning	bin_118	0.20712353	9.429679	1.3378952	6102.422	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__
k141_126961_3	k141_126961	AY463797.7.gene32.p01	100.0	278	279	1	278	278	1	278	1.64e-206	562.0		aminoglycoside	aminoglycoside__APH(6)-Id	APH(6)-Id	Enzymatic inactivation	Phosphotransferases	APH(6)	Yes	Yes	Yes	IV	plasmid	10.8115835	unmob	bin_118	Binning	bin_118	0.20712353	9.429679	1.3378952	6102.422	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__
k141_128560_10	k141_128560	YP_550152	81.2	271	275	2	272	277	5	275	1.5000000000000001e-155	433.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	3.4766755		bin_106	Binning	bin_106	0.093046114	4.2360954	0.6025292	2748.2642	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Rhodoferax_C;s__
k141_2397614_1	k141_2397614	gb|CAZ48628.1|ARO:3002852|arr-7	98.0	150	151	1	150	150	1	150	1.3500000000000002e-110	309.0		rifamycin	rifamycin__arr-7	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	4.980198		bin_160	Binning	bin_160	0.1433374	6.525698	0.92441046	4216.431	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__
k141_404896_1	k141_404896	gb|BAL43359.1|ARO:3003742|mphG	99.3	294	295	1	294	294	1	294	8.500000000000001e-217	589.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mph(G)	mph(G)	Enzymatic inactivation	phosphorylases	MLS_macrolide	Yes	Yes	Yes	II	plasmid	7.2388935	unmob	bin_161	Hi-C	bin_161	0.6986583	31.8077	4.466377	20372.09	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp018057925
k141_404896_2	k141_404896	gb|BAL43360.1|ARO:3003745|mefC	99.8	407	408	1	407	407	1	407	1.26e-275	748.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(C)	mef(C)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	II	plasmid	7.2388935	unmob	bin_161	Hi-C	bin_161	0.6986583	31.8077	4.466377	20372.09	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp018057925
k141_931054_1	k141_931054	CAC47932	100.0	388	389	1	388	388	1	388	3.71e-288	778.0		tetracycline	tetracycline__tetX2	tet(X)	Enzymatic inactivation			Yes	Yes	Yes	IV	plasmid	55.981594	unmob	bin_109	Hi-C	bin_109	0.18733954	8.528976	1.2099605	5518.886	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp001567405
k141_486994_4	k141_486994	AY463797.7.gene28.p01	100.0	399	400	1	399	399	1	399	1.7e-285	772.0		tetracycline	tetracycline__tet(A)	tet(A)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	5.073502	unmob	bin_31	Hi-C	bin_31	0.13868073	6.3136945	0.8922498	4069.74	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__SCN-70-22;s__
k141_486994_4	k141_486994	AY463797.7.gene28.p01	100.0	399	400	1	399	399	1	399	1.7e-285	772.0		tetracycline	tetracycline__tet(A)	tet(A)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	5.073502	unmob	bin_112	Hi-C	bin_112	0.053055253	2.4154377	0.3387756	1545.2266	d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Turneriellales;f__Turneriellaceae;g__Turneriella;s__
k141_2010808_27	k141_2010808	FM897214.1.orf2.gene.p01	92.8	83	84	1	83	150	68	150	2.6300000000000002e-56	169.0		rifamycin	rifamycin__arr-3	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	12.157089		bin_171	Binning	bin_171	0.47592	21.66713	3.0688777	13997.8	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas sp008015595
