qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	YL-E_579475-checked_1.fq Relative Abundance (%)	YL-E_579475-checked_1.fq Mean	YL-E_579475-checked_1.fq RPKM	YL-E_579475-checked_1.fq TPM	host_taxonomy
k141_365721_4	k141_365721	AY339985.2.gene4.p01	84.0	100	103	1	100	323	222	321	4.3699999999999995e-54	169.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	9.361271	unmob	bin_46	Hi-C	bin_46	0.09475263	4.8898654	0.61862046	2470.5818	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium sp020446425
k141_120420_15	k141_120420	gb|ADV91011.1|ARO:3000245|RbpA	94.6	111	112	1	111	114	1	111	1.98e-76	219.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	plasmid	39.795017	unmob	bin_17	Binning	bin_17	1.8770704	96.86931	12.272451	49012.434	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
k141_601078_1	k141_601078	gb|ADV91011.1|ARO:3000245|RbpA	96.4	111	113	2	112	114	1	111	6.17e-78	223.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	106.242836		bin_17	Binning	bin_17	1.8770704	96.86931	12.272451	49012.434	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
k141_352272_3	k141_352272	gb|CAJ98570.1|ARO:3003071|mphF	100.0	299	300	1	299	299	1	299	1.2699999999999999e-225	612.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mph(F)	mph(F)	Enzymatic inactivation	phosphorylases	MLS_macrolide	Yes	Yes	Yes	I	genome	87.869415		bin_22	Binning	bin_22	1.8222249	94.03891	11.90998	47564.84	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__
k141_1045411_22	k141_1045411	gb|CAA03986.1|ARO:3000343|tap	85.3	400	415	9	408	409	5	404	3.39e-234	643.0		multidrug	multidrug__tap	tap	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	8.301996		bin_9	Binning	bin_9	0.1740185	8.980511	1.1443952	4570.367	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium austroafricanum
k141_7747_1	k141_7747	S46063.1.gene1.p2	89.5	304	308	1	304	304	1	304	1.11e-195	537.0		beta_lactam	beta_lactam__CARB-3	CARB	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	genome	25.72992		bin_19	Binning	bin_19	0.26754206	13.806947	1.7622485	7037.8853	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__JADJWY01;s__
k141_1743640_4	k141_1743640	BAC67144	99.7	396	397	1	396	396	1	396	2.5499999999999997e-274	743.0		tetracycline	tetracycline__tet(C)	tet(C)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	8.601001	unmob	bin_5	Hi-C	bin_5	0.09798871	5.0568686	0.6390901	2552.3315	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__
k141_821771_4	k141_821771	CAI46978	100.0	293	294	1	293	293	1	293	5.24e-206	562.0		beta_lactam	beta_lactam__Other class A beta-lactamase	Other class A beta-lactamase	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	II	genome	11.281298		bin_26	Binning	bin_26	0.37928542	19.573648	2.4905396	9946.456	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__Thiothrix nivea
k141_708352_18	k141_708352	YP_970399	86.8	272	275	1	272	274	1	272	1.7e-165	458.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	10.543905		bin_30	Binning	bin_30	0.19690602	10.161659	1.2832564	5124.936	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Giesbergeria;s__Giesbergeria sp023954095
k141_1170560_2	k141_1170560	AY536519.1.gene1.p01	100.0	299	300	1	299	299	1	299	1.46e-215	587.0		beta_lactam	beta_lactam__VEB-3	VEB	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	I	plasmid	752.1672	unmob	bin_27	Hi-C	bin_27	16.167988	834.37555	107.562004	429569.9	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__
k141_1171192_1	k141_1171192	gb|AAC09012.1|ARO:3002243|CARB-4	99.3	288	289	1	288	288	1	288	6.88e-204	556.0		beta_lactam	beta_lactam__CARB-4	CARB	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	I	plasmid	228.27962	unmob	bin_22	Binning	bin_22	1.8222249	94.03891	11.90998	47564.84	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__
k141_717550_3	k141_717550	AY743590.gene.p01	100.0	361	362	1	361	395	35	395	1.3499999999999998e-255	694.0		tetracycline	tetracycline__tet(39)	tet(39)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	3.4341004	unmob	bin_69	Binning	bin_69	0.09501153	4.903226	0.61992764	2475.8013	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__Bacteroides_I graminisolvens
k141_1646591_1	k141_1646591	AF118110.1.gene1.p01	99.7	321	322	1	321	321	1	321	1.1299999999999998e-230	627.0		beta_lactam	beta_lactam__CfxA2	CfxA	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	II	plasmid	3.4371471	unmob	bin_69	Hi-C	bin_69	0.09501153	4.903226	0.61992764	2475.8013	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__Bacteroides_I graminisolvens
k141_1069205_11	k141_1069205	EAS48788	80.0	30	38	9	38	296	9	38	3.51e-12	56.2		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	3.4844542		bin_78	Binning	bin_78	0.073438525	3.7899156	0.47414002	1893.5708	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__Albidovulum sp024236495
k141_270734_1	k141_270734	AY115475.1.gene2.p01	100.0	266	267	1	266	266	1	266	5.6400000000000006e-192	524.0		beta_lactam	beta_lactam__OXA-10	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	IV	genome	318.40375		bin_27	Binning	bin_27	16.167988	834.37555	107.562004	429569.9	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__
k141_1661451_71	k141_1661451	gb|WP_010337133.1|ARO:3006993|SGM-7	100.0	326	327	1	326	326	1	326	1.1299999999999999e-228	622.0		beta_lactam	beta_lactam__SGM-7								IV	genome	7.487266		bin_16	Binning	bin_16	0.17241675	8.897849	1.1332283	4525.7686	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium yanoikuyae
k141_1201404_6	k141_1201404	AF313472.2.gene15.p01	99.6	267	268	1	267	267	1	267	1.06e-201	549.0		aminoglycoside	aminoglycoside__APH(3'')-Ib	APH(3'')-Ib	Enzymatic inactivation	Phosphotransferases	APH(3'')	Yes	Yes	Yes	I	plasmid	4.4841304	unmob	bin_46	Binning	bin_46	0.09475263	4.8898654	0.61862046	2470.5818	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium sp020446425
