qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	s-e_577476-checked_1.fq Relative Abundance (%)	s-e_577476-checked_1.fq Mean	s-e_577476-checked_1.fq RPKM	s-e_577476-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_4110192_2	k141_4110192	gb|WP_128268285.1|ARO:3006983|RSD2-2	99.2	252	269	18	268	252	1	252	9.92e-181	495.0		beta_lactam	beta_lactam__RSD2-2								III	genome	24.1		bin_121	Binning	bin_121	0.13771868	7.641061	1.4320623	5329.804	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum;s__Sulfurospirillum sp001548035	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Sulfurospirillaceae	g__Sulfurospirillum	s__Sulfurospirillum sp001548035	d__Bacteria	392.41064149999994	p__Campylobacterota	7.641061	c__Campylobacteria	7.641061	o__Campylobacterales	7.641061	f__Sulfurospirillaceae	7.641061	g__Sulfurospirillum	7.641061	s__Sulfurospirillum sp001548035	7.641061
k141_3563589_1	k141_3563589	gb|AEH26330.1|ARO:3005009|qacE	81.8	44	45	1	44	110	67	110	3.86e-23	82.0		multidrug	multidrug__qacE								IV	genome	3.5760086		bin_149	Binning	bin_149	0.06222037	3.4521797	0.6496427	2417.8188	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__	s__			p__Pseudomonadota	198.4478087	c__Gammaproteobacteria	195.2595059	o__Burkholderiales	70.6198035	f__Rhodocyclaceae	13.1615556	g__	20.6316843	s__	110.2271231
k141_1101741_3	k141_1101741	YP_002552549	81.0	273	275	1	273	274	1	273	1.83e-153	427.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	6.050578		bin_29	Binning	bin_29	0.15052855	8.351792	1.5708846	5846.4673	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Rubrivivax_A;s__Rubrivivax_A sp019635285	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Rubrivivax_A	s__Rubrivivax_A sp019635285			p__Bacteroidota	21.5470032	c__Bacteroidia	21.5470032	o__Pseudomonadales	73.4695985	f__Burkholderiaceae_B	40.9653066	g__Rubrivivax_A	8.351792	s__Rubrivivax_A sp019635285	8.351792
k141_1923383_15	k141_1923383	gb|AAG07064.1|ARO:3003693|mexK	81.7	1022	1022	1	1020	1025	1	1022	0.0	1624.0	multicomponent system	multidrug	multidrug__mexK	mexK	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	67.92986		bin_7	Binning	bin_7	1.0896921	60.45951	11.328775	42163.066	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E mandelii	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E mandelii			p__Actinomycetota	160.99860460000002	c__Actinomycetia	160.99860460000002	o__Bacteroidales	8.2011752	f__Pseudomonadaceae	66.4730665	g__Pseudomonas_E	66.4730665	s__Pseudomonas_E mandelii	60.45951
k141_1378940_9	k141_1378940	gb|AAF74725.1|ARO:3004659|Mef(En2)	99.5	401	402	1	401	401	1	401	1.1000000000000001e-282	765.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(En2)	mef(En2)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	III	genome	5.3998103		bin_48	Binning	bin_48	0.09439667	5.2374215	0.9750224	3628.8057	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola vulgatus			p__Bacillota_C	3.776164	c__Alphaproteobacteria	3.1883028	o__Enterobacterales_A	13.094265	f__Bacteroidaceae	8.2011752	g__Phocaeicola	5.2374215	s__Phocaeicola vulgatus	5.2374215
k141_11095_63	k141_11095	Q4KC13	82.8	273	276	1	273	276	1	273	6.06e-162	449.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	4.5405645		bin_25	Binning	bin_25	0.10838534	6.0135565	1.1291494	4202.433	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E agarici	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E agarici					c__Negativicutes	3.776164	o__Mycobacteriales	160.99860460000002	f__Aeromonadaceae	13.094265	g__Aeromonas	13.094265	s__Pseudomonas_E agarici	6.0135565
k141_1380669_2	k141_1380669	gb|CAB76928.1|ARO:3004837|OXA-724	100.0	264	265	1	264	264	1	264	2.23e-197	538.0		beta_lactam	beta_lactam__OXA-724	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	IV	genome	1.8461254		bin_69	Binning	bin_69	0.2360045	13.094265	2.4582653	9149.091	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas caviae							o__Thiotrichales	3.1016164	f__Mycobacteriaceae	160.99860460000002	g__Mycobacterium	160.99860460000002	s__Aeromonas caviae	13.094265
k141_1382082_4	k141_1382082	gi|808667354|emb|CQD17781.1|	80.2	409	408	2	407	426	18	426	1.38e-219	607.0		tetracycline	tetracycline__tet(V)	tet(V)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	11.605844		bin_12	Binning	bin_12	0.25857073	14.346309	2.7123883	10094.879	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__							o__Legionellales	21.383041	f__Burkholderiaceae_C	5.9321976	g__Thiothrix	3.1016164	s__Mycobacterium sp020438785	103.39689
k141_1108663_5	k141_1108663	AY463797.7.gene32.p01	100.0	278	279	1	278	278	1	278	1.64e-206	562.0		aminoglycoside	aminoglycoside__APH(6)-Id	APH(6)-Id	Enzymatic inactivation	Phosphotransferases	APH(6)	Yes	Yes	Yes	IV	plasmid	13.645203	unmob	bin_102	Binning	bin_102	0.106918976	5.9321976	1.1145368	4148.046	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_C;g__;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_C	g__	s__							o__Chitinophagales	8.667439	f__Thiotrichaceae	3.1016164	g__Rhodoferax_C	5.8807106	s__Mycobacterium insubricum	24.854836
k141_3300355_2	k141_3300355	gb|ADV91011.1|ARO:3000245|RbpA	92.0	112	113	1	112	114	1	112	2.07e-76	219.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	141.80136		bin_15	Binning	bin_15	1.863574	103.39689	19.315	71885.93	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp020438785	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium sp020438785							o__Flavobacteriales	4.678389	f__Legionellaceae	21.383041	g__Legionella_A	21.383041	s__Piscinibacter sp017983795	15.732979
