qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage
k141_347695_2	k141_347695	gi|446136270|ref|WP_000214125.1|	99.8	404	405	1	404	404	1	404	1.04e-277	753.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	3.934297
k141_347695_3	k141_347695	AY339985.2.gene4.p01	92.9	28	31	1	28	323	294	321	1.96e-12	56.6		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	3.934297
k141_365721_4	k141_365721	AY339985.2.gene4.p01	84.0	100	103	1	100	323	222	321	4.3699999999999995e-54	169.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	9.361271
k141_71390_1	k141_71390	AY339985.2.gene4.p01	85.0	100	103	1	100	323	222	321	3.87e-55	172.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	6.4785156
k141_1502311_2	k141_1502311	gb|ASU10319.1|ARO:3004662|MCR-3.3	100.0	180	181	1	180	540	361	540	3.7e-133	382.0		polymyxin	polymyxin__mcr-3.3	mcr-3	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	2.2341042
k141_120420_15	k141_120420	gb|ADV91011.1|ARO:3000245|RbpA	94.6	111	112	1	111	114	1	111	1.98e-76	219.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	plasmid	39.795017
k141_601078_1	k141_601078	gb|ADV91011.1|ARO:3000245|RbpA	96.4	111	113	2	112	114	1	111	6.17e-78	223.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	106.242836
k141_697605_1	k141_697605	AJ295238.gene.p01	95.4	349	349	1	349	639	248	596	2.0400000000000002e-247	683.0		tetracycline	tetracycline__tet(32)	tet(32)	Antibiotic target protection			Yes	Yes	Yes	II	genome	1.7488889
k141_236225_1	k141_236225	gb|AEM62764.1|ARO:3002802|QnrVC5	100.0	218	219	1	218	218	1	218	1.45e-80	238.0		quinolone	quinolone__QnrVC5	QnrVC family	Antibiotic target protection			Yes	Yes	Yes	IV	plasmid	4.6175
k141_236225_2	k141_236225	gb|BAD88719.1|ARO:3005084|dfrA31	100.0	157	158	1	157	157	1	157	6.09e-115	320.0		trimethoprim	trimethoprim__dfrA6	dfrA6	Antibiotic target replacement	dihydrofolate reductase					IV	plasmid	4.6175
k141_352272_3	k141_352272	gb|CAJ98570.1|ARO:3003071|mphF	100.0	299	300	1	299	299	1	299	1.2699999999999999e-225	612.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mph(F)	mph(F)	Enzymatic inactivation	phosphorylases	MLS_macrolide	Yes	Yes	Yes	I	genome	87.869415
k141_1045411_22	k141_1045411	gb|CAA03986.1|ARO:3000343|tap	85.3	400	415	9	408	409	5	404	3.39e-234	643.0		multidrug	multidrug__tap	tap	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	8.301996
k141_7747_1	k141_7747	S46063.1.gene1.p2	89.5	304	308	1	304	304	1	304	1.11e-195	537.0		beta_lactam	beta_lactam__CARB-3	CARB	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	genome	25.72992
k141_930964_2	k141_930964	NC_010410.6003262.p01	80.4	153	153	1	153	507	1	153	5.56e-80	243.0	multicomponent system	multidrug	multidrug__emrB	emrB	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	1.320426
k141_1741098_1	k141_1741098	CP000675.2.gene2298.p01	98.5	199	205	1	199	1052	1	199	9.57e-128	383.0	multicomponent system	multidrug	multidrug__MexF	MexF	Efflux pump			Yes	Yes	Yes	IV	genome	8.885448
k141_983336_2	k141_983336	CP000675.2.gene2298.p01	98.8	247	248	1	247	1052	806	1052	2.36e-157	462.0	multicomponent system	multidrug	multidrug__MexF	MexF	Efflux pump			Yes	Yes	Yes	IV	genome	2.9566474
