qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage
k141_1009073_1	k141_1009073	KJ363320.1.gene3.p01	100.0	39	39	1	39	259	1	39	1.53e-19	75.9		aminoglycoside	aminoglycoside__aadA2	aadA2	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	4.0292764
k141_3775434_1	k141_3775434	AF133140.gene.p01	99.0	301	301	1	301	391	1	301	3.9400000000000005e-208	572.0		tetracycline	tetracycline__tet(G)	tet(G)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	30.858124
k141_2282123_1	k141_2282123	AF133140.gene.p01	97.7	132	132	1	132	391	1	132	6.960000000000001e-80	239.0		tetracycline	tetracycline__tet(G)	tet(G)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	10.447016
k141_4008745_5	k141_4008745	AF133140.gene.p01	95.3	127	127	1	127	391	1	127	2.76e-72	219.0		tetracycline	tetracycline__tet(G)	tet(G)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	5.831264
k141_3021202_14	k141_3021202	gb|ADV91011.1|ARO:3000245|RbpA	92.9	112	113	1	112	114	1	112	4.88e-75	216.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	16.076601
k141_769654_4	k141_769654	gb|ADV91011.1|ARO:3000245|RbpA	92.9	112	113	1	112	114	1	112	5.0700000000000004e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	26.887896
k141_806142_13	k141_806142	gb|ADV91011.1|ARO:3000245|RbpA	92.0	112	113	1	112	114	1	112	8.43e-76	218.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	15.348346
k141_1360295_1	k141_1360295	gb|ADV91011.1|ARO:3000245|RbpA	90.5	84	85	1	84	114	28	111	4.19e-55	164.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	1.8586206
k141_123151_15	k141_123151	gb|ADV91011.1|ARO:3000245|RbpA	92.0	112	113	1	112	114	1	112	2.07e-76	219.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	27.196432
k141_2386068_15	k141_2386068	gb|ADV91011.1|ARO:3000245|RbpA	94.6	111	112	1	111	114	1	111	4.87e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	83.94059
