qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage
k141_4760165_2	k141_4760165	AF133140.gene.p01	100.0	391	392	1	391	391	1	391	5.1600000000000005e-276	747.0		tetracycline	tetracycline__tet(G)	tet(G)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	12.136231
k141_4760165_4	k141_4760165	gi|446136270|ref|WP_000214125.1|	99.5	404	405	1	404	404	1	404	6.039999999999999e-277	751.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	12.136231
k141_3060768_1	k141_3060768	AM410044.gene9.p01	94.2	104	105	1	104	112	9	112	2.6e-72	209.0		aminoglycoside	aminoglycoside__aad(6)	ANT(6)	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(6)	Yes	Yes	Yes	III	plasmid	2.4409852
k141_3060768_2	k141_3060768	gb|AAB53445.1|ARO:3002897|SAT-4	99.4	180	181	1	180	180	1	180	1.18e-130	362.0		streptothricin	streptothricin__SAT-4	SAT-4	Enzymatic inactivation			Yes	Yes	Yes	III	plasmid	2.4409852
k141_3060768_3	k141_3060768	CAA67773	100.0	264	265	1	264	264	1	264	1.9100000000000002e-198	540.0		aminoglycoside	aminoglycoside__APH(3')-IIIa	APH(3')-IIIa	Enzymatic inactivation	Phosphotransferases	APH(3')	Yes	Yes	Yes	I	plasmid	2.4409852
k141_4081149_3	k141_4081149	YP_348488	83.5	267	267	1	267	1043	1	267	1.89e-147	437.0	multicomponent system	multidrug	multidrug__MexD	MexD	Efflux pump			Yes	Yes	Yes	IV	plasmid	4.101914
k141_2722101_1	k141_2722101	gb|WP_063865155.1|ARO:3006212|VEB-15	99.6	279	279	1	279	299	1	279	7.39e-199	543.0		beta_lactam	beta_lactam__VEB-6	VEB	Enzymatic inactivation	Class A beta-lactamase					III	plasmid	50.56
k141_2382479_2	k141_2382479	gb|ADP36409.1|ARO:3003730|Bifidobacteria	99.1	106	107	2	107	1107	1	106	3.95e-71	227.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	1.3843175
k141_2059859_1	k141_2059859	gb|ADP36409.1|ARO:3003730|Bifidobacteria	91.2	419	419	1	419	1107	69	487	3.45e-292	817.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	18.694044
k141_4152044_1	k141_4152044	gb|ADP36409.1|ARO:3003730|Bifidobacteria	83.9	155	156	1	155	1107	953	1107	1.72e-76	244.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	4.074464
