qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	sh-i_577286-checked_1.fq Relative Abundance (%)	sh-i_577286-checked_1.fq Mean	sh-i_577286-checked_1.fq RPKM	sh-i_577286-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_4760165_2	k141_4760165	AF133140.gene.p01	100.0	391	392	1	391	391	1	391	5.1600000000000005e-276	747.0		tetracycline	tetracycline__tet(G)	tet(G)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	12.136231	unmob	bin_17	Hi-C	bin_17	0.43861613	27.96796	6.5786743	21379.33	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__	d__Bacteria	218.77805650000002	p__Pseudomonadota	100.0214716	c__Alphaproteobacteria	27.96796	o__Rhodobacterales	27.96796	f__Rhodobacteraceae	27.96796	g__Paracoccus	27.96796	s__	112.1426859
k141_3395328_28	k141_3395328	gb|ADV91011.1|ARO:3000245|RbpA	83.9	112	113	1	112	114	1	112	6.41e-71	206.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	28.152767		bin_12	Binning	bin_12	0.4634518	29.551586	6.9824395	22691.482	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus ruber	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Rhodococcus	s__Rhodococcus ruber			p__Actinomycetota	29.551586	c__Actinomycetia	29.551586	o__Mycobacteriales	29.551586	f__Mycobacteriaceae	29.551586	g__Rhodococcus	29.551586	s__Rhodococcus ruber	29.551586
k141_2723557_3	k141_2723557	gb|AAY32951.1|ARO:3002837|lnuC	98.2	164	165	1	164	164	1	164	4.2300000000000005e-123	342.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(C)	lnu(C)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	III	plasmid	6.664993	unmob	bin_98	Binning	bin_98	0.073065996	4.658987	1.0988164	3570.925	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae;g__Dethiosulfovibrio;s__	d__Bacteria	p__Synergistota	c__Synergistia	o__Synergistales	f__Dethiosulfovibrionaceae	g__Dethiosulfovibrio	s__			p__Synergistota	4.658987	c__Synergistia	4.658987	o__Synergistales	4.658987	f__Dethiosulfovibrionaceae	4.658987	g__Dethiosulfovibrio	4.658987	s__Bacteroides uniformis	5.4087653
k141_1705626_4	k141_1705626	P67918	100.0	305	306	1	305	305	1	305	1.2e-217	592.0		beta_lactam	beta_lactam__ROB-1	ROB-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	II	plasmid	9.940603	unmob	bin_90	Hi-C	bin_90	0.15814973	10.084274	2.382226	7741.7397	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Pasteurellaceae;g__Mannheimia;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Pasteurellaceae	g__Mannheimia	s__			p__Bacteroidota	36.7541003	c__Gammaproteobacteria	72.05351160000001	o__Enterobacterales_A	10.084274	f__Pasteurellaceae	10.084274	g__Mannheimia	10.084274	s__Laribacter hongkongensis	4.29158
k141_4597283_2	k141_4597283	BAD46890	100.0	123	123	1	123	657	1	123	5.98e-80	246.0		tetracycline	tetracycline__tet(Q)	tet(Q)	Antibiotic target protection			Yes	Yes	Yes	III	genome	13.648812		bin_25	Binning	bin_25	0.084824614	5.4087653	1.2737925	4139.561	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides uniformis			p__Fibrobacterota	8.6205376	c__Bacteroidia	36.7541003	o__Bacteroidales	36.7541003	f__Bacteroidaceae	36.7541003	g__Bacteroides	5.4087653	s__Bacteroides_I graminisolvens	31.345335
k141_1387503_5	k141_1387503	CAI46978	100.0	293	296	3	295	293	1	293	1.63e-205	561.0		beta_lactam	beta_lactam__Other class A beta-lactamase	Other class A beta-lactamase	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	II	plasmid	16.198492	unmob	bin_63	Hi-C	bin_63	0.06730402	4.29158	1.0111195	3285.9294	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Aquaspirillaceae;g__Laribacter;s__Laribacter hongkongensis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Aquaspirillaceae	g__Laribacter	s__Laribacter hongkongensis			p__Bacillota_A	39.171374	c__Fibrobacteria	8.6205376	o__Burkholderiales	40.083593	f__Aquaspirillaceae	4.29158	g__Laribacter	4.29158	s__HKST-UBA178 sp020445405	8.064209
k141_381911_3	k141_381911	gb|ADT70779.1|ARO:3001805|OXA-198	80.2	257	259	1	257	262	5	261	4.06e-150	418.0		beta_lactam	beta_lactam__OXA-198	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	IV	genome	7.485368		bin_14	Binning	bin_14	0.118491575	7.5555086	1.7960063	5836.6484	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__JAAEPA01;f__JAAEPA01;g__JAAEPA01;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__JAAEPA01	f__JAAEPA01	g__JAAEPA01	s__					c__Clostridia	39.171374	o__JAAEPA01	7.5555086	f__JAAEPA01	7.5555086	g__JAAEPA01	7.5555086	s__Fibro-01 sp001462345	3.0621603
k141_2763867_2	k141_2763867	BAE54319	99.3	419	420	1	419	419	1	419	5.36e-315	848.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ere(B)	ere(B)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	II	plasmid	25.180405	unmob	bin_48	Hi-C	bin_48	0.08717096	5.5583773	1.3145037	4271.865	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__;s__	d__Bacteria	p__Fibrobacterota	c__Fibrobacteria	o__Fibrobacterales	f__Fibrobacteraceae	g__	s__							o__Fibrobacterales	8.6205376	f__Fibrobacteraceae	8.6205376	g__	37.8979533	s__Thiothrix nivea	6.265927
k141_4819829_1	k141_4819829	DQ677333.1.gene1.p01	89.7	29	30	1	29	259	231	259	1.46e-11	53.9		aminoglycoside	aminoglycoside__aadA24	aadA24	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	6.1001005		bin_74	Binning	bin_74	0.071914405	4.585557	1.0798118	3509.165	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Neisseria	s__							o__Lachnospirales	32.339576	f__Neisseriaceae	7.7666379999999995	g__Neisseria	7.7666379999999995	s__Ottowia sp024235955	9.707648
k141_3479843_1	k141_3479843	JQ861959.1.gene5.p01	100.0	287	288	1	287	287	1	287	2.44e-217	590.0		aminoglycoside	aminoglycoside__ANT(6)-Ia	ANT(6)	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(6)	Yes	Yes	Yes	I	plasmid	30.521223	unmob	bin_50	Binning	bin_50	0.21705681	13.840432	3.2876372	10684.141	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__							o__Chromatiales	8.064209	f__Lachnospiraceae	32.339576	g__Bacteroides_I	31.345335	s__Ottowia sp018240925	8.93816
