qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	YL-AS_578825-checked_1.fq Relative Abundance (%)	YL-AS_578825-checked_1.fq Mean	YL-AS_578825-checked_1.fq RPKM	YL-AS_578825-checked_1.fq TPM	host_taxonomy
k141_232805_88	k141_232805	YP_002552549	81.4	274	275	1	274	274	1	274	3.48e-158	439.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	11.258177		bin_70	Binning	bin_70	0.29853413	14.278298	1.8096561	7805.894	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp024235955
k141_244353_33	k141_244353	YP_002552549	81.8	274	310	36	309	274	1	274	1.31e-155	434.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	22.809454		bin_84	Binning	bin_84	0.5396226	25.809088	3.2532575	14032.826	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__
k141_1409068_1	k141_1409068	gb|AIK02012.1|ARO:3002579|AAC(6')-Ib8	82.4	34	43	1	34	225	1	34	1.53e-12	57.0		aminoglycoside	aminoglycoside__AAC(6')-Ib8	AAC(6')-Ib8	Enzymatic inactivation	Acetyltransferases	AAC(6')	Yes	Yes	Yes	IV	genome	18.566708		bin_115	Binning	bin_115	0.46656922	22.315086	2.8067021	12106.62	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__JADIYW01;g__JADJSS01;s__JADJSS01 sp020636535
k141_1301906_7	k141_1301906	DQ677333.1.gene1.p01	100.0	69	70	1	69	259	191	259	6.6e-43	137.0		aminoglycoside	aminoglycoside__aadA24	aadA24	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	10.859081		bin_102	Binning	bin_102	0.26466984	12.658636	1.5932102	6872.263	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Comamonas_C;s__Comamonas_C sp001724135
k141_2412147_1	k141_2412147	AY339985.2.gene4.p01	83.0	135	138	1	135	323	187	321	1.7e-75	226.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	21.352295	unmob	bin_148	Hi-C	bin_148	0.27491805	13.148789	1.6526452	7128.632	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium sp020446425
k141_1470782_13	k141_1470782	gi|505289664|ref|WP_015476766.1|	87.9	66	79	1	66	1067	982	1047	6.46e-30	108.0	multicomponent system	multidrug	multidrug__MexF	MexF	Efflux pump			Yes	Yes	Yes	IV	genome	96.08204		bin_124	Binning	bin_124	1.8684448	89.36404	11.119476	47963.504	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__Plasticicumulans;s__Plasticicumulans sp003962905
k141_632735_2	k141_632735	KJ363320.1.gene3.p01	100.0	28	29	1	28	259	232	259	1.07e-13	59.7		aminoglycoside	aminoglycoside__aadA2	aadA2	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	plasmid	8.520355	unmob	bin_10	Hi-C	bin_10	0.19614924	9.381433	1.1735297	5061.986	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__
k141_632735_1	k141_632735	gb|CAD91132.1|ARO:3002839|lnuF	99.6	273	274	1	273	273	1	273	7.5e-205	557.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(F)	lnu(F)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	IV	plasmid	8.520355	unmob	bin_10	Hi-C	bin_10	0.19614924	9.381433	1.1735297	5061.986	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__
k141_441080_1	k141_441080	gb|AAC09012.1|ARO:3002243|CARB-4	99.3	288	289	1	288	288	1	288	6.88e-204	556.0		beta_lactam	beta_lactam__CARB-4	CARB	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	I	plasmid	18.256655	unmob	bin_60	Binning	bin_60	0.4463831	21.349625	2.67299	11529.857	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__
k141_2639598_1	k141_2639598	AAZ14842	100.0	347	347	1	347	406	51	397	2.6700000000000003e-247	673.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ere(A)	ere(A)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	I	plasmid	7.818589	unmob	bin_10	Hi-C	bin_10	0.19614924	9.381433	1.1735297	5061.986	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__SXXK01;s__
