qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage
k141_3908_4	k141_3908	YP_985461	83.2	273	275	1	273	274	1	273	9.390000000000001e-163	451.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	4.310898
k141_83370_6	k141_83370	YP_985461	80.6	196	196	1	196	274	6	201	3.1e-103	297.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	5.5542636
k141_2326217_5	k141_2326217	YP_002552549	82.1	263	264	1	263	274	12	274	5.609999999999999e-152	423.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	3.0780442
k141_2790942_6	k141_2790942	YP_002552549	87.5	273	275	1	273	274	1	273	2.2699999999999997e-170	470.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	4.641198
k141_480263_8	k141_480263	YP_002552549	81.8	170	171	1	170	274	105	274	8.370000000000001e-99	285.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	6.0100527
k141_711099_4	k141_711099	YP_002552549	87.4	246	248	1	246	274	28	273	1.13e-156	434.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	1.8214804
k141_2649015_1	k141_2649015	YP_002552549	80.7	269	270	1	269	274	6	274	3.17e-155	432.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	12.176069
k141_756071_1	k141_756071	YP_002552549	86.1	115	117	1	115	274	159	273	2.3400000000000002e-66	200.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	2.2975845
k141_146956_2	k141_146956	YP_002552549	86.1	273	274	1	273	274	2	274	1.15e-165	458.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	1.1004184
k141_1272181_1	k141_1272181	ABE98197	100.0	218	219	1	218	218	1	218	3.42e-112	318.0		quinolone	quinolone__QnrS2	QnrS family	Antibiotic target protection			Yes	Yes	Yes	I	plasmid	2.1124463
k141_2119277_2	k141_2119277	gb|BAL43359.1|ARO:3003742|mphG	99.3	294	295	1	294	294	1	294	8.500000000000001e-217	589.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mph(G)	mph(G)	Enzymatic inactivation	phosphorylases	MLS_macrolide	Yes	Yes	Yes	II	plasmid	3.8027232
k141_2119277_3	k141_2119277	gb|BAL43360.1|ARO:3003745|mefC	99.8	407	408	1	407	407	1	407	1.26e-275	748.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(C)	mef(C)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	II	plasmid	3.8027232
k141_2331308_2	k141_2331308	AGC41079.1	94.9	255	261	6	260	255	1	255	1.09e-178	490.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(H)	lnu(H)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	IV	genome	3.1758795
k141_275846_2	k141_275846	AGC41079.1	93.6	251	257	6	256	255	1	251	9.55e-172	472.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(H)	lnu(H)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	IV	genome	2.0820258
k141_853932_2	k141_853932	gb|WP_009821475.1|ARO:3006987|SGM-1	80.6	320	323	5	322	321	2	321	1.5699999999999998e-180	500.0		beta_lactam	beta_lactam__SGM-1								IV	genome	2.6061678
k141_81390_16	k141_81390	gb|WP_009821475.1|ARO:3006987|SGM-1	83.8	321	325	4	324	321	1	321	2.38e-187	517.0		beta_lactam	beta_lactam__SGM-1								IV	genome	101.985954
k141_433712_2	k141_433712	gi|926255636|ref|WP_053593902.1|	81.4	140	146	1	140	142	1	140	7.879999999999999e-82	236.0		fosfomycin	fosfomycin__FosB	FosB family	Enzymatic inactivation	thiol transferase		Yes	Yes	Yes	IV	genome	5.996219
k141_1192469_2	k141_1192469	gi|926255636|ref|WP_053593902.1|	80.0	140	146	1	140	142	1	140	1.31e-80	233.0		fosfomycin	fosfomycin__FosB	FosB family	Enzymatic inactivation	thiol transferase		Yes	Yes	Yes	IV	genome	4.0938196
k141_3181654_6	k141_3181654	ZP_04070977	100.0	263	264	1	263	263	1	263	3.89e-177	486.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	notassessed	genome	4.6285114
k141_647302_2	k141_647302	gb|WP_063864115.1|ARO:3005734|OXA-504	99.1	226	227	1	226	264	39	264	1.86e-170	468.0		beta_lactam	beta_lactam__OXA-427	OXA	Enzymatic inactivation	Class D beta-lactamase					III	genome	2.1155257
k141_2128626_1	k141_2128626	AJ514254.gene.p01	93.1	637	645	6	642	640	1	637	0.0	1148.0		tetracycline	tetracycline__tet(36)	tet(36)	Antibiotic target protection			Yes	Yes	Yes	IV	plasmid	2.0166821
k141_2552441_3	k141_2552441	YP_001797193	84.5	58	58	1	58	281	1	58	1.09e-27	98.6		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	12.92174
