qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage
k141_717863_2	k141_717863	VXQ21601.1	100.0	344	345	1	344	344	1	344	2.5700000000000003e-259	701.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__cfr(E)	cfr(E)	Antibiotic target alteration	Cfr 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	III	genome	4.272226
k141_179908_1	k141_179908	gi|835943791|ref|WP_047706567.1|	99.7	358	358	1	358	396	1	358	7.710000000000001e-252	685.0		tetracycline	tetracycline__tet(A)	tet(A)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	I	plasmid	2.5964334
k141_2334168_1	k141_2334168	gb|BAL43359.1|ARO:3003742|mphG	100.0	51	51	1	51	294	1	51	4.0700000000000005e-31	107.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mph(G)	mph(G)	Enzymatic inactivation	phosphorylases	MLS_macrolide	Yes	Yes	Yes	II	plasmid	3.1744647
k141_2334168_2	k141_2334168	gb|BAL43360.1|ARO:3003745|mefC	98.3	407	408	1	407	407	1	407	8.14e-272	738.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(C)	mef(C)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	II	plasmid	3.1744647
k141_720714_2	k141_720714	gb|ABG65740.1|ARO:3002879|linG	89.1	193	194	1	193	273	81	273	1.03e-126	356.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__linG	linG	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	I	genome	4.080046
k141_1083640_1	k141_1083640	gb|ABG65740.1|ARO:3002879|linG	99.3	273	274	1	273	273	1	273	1.45e-202	551.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__linG	linG	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	I	genome	4.4277344
k141_2282197_3	k141_2282197	gb|ABG65740.1|ARO:3002879|linG	81.0	273	274	1	273	273	1	273	6.710000000000001e-167	461.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__linG	linG	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	I	genome	5.808959
k141_2514992_10	k141_2514992	AY115475.1.gene2.p01	99.6	266	267	1	266	266	1	266	2.2999999999999998e-191	523.0		beta_lactam	beta_lactam__OXA-10	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	IV	genome	12.274697
k141_363100_2	k141_363100	AM087411.1.gene3.p01	100.0	281	296	15	295	281	1	281	3.35e-202	552.0		aminoglycoside	aminoglycoside__aadA6	aadA-ANT(3'')-IIa	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	11.134831
k141_1261020_1	k141_1261020	ACA42497	91.3	495	495	1	495	646	1	495	0.0	885.0		tetracycline	tetracycline__tet(S)	tet(S)	Antibiotic target protection			Yes	Yes	Yes	IV	plasmid	4.2463913
k141_2337927_1	k141_2337927	AM778091.1.gene1.p01	97.9	47	48	1	47	262	216	262	3.8800000000000006e-27	96.3		beta_lactam	beta_lactam__VIM-18	VIM	Enzymatic inactivation	Class B1 beta-lactamase		Yes	Yes	Yes	III	genome	9.140343
k141_2337927_2	k141_2337927	AB715422.1.gene3.p01	100.0	172	173	1	172	172	1	172	8.770000000000001e-129	357.0		aminoglycoside	aminoglycoside__AAC(6')-Ib9	AAC(6')-Ib7-9-10	Enzymatic inactivation	Acetyltransferases	AAC(6')	Yes	Yes	Yes	IV	genome	9.140343
k141_2337927_3	k141_2337927	gb|AAZ42322.1|ARO:3003836|qacH	98.2	110	111	1	110	110	1	110	1.5500000000000002e-72	209.0		multidrug	multidrug__qacH	qacH	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	9.140343
k141_728744_3	k141_728744	gb|AAZ42322.1|ARO:3003836|qacH	93.6	110	111	1	110	110	1	110	1.49e-70	204.0		multidrug	multidrug__qacH	qacH	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	8.297888
k141_1659382_1	k141_1659382	gb|AAZ42322.1|ARO:3003836|qacH	96.0	25	27	2	26	110	86	110	1.27e-10	49.3		multidrug	multidrug__qacH	qacH	Efflux pump	SMR family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	6.8230724
k141_1085795_1	k141_1085795	gi|446961539|ref|WP_001038795.1|	97.3	73	74	1	73	245	173	245	8.05e-48	150.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(B)	erm(B)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	I	plasmid	6.462113
k141_190314_1	k141_190314	NC_010558.1.6275994.p01	99.6	262	263	1	262	262	1	262	1.69e-191	523.0		aminoglycoside	aminoglycoside__aadA5	aadA5	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	4.728079
k141_2701983_4	k141_2701983	EU675686.2.gene7.p01	100.0	27	27	1	27	121	1	27	4.42e-13	55.8		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	4.563441
k141_2347835_2	k141_2347835	CAJ45367	98.5	405	415	7	411	405	1	405	1.97e-278	755.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	plasmid	54.146915
k141_1631145_1	k141_1631145	gb|AAC09012.1|ARO:3002243|CARB-4	99.3	288	289	1	288	288	1	288	1.39e-203	555.0		beta_lactam	beta_lactam__CARB-4	CARB	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	I	plasmid	2.2997947
k141_2350116_3	k141_2350116	gb|AAA88548.1|ARO:3002597|AAC(6')-Ie-APH(2'')-Ia	100.0	479	480	1	479	479	1	479	0.0	977.0		aminoglycoside	aminoglycoside__AAC(6')-Ie-APH(2'')-Ia	AAC(6')-Ie-APH(2'')-Ia	Enzymatic inactivation	Acetyltransferases	AAC(6')	Yes	Yes	Yes	I	plasmid	19.52174
k141_1634300_1	k141_1634300	AAK69613	97.5	80	80	1	80	408	1	80	1.01e-48	157.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ere(A)	ere(A)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	IV	genome	5.095982
k141_1634300_2	k141_1634300	AY259086.1.gene4.p01	100.0	210	211	1	210	210	1	210	1.3e-160	440.0		chloramphenicol	chloramphenicol__catB3	catB3	Enzymatic inactivation	cat		Yes	Yes	Yes	I	genome	5.095982
k141_21842_1	k141_21842	gi|692128548|ref|WP_032084014.1|	100.0	282	282	1	282	406	1	282	4.299999999999999e-199	548.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ere(A)	ere(A)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	I	plasmid	7.198413
k141_1457500_1	k141_1457500	gb|ACJ63262.1|ARO:3003107|mefB	97.6	409	410	1	409	409	1	409	8.71e-284	768.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	plasmid	29.28157
k141_1118186_2	k141_1118186	gb|ACJ63262.1|ARO:3003107|mefB	90.4	366	367	1	366	409	41	406	6.18e-236	645.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	genome	37.216
k141_1134251_1	k141_1134251	gb|ACJ63262.1|ARO:3003107|mefB	90.7	86	86	1	86	409	1	86	6.6700000000000004e-49	157.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	genome	11.397141
k141_331380_1	k141_331380	gb|ACJ63262.1|ARO:3003107|mefB	95.4	238	239	1	238	409	172	409	1.9400000000000002e-156	439.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	plasmid	25.029423
k141_520683_1	k141_520683	gb|ACJ63262.1|ARO:3003107|mefB	89.5	86	86	1	86	409	1	86	2.4e-49	159.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	genome	8.093718
k141_2534313_3	k141_2534313	U19459.gene.p01	80.0	210	212	1	210	212	1	210	2.84e-133	371.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	IV	genome	4.4422264
k141_2556167_2	k141_2556167	U19459.gene.p01	80.1	211	212	1	211	212	1	211	2.08e-135	377.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	IV	genome	22.079262
k141_1134251_4	k141_1134251	U19459.gene.p01	82.0	211	212	1	211	212	1	211	5.1199999999999996e-136	378.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	IV	genome	11.397141
k141_1458849_73	k141_1458849	gb|ADV91011.1|ARO:3000245|RbpA	94.6	111	112	1	111	114	1	111	1.98e-76	219.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	20.859928
k141_2013183_16	k141_2013183	gb|ADV91011.1|ARO:3000245|RbpA	94.6	111	112	1	111	114	1	111	3.43e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	213.08737
k141_992793_4	k141_992793	gb|ADV91011.1|ARO:3000245|RbpA	91.1	112	113	1	112	114	1	112	4.17e-76	219.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	5.027034
k141_1551725_3	k141_1551725	gb|ADV91011.1|ARO:3000245|RbpA	92.0	112	113	1	112	114	1	112	6.93e-75	216.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	3.315037
k141_2714464_1	k141_2714464	ACA23187	99.4	530	530	1	530	639	1	530	0.0	1016.0		tetracycline	tetracycline__tet(W)	tet(W)	Antibiotic target protection			Yes	Yes	Yes	III	plasmid	33.552753
k141_204773_2	k141_204773	gi|504870756|ref|WP_015057858.1|	95.4	305	305	1	305	404	1	305	1.37e-196	543.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	plasmid	9.533286
k141_390576_2	k141_390576	AB777500.1.gene5.p01	100.0	275	318	43	317	275	1	275	2.46e-206	563.0		beta_lactam	beta_lactam__OXA-2	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	notassessed	plasmid	22.668667
k141_1647713_1	k141_1647713	gi|637008561|ref|WP_024410015.1|	95.6	405	406	1	405	405	1	405	1.0999999999999999e-268	730.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	IV	plasmid	35.483833
k141_1828732_2	k141_1828732	YP_970399	85.8	274	275	1	274	274	1	274	3.59e-167	462.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	3.3685858
k141_979830_1	k141_979830	YP_970399	87.1	155	157	2	156	274	120	274	1.22e-94	273.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	2.319959
k141_153252_1	k141_153252	YP_970399	87.7	106	107	1	106	274	169	274	1.0899999999999999e-61	187.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	2.747628
k141_34952_3	k141_34952	M15332.gene.p01	99.6	244	245	1	244	244	1	244	1.43e-174	478.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(G)	erm(G)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	III	genome	39.32528
