qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	TP-I_577697-checked_1.fq Relative Abundance (%)	TP-I_577697-checked_1.fq Mean	TP-I_577697-checked_1.fq RPKM	TP-I_577697-checked_1.fq TPM	host_taxonomy
k141_2266853_5	k141_2266853	gb|AAF42062.1|ARO:3000811|mtrD	81.6	975	982	1	975	1067	92	1066	0.0	1515.0	multicomponent system	multidrug	multidrug__mtrD	mtrD	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	5.796325		bin_96	Binning	bin_96	0.083959535	5.15076	0.80669177	2753.6477	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__
k141_2589_1	k141_2589	gb|WP_063864115.1|ARO:3005734|OXA-504	98.8	84	85	1	84	264	181	264	2.28e-57	175.0		beta_lactam	beta_lactam__OXA-427	OXA	Enzymatic inactivation	Class D beta-lactamase					III	genome	48.231815		bin_52	Binning	bin_52	0.7796758	47.831646	7.5203013	25670.59	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae
k141_2932034_5	k141_2932034	YP_002552549	81.4	274	275	1	274	274	1	274	3.48e-158	439.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	18.119646		bin_23	Binning	bin_23	0.31303954	19.20439	3.0207005	10311.177	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp024235955
k141_2074616_3	k141_2074616	YP_002552549	80.7	274	275	1	274	274	1	274	7.35e-160	444.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	5.0586042		bin_40	Binning	bin_40	0.08307032	5.0962086	0.7976551	2722.8	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Hydrogenophaga;s__
k141_1397809_14	k141_1397809	gb|AAG07064.1|ARO:3003693|mexK	95.2	62	71	1	62	1025	961	1022	1.6e-29	107.0	multicomponent system	multidrug	multidrug__mexK	mexK	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	12.393131		bin_79	Binning	bin_79	0.2524735	15.488776	2.4396567	8327.783	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluvialis
k141_1412808_1	k141_1412808	gb|AAG07064.1|ARO:3003693|mexK	80.3	1007	1007	1	1007	1025	1	1007	0.0	1553.0	multicomponent system	multidrug	multidrug__mexK	mexK	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	13.137544		bin_79	Binning	bin_79	0.2524735	15.488776	2.4396567	8327.783	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluvialis
k141_4141046_16	k141_4141046	gb|ADV91011.1|ARO:3000245|RbpA	94.6	111	112	1	111	114	1	111	3.43e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	233.12804		bin_20	Binning	bin_20	3.4195552	209.7833	33.138924	113119.92	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
k141_1204930_5	k141_1204930	YP_001186705	91.1	417	417	1	417	1017	1	417	2.1100000000000003e-248	702.0	multicomponent system	multidrug	multidrug__mexW	mexW	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	16.483809		bin_79	Binning	bin_79	0.2524735	15.488776	2.4396567	8327.783	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluvialis
k141_1881997_4	k141_1881997	gi|764440891|ref|WP_044366757.1|	97.3	438	439	1	438	439	1	438	9.83e-289	783.0	multicomponent system	multidrug	multidrug__tolC	tolC	Efflux pump			Yes	Yes	Yes	IV	genome	18.246258		bin_68	Binning	bin_68	0.30572337	18.755556	2.9899595	10206.241	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio;s__Vibrio fluvialis
k141_3215525_1	k141_3215525	NP_745006	82.7	202	202	1	202	277	2	203	3.1300000000000003e-117	333.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	11.940702		bin_79	Binning	bin_79	0.2524735	15.488776	2.4396567	8327.783	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluvialis
k141_1398714_6	k141_1398714	YP_001140148	91.9	271	272	1	271	271	1	271	8.38e-176	484.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	59.802544		bin_52	Binning	bin_52	0.7796758	47.831646	7.5203013	25670.59	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae
k141_119068_14	k141_119068	BAC58936	82.5	154	155	1	154	154	1	154	2.38e-97	276.0		tetracycline	tetracycline__tet(34)	tet(34)	Enzymatic inactivation			Yes	Yes	Yes	IV	genome	16.612642		bin_68	Binning	bin_68	0.30572337	18.755556	2.9899595	10206.241	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio;s__Vibrio fluvialis
k141_1375665_1	k141_1375665	AY115475.1.gene2.p01	100.0	266	267	1	266	266	1	266	5.6400000000000006e-192	524.0		beta_lactam	beta_lactam__OXA-10	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	IV	plasmid	33.11876	unmob	bin_75	Hi-C	bin_75	0.18503797	11.351732	1.7893506	6107.9585	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GCA-2729495;f__GCA-2729495;g__SHZI01;s__SHZI01 sp024234935
k141_1375665_1	k141_1375665	AY115475.1.gene2.p01	100.0	266	267	1	266	266	1	266	5.6400000000000006e-192	524.0		beta_lactam	beta_lactam__OXA-10	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	IV	plasmid	33.11876	unmob	bin_102	Hi-C	bin_102	0.111618415	6.847581	1.0814731	3691.615	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__
k141_1375665_2	k141_1375665	AY115475.1.gene4.p01	99.5	419	420	1	419	419	1	419	7.69e-299	807.0		chloramphenicol	chloramphenicol__cmlA5	cmlA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	I	plasmid	33.11876	unmob	bin_75	Hi-C	bin_75	0.18503797	11.351732	1.7893506	6107.9585	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__GCA-2729495;f__GCA-2729495;g__SHZI01;s__SHZI01 sp024234935
k141_1375665_2	k141_1375665	AY115475.1.gene4.p01	99.5	419	420	1	419	419	1	419	7.69e-299	807.0		chloramphenicol	chloramphenicol__cmlA5	cmlA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	I	plasmid	33.11876	unmob	bin_102	Hi-C	bin_102	0.111618415	6.847581	1.0814731	3691.615	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__
k141_2443635_64	k141_2443635	gb|AAA27459.1|ARO:3004683|aadS	85.5	83	84	1	83	287	205	287	5.9e-46	147.0		aminoglycoside	aminoglycoside__aadS	aadS	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(6)	Yes	Yes	Yes	II	genome	8.4942045		bin_47	Binning	bin_47	0.12925008	7.92925	1.2539228	4280.2744	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp001567405
k141_51248_6	k141_51248	AAR05762	100.0	301	302	1	301	301	1	301	1.78e-217	592.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mph(A)	mph(A)	Enzymatic inactivation	phosphorylases	MLS_macrolide	Yes	Yes	Yes	I	plasmid	30.254448	unmob	bin_5	Binning	bin_5	0.2961193	18.166365	2.8719838	9803.533	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__41T-STBD-0c-01a;s__41T-STBD-0c-01a sp024235395
k141_2714213_4	k141_2714213	P67918	100.0	305	306	1	305	305	1	305	1.2000000000000001e-217	592.0		beta_lactam	beta_lactam__ROB-1	ROB-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	II	plasmid	9.283777	unmob	bin_107	Hi-C	bin_107	0.15333655	9.40691	1.4891894	5083.3584	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Pasteurellaceae;g__Mannheimia;s__
k141_1140094_2	k141_1140094	AY463797.7.gene28.p01	99.7	399	400	1	399	399	1	399	2.4099999999999998e-285	771.0		tetracycline	tetracycline__tet(A)	tet(A)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	16.915846	unmob	bin_38	Binning	bin_38	0.21721728	13.325873	2.106892	7191.888	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__UBA9214;s__
k141_1140094_8	k141_1140094	gb|AHF20043.1|ARO:3002798|QnrS9	81.7	218	219	1	218	218	1	218	9.79e-112	317.0		quinolone	quinolone__QnrS9	QnrS family	Antibiotic target protection			Yes	Yes	Yes	IV	plasmid	16.915846	unmob	bin_38	Binning	bin_38	0.21721728	13.325873	2.106892	7191.888	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__UBA9214;s__
k141_1140094_14	k141_1140094	HQ451074.1.gene4.p01	100.0	286	287	1	286	286	1	286	1.2899999999999998e-207	565.0		beta_lactam	beta_lactam__TEM-1	TEM	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	notassessed	plasmid	16.915846	unmob	bin_38	Binning	bin_38	0.21721728	13.325873	2.106892	7191.888	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__UBA9214;s__
k141_3805314_7	k141_3805314	AAC78336	100.0	408	409	1	408	408	1	408	1.22e-294	796.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ereA2	ere(A)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	I	plasmid	22.014175	unmob	bin_6	Binning	bin_6	0.06186067	3.7950363	0.5905445	2015.8273	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__JACKQE01;s__JACKQE01 sp024233005
k141_83972_3	k141_83972	AME01623.1	98.7	383	384	1	383	548	166	548	1.62e-283	772.0		polymyxin	polymyxin__ICR-Mo	ICR-Mo	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	7.6923075		bin_134	Binning	bin_134	0.12879126	7.901102	1.2372197	4223.2563	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella;s__
k141_2215426_1	k141_2215426	AAK14791	100.0	260	261	1	260	260	1	260	1.19e-190	520.0		beta_lactam	beta_lactam__NPS-1	NPS-1	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	I	genome	50.60273		bin_5	Binning	bin_5	0.2961193	18.166365	2.8719838	9803.533	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__41T-STBD-0c-01a;s__41T-STBD-0c-01a sp024235395
k141_2756302_1	k141_2756302	CAC47932	100.0	388	389	1	388	388	1	388	3.71e-288	778.0		tetracycline	tetracycline__tetX2	tet(X)	Enzymatic inactivation			Yes	Yes	Yes	IV	plasmid	23.684776	unmob	bin_47	Hi-C	bin_47	0.12925008	7.92925	1.2539228	4280.2744	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp001567405
k141_3555874_1	k141_3555874	CAI46978	100.0	293	296	3	295	293	1	293	1.63e-205	561.0		beta_lactam	beta_lactam__Other class A beta-lactamase	Other class A beta-lactamase	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	II	plasmid	40.197296	unmob	bin_38	Binning	bin_38	0.21721728	13.325873	2.106892	7191.888	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__UBA9214;s__
k141_3311832_1	k141_3311832	YP_001563294	82.1	28	28	1	28	275	1	28	2.31e-09	47.8		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	6.951123		bin_134	Binning	bin_134	0.12879126	7.901102	1.2372197	4223.2563	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella;s__
k141_2258622_8	k141_2258622	DQ464881.1.gene4.p01	100.0	139	140	1	139	163	25	163	1.9e-101	286.0		aminoglycoside	aminoglycoside__APH(3'')-Ib	APH(3'')-Ib	Enzymatic inactivation	Phosphotransferases	APH(3'')	Yes	Yes	Yes	III	plasmid	74.6141	unmob	bin_31	Binning	bin_31	0.43502533	26.68799	4.179413	14266.452	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__
k141_2258622_9	k141_2258622	AY463797.7.gene32.p01	100.0	278	279	1	278	278	1	278	1.64e-206	562.0		aminoglycoside	aminoglycoside__APH(6)-Id	APH(6)-Id	Enzymatic inactivation	Phosphotransferases	APH(6)	Yes	Yes	Yes	IV	plasmid	74.6141	unmob	bin_31	Binning	bin_31	0.43502533	26.68799	4.179413	14266.452	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__
k141_3328659_2	k141_3328659	YP_002929946	98.2	282	283	1	282	282	1	282	1.03e-186	512.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	III	genome	6.926017		bin_117	Binning	bin_117	0.0991185	6.0807347	0.95448095	3258.1277	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_A
k141_930943_4	k141_930943	P30898	99.7	296	297	1	296	296	1	296	4.720000000000001e-215	585.0		beta_lactam	beta_lactam__CblA-1	CblA-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	genome	19.71351		bin_64	Binning	bin_64	0.33402145	20.49159	3.2240486	11005.31	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
k141_2797257_1	k141_2797257	YP_002434803	80.0	30	38	9	38	265	6	35	5.34e-10	50.1		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	3.232516		bin_157	Binning	bin_157	0.06664586	4.0885987	0.6351221	2167.9937	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__Sutterella;s__Sutterella wadsworthensis_A
k141_2286694_6	k141_2286694	gi|489544697|ref|WP_003449357.1|	94.5	183	192	1	183	1060	870	1052	1.08e-105	325.0	multicomponent system	multidrug	multidrug__MexF	MexF	Efflux pump			Yes	Yes	Yes	IV	genome	10.942909		bin_79	Binning	bin_79	0.2524735	15.488776	2.4396567	8327.783	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fluvialis
k141_3888832_1	k141_3888832	gi|846280841|gb|AKN19373.1|	100.0	277	278	1	277	279	3	279	6.75e-190	520.0		sulfonamide	sulfonamide__sul2	sul2	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	58.74026	unmob	bin_51	Hi-C	bin_51	0.121480584	7.452606	1.1716949	3999.5876	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__Competibacter_A;s__
k141_3109608_4	k141_3109608	gi|501556594|ref|WP_012561099.1|	99.8	404	405	1	404	404	1	404	8.579999999999999e-277	750.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	I	plasmid	41.84912	unmob	bin_51	Hi-C	bin_51	0.121480584	7.452606	1.1716949	3999.5876	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Competibacterales;f__Competibacteraceae;g__Competibacter_A;s__
