qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage
k141_4653719_2	k141_4653719	BAD46890	100.0	123	123	1	123	657	1	123	5.9800000000000004e-80	246.0		tetracycline	tetracycline__tet(Q)	tet(Q)	Antibiotic target protection			Yes	Yes	Yes	III	genome	96.99457
k141_2174059_14	k141_2174059	BAD46890	89.5	641	642	1	641	657	17	657	0.0	1142.0		tetracycline	tetracycline__tet(Q)	tet(Q)	Antibiotic target protection			Yes	Yes	Yes	III	genome	22.418175
k141_1552959_2	k141_1552959	gb|ADP36409.1|ARO:3003730|Bifidobacteria	81.1	307	307	1	306	1107	801	1107	1.3e-162	480.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	7.869079
k141_2483657_2	k141_2483657	gb|ADP36409.1|ARO:3003730|Bifidobacteria	87.2	196	204	10	204	1107	1	196	1.8600000000000001e-121	368.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	8.28601
k141_1566076_2	k141_1566076	gb|ADP36409.1|ARO:3003730|Bifidobacteria	85.9	135	134	1	134	1107	1	135	2.06e-78	249.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	5.238451
k141_4070421_2	k141_4070421	gb|ADP36409.1|ARO:3003730|Bifidobacteria	91.3	413	414	2	414	1107	6	418	1.03e-284	798.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	12.864608
k141_3477171_1	k141_3477171	gb|ADP36409.1|ARO:3003730|Bifidobacteria	86.2	958	958	1	957	1107	150	1107	0.0	1717.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	23.35456
k141_3273136_1	k141_3273136	gb|ADP36409.1|ARO:3003730|Bifidobacteria	99.5	364	365	1	364	1107	744	1107	3.06e-242	687.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	5.4039617
k141_4243325_1	k141_4243325	gb|ADP36409.1|ARO:3003730|Bifidobacteria	84.0	244	245	1	244	1107	864	1107	6.050000000000001e-129	389.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	8.451365
k141_2428651_1	k141_2428651	gb|ADP36409.1|ARO:3003730|Bifidobacteria	87.2	149	154	6	154	1107	9	157	2.68e-92	288.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	12.691432
k141_2462954_1	k141_2462954	gb|ADP36409.1|ARO:3003730|Bifidobacteria	94.4	516	516	1	516	1107	394	909	0.0	1018.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	14.539286
k141_1751_1	k141_1751	AME01623.1	87.2	117	132	13	129	548	432	548	8.99e-69	214.0		polymyxin	polymyxin__ICR-Mo	ICR-Mo	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	4.5028234
k141_674265_1	k141_674265	AME01623.1	90.7	332	332	1	332	548	1	312	4.41e-206	574.0		polymyxin	polymyxin__ICR-Mo	ICR-Mo	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	17.903698
