qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	YL-I_577304_1.fq Relative Abundance (%)	YL-I_577304_1.fq Mean	YL-I_577304_1.fq RPKM	YL-I_577304_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_1581775_5	k141_1581775	gb|AAF74725.1|ARO:3004659|Mef(En2)	99.5	401	402	1	401	401	1	401	1.1000000000000001e-282	765.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(En2)	mef(En2)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	III	genome	14.484583		bin_17	Binning	bin_17	0.19566675	13.6310625	3.0418408	8976.098	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola vulgatus	d__Bacteria	596.5634888	p__Bacteroidota	43.7230345	c__Bacteroidia	43.7230345	o__Bacteroidales	43.7230345	f__Bacteroidaceae	43.7230345	g__Phocaeicola	13.6310625	s__Phocaeicola vulgatus	13.6310625
k141_792952_9	k141_792952	gi|447196024|ref|WP_001273280.1|	80.8	1038	1050	1	1038	1037	1	1037	0.0	1618.0	multicomponent system	multidrug	multidrug__acrF	acrF	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	20.432135	unmob	bin_23	Binning	bin_23	1.4092869	98.177505	22.463017	66285.555	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__AWTP1-35;s__AWTP1-35 sp003962875	d__Bacteria	p__Actinomycetota	c__Acidimicrobiia	o__Acidimicrobiales	f__Microtrichaceae	g__AWTP1-35	s__AWTP1-35 sp003962875			p__Actinomycetota	158.664859	c__Acidimicrobiia	98.177505	o__Acidimicrobiales	98.177505	f__Microtrichaceae	98.177505	g__AWTP1-35	98.177505	s__AWTP1-35 sp003962875	98.177505
k141_2942288_21	k141_2942288	gb|ADV91011.1|ARO:3000245|RbpA	96.4	111	113	2	112	114	1	111	6.17e-78	223.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	49.21025		bin_25	Binning	bin_25	0.6766016	47.13523	10.520798	31045.57	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__			p__Pseudomonadota	226.15966280000004	c__Actinomycetia	60.487353999999996	o__Mycobacteriales	60.487353999999996	f__Mycobacteriaceae	60.487353999999996	g__Mycobacterium	60.487353999999996	s__	96.0082395
k141_3174853_15	k141_3174853	YP_002552549	81.8	274	310	36	309	274	1	274	1.31e-155	434.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	13.930955		bin_18	Binning	bin_18	0.2513625	17.51109	3.9595814	11684.229	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Ottowia	s__			p__Bacillota_C	14.9769027	c__Gammaproteobacteria	202.9855508	o__Burkholderiales	63.504927	f__Burkholderiaceae_B	55.122747000000004	g__Ottowia	30.117565	s__Alicycliphilus sp018054745	8.73188
k141_2838873_3	k141_2838873	YP_002552549	90.9	274	275	1	274	274	1	274	1.05e-175	484.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	6.5147943		bin_60	Binning	bin_60	0.12534156	8.73188	1.9684631	5808.6895	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Alicycliphilus;s__Alicycliphilus sp018054745	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Alicycliphilus	s__Alicycliphilus sp018054745			p__Thermotogota	59.7235	c__Negativicutes	14.9769027	o__Acidaminococcales	6.9060807	f__Acidaminococcaceae	6.9060807	g__Alicycliphilus	8.73188	s__Ottowia sp024235955	12.606475
k141_2394523_6	k141_2394523	YP_002552549	81.4	274	275	1	274	274	1	274	3.48e-158	439.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	7.4254904		bin_14	Binning	bin_14	0.18095936	12.606475	2.8601072	8439.821	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp024235955	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Ottowia	s__Ottowia sp024235955			p__Bacillota	79.326485	c__Thermotogae	59.7235	o__Selenomonadales	8.070822	f__Selenomonadaceae	8.070822	g__Giesbergeria	16.273302	s__Giesbergeria sp010020825	16.273302
k141_3575781_16	k141_3575781	YP_002552549	87.5	273	275	1	273	274	1	273	2.2699999999999997e-170	470.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	14.024145		bin_86	Binning	bin_86	0.23359475	16.273302	3.6728709	10838.186	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Giesbergeria;s__Giesbergeria sp010020825	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Giesbergeria	s__Giesbergeria sp010020825			p__Bacillota_A	5.8753138	c__Bacilli	79.326485	o__Enterobacterales_A	126.0624008	f__Aeromonadaceae	108.66003	g__Bacteroides_I	22.469048	s__Bacteroides_I graminisolvens	22.469048
k141_2490889_5	k141_2490889	gb|AAA27459.1|ARO:3004683|aadS	100.0	287	288	1	287	287	1	287	1.93e-214	583.0		aminoglycoside	aminoglycoside__aadS	aadS	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(6)	Yes	Yes	Yes	II	plasmid	24.90097	unmob	bin_38	Binning	bin_38	0.3225314	22.469048	4.996684	14744.592	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__Bacteroides_I graminisolvens	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides_I	s__Bacteroides_I graminisolvens			p__Bacillota_B	8.113731	c__Alphaproteobacteria	23.174111999999997	o__Petrotogales	59.7235	f__Kosmotogaceae	59.7235	g__RZYP01	6.9060807	s__Mycobacterium austroafricanum	13.352124
k141_3395643_1	k141_3395643	gi|489030921|ref|WP_002941309.1|	100.0	139	139	1	139	405	1	139	1.86e-90	266.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	IV	genome	13.38518		bin_72	Binning	bin_72	0.09913317	6.9060807	1.5812298	4666.011	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__RZYP01;s__	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__RZYP01	s__					c__Clostridia	5.8753138	o__Lactobacillales	79.326485	f__Neisseriaceae	8.38218	g__Megamonas	8.070822	s__Megamonas funiformis	8.070822
k141_471112_6	k141_471112	gb|CAA03986.1|ARO:3000343|tap	84.8	401	415	8	408	409	4	404	6.82e-234	642.0		multidrug	multidrug__tap	tap	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	11.962996		bin_11	Binning	bin_11	0.19166274	13.352124	2.9948938	8837.56	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium austroafricanum	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium austroafricanum					c__Syntrophomonadia	8.113731	o__Rhodobacterales	16.120644	f__Streptococcaceae	79.326485	g__Aeromonas	108.66003	s__Aeromonas caviae	108.66003
k141_2735978_1	k141_2735978	CAJ45367	96.8	405	406	1	405	405	1	405	6.97e-272	738.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	plasmid	36.228622	unmob	bin_81	Binning	bin_81	0.115852416	8.070822	1.8027465	5319.681	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis	d__Bacteria	p__Bacillota_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Megamonas	s__Megamonas funiformis							o__Lachnospirales	5.8753138	f__Rhodobacteraceae	16.120644	g__Mesotoga	59.7235	s__Mesotoga prima	59.7235
k141_1160850_1	k141_1160850	YP_001140148	92.2	167	167	1	167	271	1	167	2.06e-109	311.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	134.09544		bin_21	Binning	bin_21	1.5597577	108.66003	24.24024	71529.93	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas caviae							o__Rhizobiales	7.053468	f__Lachnospiraceae	5.8753138	g__Neisseria	8.38218	s__Neisseria suis	8.38218
k141_2290953_3	k141_2290953	ABV82120	100.0	639	640	1	639	639	1	639	0.0	1272.0		tetracycline	tetracycline__tet(32)	tet(32)	Antibiotic target protection			Yes	Yes	Yes	III	genome	21.642035		bin_74	Binning	bin_74	0.85729957	59.7235	13.388095	39506.6	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Petrotogales;f__Kosmotogaceae;g__Mesotoga;s__Mesotoga prima	d__Bacteria	p__Thermotogota	c__Thermotogae	o__Petrotogales	f__Kosmotogaceae	g__Mesotoga	s__Mesotoga prima							o__Pseudomonadales	13.418223	f__Aestuariivirgaceae	7.053468	g__Streptococcus	79.326485	s__Streptococcus suis_AA	79.326485
k141_1517138_1	k141_1517138	gb|AAV85982.1|ARO:3000535|macB	80.7	202	203	2	203	644	1	202	4.23e-107	319.0	multicomponent system	macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__macB	macB	Efflux pump	ABC family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	8.161868		bin_73	Binning	bin_73	0.12032181	8.38218	1.8621444	5494.9565	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria suis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Neisseriaceae	g__Neisseria	s__Neisseria suis							o__Syntrophomonadales	8.113731	f__Pasteurellaceae	17.4023708	g__Bacteroides	7.622924	s__Bacteroides uniformis	7.622924
k141_731258_11	k141_731258	gi|983204316|ref|WP_060470352.1|	98.3	405	406	1	405	405	1	405	2.18e-275	747.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	II	plasmid	76.41915	unmob	bin_92	Binning	bin_92	1.1386902	79.326485	17.779615	52465.426	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus suis_AA	d__Bacteria	p__Bacillota	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus suis_AA									f__Moraxellaceae	13.418223	g__Albidovulum	16.120644	s__Albidovulum sp024236495	16.120644
k141_2994073_5	k141_2994073	P30898	99.7	296	297	1	296	296	1	296	9.52e-215	584.0		beta_lactam	beta_lactam__CblA-1	CblA-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	genome	5.980715		bin_37	Binning	bin_37	0.109423086	7.622924	1.7030783	5025.573	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides uniformis									f__Syntrophomonadaceae	8.113731	g__Agathobacter	5.8753138	s__Agathobacter rectalis	5.8753138
k141_1423520_21	k141_1423520	P14171	100.0	293	294	1	293	293	1	293	3.300000000000001e-209	570.0		beta_lactam	beta_lactam__RCP-1	RCP-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	plasmid	15.356607	unmob	bin_13	Binning	bin_13	0.2314034	16.120644	3.6141007	10664.758	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albidovulum;s__Albidovulum sp024236495	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Albidovulum	s__Albidovulum sp024236495											g__JAEUMG01	7.053468	s__Acinetobacter towneri	13.418223
k141_980287_3	k141_980287	YP_002937728	99.7	289	290	1	289	289	1	289	1.01e-201	551.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	III	genome	3.91517		bin_103	Binning	bin_103	0.084337056	5.8753138	1.3024138	3843.2622	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter rectalis											g__Mannheimia	5.9611278	s__UBA1368 sp002305965	8.113731
k141_988739_1	k141_988739	DQ464881.1.gene4.p01	97.8	139	140	1	139	163	25	163	4.31e-98	277.0		aminoglycoside	aminoglycoside__APH(3'')-Ib	APH(3'')-Ib	Enzymatic inactivation	Phosphotransferases	APH(3'')	Yes	Yes	Yes	III	plasmid	11.334721	unmob	bin_8	Binning	bin_8	0.10124884	7.053468	1.569448	4631.2456	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__JAEUMG01;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Aestuariivirgaceae	g__JAEUMG01	s__											g__Acinetobacter	13.418223		
k141_1481869_7	k141_1481869	ZP_04626871	81.5	124	129	3	126	269	145	268	7.04e-63	191.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	6.199632		bin_79	Binning	bin_79	0.08556887	5.9611278	1.3299128	3924.408	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Pasteurellaceae;g__Mannheimia;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Pasteurellaceae	g__Mannheimia	s__											g__UBA1368	8.113731		
k141_1259164_4	k141_1259164	NC_010410.6003262.p01	89.5	325	325	1	325	507	1	325	1.46e-209	581.0	multicomponent system	multidrug	multidrug__emrB	emrB	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	11.20569		bin_76	Binning	bin_76	0.19261156	13.418223	3.01798	8905.685	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter towneri	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter towneri											g__Chelonobacter	11.441243		
k141_414975_33	k141_414975	M15332.gene.p01	99.6	244	245	1	244	244	1	244	1.43e-174	478.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(G)	erm(G)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	III	genome	7.048796		bin_50	Binning	bin_50	0.11646837	8.113731	1.8132982	5350.8174	d__Bacteria;p__Bacillota_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA1368;s__UBA1368 sp002305965	d__Bacteria	p__Bacillota_B	c__Syntrophomonadia	o__Syntrophomonadales	f__Syntrophomonadaceae	g__UBA1368	s__UBA1368 sp002305965														
k141_2703246_1	k141_2703246	ZP_03466816	80.6	36	36	1	36	264	1	36	5.6e-13	58.2		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	9.114124		bin_63	Binning	bin_63	0.16423306	11.441243	2.5855193	7629.548	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Pasteurellaceae;g__Chelonobacter;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Enterobacterales_A	f__Pasteurellaceae	g__Chelonobacter	s__														
