qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage
k141_2438594_2	k141_2438594	AAC78336	99.8	408	409	1	408	408	1	408	2.8600000000000003e-293	792.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ereA2	ere(A)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	I	plasmid	3.5109906
k141_1112166_2	k141_1112166	gb|ACJ63262.1|ARO:3003107|mefB	90.1	406	407	1	406	409	1	406	2.02e-263	717.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	genome	23.703684
k141_2239092_3	k141_2239092	gb|ACJ63262.1|ARO:3003107|mefB	97.6	409	410	1	409	409	1	409	8.71e-284	768.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	plasmid	6.1531463
k141_1798483_1	k141_1798483	gb|ACJ63262.1|ARO:3003107|mefB	93.4	91	92	1	91	409	319	409	2.13e-53	169.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	plasmid	3.0643995
k141_2794450_1	k141_2794450	gb|ACJ63262.1|ARO:3003107|mefB	90.9	44	44	1	44	409	1	44	7.149999999999999e-23	86.7		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	genome	3.1325302
k141_3090325_2	k141_3090325	gb|ACJ63262.1|ARO:3003107|mefB	88.7	406	407	1	406	409	1	406	4.0699999999999994e-263	716.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	genome	2.4083645
k141_4249_1	k141_4249	AAX84025	100.0	54	55	1	54	244	191	244	1.1200000000000001e-32	110.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(T)	erm(T)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	I	plasmid	1.9585253
k141_4249_9	k141_4249	AAX84025	99.4	168	168	1	168	244	1	168	3.59e-118	332.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(T)	erm(T)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	I	plasmid	1.9585253
k141_1335896_1	k141_1335896	BAC67151	97.2	36	36	1	36	391	1	36	3.21e-14	62.0		tetracycline	tetracycline__tet(G)	tet(G)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	5.4660788
k141_3495088_1	k141_3495088	BAC67151	98.5	199	199	1	199	391	1	199	7.730000000000001e-129	366.0		tetracycline	tetracycline__tet(G)	tet(G)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	8.898643
k141_859956_1	k141_859956	BAC67151	95.9	73	73	1	73	391	1	73	2.14e-39	132.0		tetracycline	tetracycline__tet(G)	tet(G)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	2.5874953
k141_1335896_5	k141_1335896	gi|730661043|ref|WP_034065992.1|	99.0	404	405	1	404	404	1	404	1.7300000000000002e-276	749.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	5.4660788
k141_3039491_3	k141_3039491	gi|730661043|ref|WP_034065992.1|	85.4	103	104	1	103	404	302	404	3.79e-51	164.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	3.7060063
k141_1118215_2	k141_1118215	CAJ45367	100.0	191	192	1	191	405	215	405	3.2300000000000004e-129	367.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	plasmid	14.013363
k141_3334090_2	k141_3334090	gb|ABR14060.1|ARO:3002838|lnuD	88.4	164	165	1	164	164	1	164	7.85e-110	308.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(D)	lnu(D)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	III	genome	2.2466755
k141_2501228_2	k141_2501228	gb|ABR14060.1|ARO:3002838|lnuD	81.7	164	165	1	164	164	1	164	1.15e-102	290.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(D)	lnu(D)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	III	genome	1.9583334
k141_2741420_2	k141_2741420	gb|ABR14060.1|ARO:3002838|lnuD	84.1	164	165	1	164	164	1	164	4.18e-105	296.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(D)	lnu(D)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	III	genome	20.321438
k141_2826665_1	k141_2826665	gb|ABR14060.1|ARO:3002838|lnuD	81.1	164	165	1	164	164	1	164	1.91e-101	287.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(D)	lnu(D)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	III	genome	0.845335
k141_3334090_3	k141_3334090	U19459.gene.p01	82.7	208	209	1	208	212	1	208	4.7299999999999997e-138	383.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	IV	genome	2.2466755
k141_2741420_3	k141_2741420	U19459.gene.p01	82.0	211	212	1	211	212	1	211	5.1199999999999996e-136	378.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	IV	genome	20.321438
k141_2836582_2	k141_2836582	U19459.gene.p01	80.0	205	207	1	205	212	6	210	1.05e-129	362.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	IV	genome	0.9715262
k141_9487_1	k141_9487	AM087411.1.gene3.p01	99.6	281	282	1	281	281	1	281	5.45e-202	551.0		aminoglycoside	aminoglycoside__aadA6	aadA-ANT(3'')-IIa	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	plasmid	2.933091
k141_2005734_16	k141_2005734	YP_002552549	81.4	274	275	1	274	274	1	274	3.48e-158	439.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	18.515644
k141_2031503_33	k141_2031503	YP_002552549	80.3	274	275	1	274	274	1	274	3.87e-155	432.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	30.790619
k141_274199_49	k141_274199	YP_002552549	80.3	274	275	1	274	274	1	274	4.25e-159	442.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	15.932419
k141_2526000_19	k141_2526000	YP_002552549	81.8	274	310	36	309	274	1	274	1.31e-155	434.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	38.47357
k141_2988117_8	k141_2988117	YP_002552549	87.5	273	275	1	273	274	1	273	2.2699999999999997e-170	470.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	21.791403
k141_1340621_11	k141_1340621	gb|AAL36430.1|ARO:3004692|aadA10	100.0	43	43	1	43	277	1	43	9.809999999999999e-24	87.4		aminoglycoside	aminoglycoside__aadA10	aadA10	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	9.683037
k141_1494555_1	k141_1494555	gb|AAL36430.1|ARO:3004692|aadA10	100.0	43	43	1	43	277	1	43	9.809999999999999e-24	87.4		aminoglycoside	aminoglycoside__aadA10	aadA10	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	40.70506
k141_2005919_1	k141_2005919	NC_010558.1.6276115.p01	100.0	298	299	1	298	308	11	308	1.55e-212	579.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	II	plasmid	35.732975
k141_3337882_2	k141_3337882	KJ363320.1.gene3.p01	100.0	259	260	1	259	259	1	259	1.75e-187	512.0		aminoglycoside	aminoglycoside__aadA2	aadA2	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	12.445544
k141_3342300_6	k141_3342300	KJ363320.1.gene3.p01	100.0	28	29	1	28	259	232	259	1.07e-13	59.7		aminoglycoside	aminoglycoside__aadA2	aadA2	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	9.918833
k141_622022_2	k141_622022	KJ363320.1.gene3.p01	100.0	28	29	1	28	259	232	259	1.07e-13	59.7		aminoglycoside	aminoglycoside__aadA2	aadA2	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	plasmid	3.9755735
k141_2894931_2	k141_2894931	ACI02010	99.5	406	407	1	406	406	1	406	1.7299999999999999e-277	752.0		tetracycline	tetracycline__tet(40)	tet(40)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	II	genome	2.0836923
k141_2232522_1	k141_2232522	M15332.gene.p01	95.1	244	245	1	244	244	1	244	3.779999999999999e-170	467.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(G)	erm(G)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	III	genome	5.629133
k141_14899_3	k141_14899	AF001493.1.orf0.gene.p01	82.5	137	140	3	139	143	7	143	2.83e-85	244.0		rifamycin	rifamycin__arr-1	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	1.692975
k141_1792337_1	k141_1792337	ABV82118	100.0	33	33	1	33	639	1	33	3.17e-15	64.7		tetracycline	tetracycline__tet(32)	tet(32)	Antibiotic target protection			Yes	Yes	Yes	III	genome	2.933192
k141_241859_4	k141_241859	M55620.gene.p01	99.5	219	220	1	219	219	1	219	9.109999999999999e-170	464.0		chloramphenicol	chloramphenicol__catQ	catQ	Enzymatic inactivation	cat		Yes	Yes	Yes	III	genome	4.0930133
k141_2238075_4	k141_2238075	CAC47932	100.0	388	389	1	388	388	1	388	3.71e-288	778.0		tetracycline	tetracycline__tetX2	tet(X)	Enzymatic inactivation			Yes	Yes	Yes	IV	plasmid	25.473972
k141_18611_1	k141_18611	ABE98197	100.0	176	209	33	208	218	43	218	2.1e-108	308.0		quinolone	quinolone__QnrS2	QnrS family	Antibiotic target protection			Yes	Yes	Yes	I	genome	2.126776
k141_242696_3	k141_242696	JQ861959.1.gene5.p01	100.0	287	288	1	287	287	1	287	2.44e-217	590.0		aminoglycoside	aminoglycoside__ANT(6)-Ia	ANT(6)	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(6)	Yes	Yes	Yes	I	plasmid	3.970828
k141_2461151_1	k141_2461151	AF319779.2.orf0.gene.p01	86.8	53	58	1	53	266	1	53	6.42e-27	96.3		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(35)	erm(35)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	IV	genome	13.003887
k141_517126_1	k141_517126	AF319779.2.orf0.gene.p01	86.8	53	58	1	53	266	1	53	6.42e-27	96.3		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(35)	erm(35)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	IV	genome	7.0192213
k141_1797431_1	k141_1797431	gb|ADV91011.1|ARO:3000245|RbpA	92.8	111	112	1	111	114	1	111	2.32e-75	217.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	0.56497175
k141_1797431_2	k141_1797431	gb|ADV91011.1|ARO:3000245|RbpA	91.9	111	112	1	111	114	1	111	6.65e-75	216.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	0.56497175
k141_501541_13	k141_501541	gb|ADV91011.1|ARO:3000245|RbpA	92.9	112	113	1	112	114	1	112	4.88e-75	216.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	6.221494
k141_505191_1	k141_505191	gb|ADV91011.1|ARO:3000245|RbpA	96.4	111	113	2	112	114	1	111	6.17e-78	223.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	73.16769
k141_379295_3	k141_379295	gb|ADV91011.1|ARO:3000245|RbpA	91.1	112	113	1	112	114	1	112	6.93e-75	216.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	2.9437308
