qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	swh-i_578335-checked_1.fq Relative Abundance (%)	swh-i_578335-checked_1.fq Mean	swh-i_578335-checked_1.fq RPKM	swh-i_578335-checked_1.fq TPM	host_taxonomy
k141_4654913_109	k141_4654913	gb|ADV91011.1|ARO:3000245|RbpA	97.3	112	113	1	112	114	1	112	2.6100000000000002e-79	227.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	plasmid	13.47265	unmob	bin_1	Binning	bin_1	0.20697735	14.975817	4.541176	12993.53	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium mageritense
k141_780329_3	k141_780329	gb|ADZ12700.1|ARO:3005090|RanB	82.7	248	251	3	250	253	6	253	1.03e-141	396.0		multidrug	multidrug__RanB								IV	genome	15.282979		bin_101	Binning	bin_101	0.18383025	13.301011	4.024979	11516.55	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Epilithonimonas;s__Epilithonimonas vandammei
k141_4938_2	k141_4938	gb|WP_063864115.1|ARO:3005734|OXA-504	98.9	264	265	1	264	264	1	264	3.55e-194	530.0		beta_lactam	beta_lactam__OXA-427	OXA	Enzymatic inactivation	Class D beta-lactamase					III	genome	58.034096		bin_23	Binning	bin_23	0.58096516	42.03565	12.695435	36325.055	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae
k141_4697269_2	k141_4697269	U19459.gene.p01	80.1	211	212	1	211	212	1	211	2.08e-135	377.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	IV	genome	6.045297		bin_43	Binning	bin_43	0.12064453	8.729218	2.6230714	7505.312	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Macellibacteroides;s__Macellibacteroides fermentans
k141_692760_3	k141_692760	U19459.gene.p01	82.0	211	212	1	211	212	1	211	5.1199999999999996e-136	378.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	IV	genome	24.548832		bin_74	Binning	bin_74	0.2060235	14.906801	4.531932	12967.077	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Saccharofermentans;s__Saccharofermentans sp022484595
k141_1563700_2	k141_1563700	YP_001186705	90.9	824	824	1	824	1017	1	824	0.0	1430.0	multicomponent system	multidrug	multidrug__mexW	mexW	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	37.59334		bin_40	Binning	bin_40	0.35903752	25.978107	7.7779083	22254.691	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E alcaligenes
k141_4442978_1	k141_4442978	YP_001186705	87.8	180	181	1	180	1017	838	1017	1e-94	294.0	multicomponent system	multidrug	multidrug__mexW	mexW	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	32.939022		bin_40	Binning	bin_40	0.35903752	25.978107	7.7779083	22254.691	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E alcaligenes
k141_2184292_1	k141_2184292	YP_001140148	89.7	29	30	1	29	271	243	271	1.34e-09	48.5		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	48.540066		bin_23	Binning	bin_23	0.58096516	42.03565	12.695435	36325.055	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae
k141_4596670_1	k141_4596670	YP_001140148	91.9	271	272	1	271	271	1	271	8.38e-176	484.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	55.66862		bin_23	Binning	bin_23	0.58096516	42.03565	12.695435	36325.055	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae
k141_2805715_5	k141_2805715	YP_608499	83.3	276	277	1	276	276	1	276	2.9400000000000002e-167	462.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	27.332558		bin_40	Binning	bin_40	0.35903752	25.978107	7.7779083	22254.691	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E alcaligenes
k141_4673664_5	k141_4673664	gb|AAA88548.1|ARO:3002597|AAC(6')-Ie-APH(2'')-Ia	100.0	479	480	1	479	479	1	479	0.0	977.0		aminoglycoside	aminoglycoside__AAC(6')-Ie-APH(2'')-Ia	AAC(6')-Ie-APH(2'')-Ia	Enzymatic inactivation	Acetyltransferases	AAC(6')	Yes	Yes	Yes	I	plasmid	53.772167	unmob	bin_125	Hi-C	bin_125	0.057065014	4.128931	1.2330421	3528.0654	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans
k141_2503624_1	k141_2503624	gb|AAF74725.1|ARO:3004659|Mef(En2)	99.5	401	402	1	401	401	1	401	1.1e-282	765.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(En2)	mef(En2)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	III	genome	55.50688		bin_8	Binning	bin_8	0.37000027	26.771317	8.054285	23045.48	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
k141_1574651_11	k141_1574651	YP_002929946	98.2	282	283	1	282	282	1	282	1.03e-186	512.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	III	genome	8.219119		bin_83	Binning	bin_83	0.08184829	5.9221215	1.7809254	5095.7065	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_A
k141_2505894_18	k141_2505894	FJ790516.1.gene3.p01	100.0	37	38	1	37	265	1	37	6.32e-17	68.9		beta_lactam	beta_lactam__OXA-145	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	IV	genome	7.262319		bin_82	Binning	bin_82	0.12936641	9.360289	2.859173	8180.8613	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CTSOIL-112;s__
k141_4443404_1	k141_4443404	gb|AAC44316.1|ARO:3005010|qacEdelta1	100.0	70	70	1	70	115	1	70	8.519999999999999e-42	130.0		multidrug	multidrug__qacEdelta1								IV	plasmid	55.513264	unmob	bin_77	Binning	bin_77	0.21873538	15.826567	4.796007	13722.673	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__Brachymonas sp018054915
k141_661716_1	k141_661716	AF472622.2.gene1.p01	100.0	321	322	1	321	321	1	321	2.78e-231	628.0		beta_lactam	beta_lactam__CfxA3	CfxA	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	plasmid	48.11417	mob_unconj	bin_8	Binning	bin_8	0.37000027	26.771317	8.054285	23045.48	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus
k141_4500141_8	k141_4500141	YP_002552549	87.4	238	240	1	238	274	36	273	6.86e-149	414.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	13.3405695		bin_95	Binning	bin_95	0.38823038	28.090355	8.692295	24870.998	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Giesbergeria;s__Giesbergeria sp010020825
k141_2849832_5	k141_2849832	gi|553795209|ref|WP_023125875.1|	83.5	291	292	1	291	472	182	472	3.07e-158	448.0	multicomponent system	multidrug	multidrug__OprN	OprN	Efflux pump			Yes	Yes	Yes	IV	genome	24.236385		bin_40	Binning	bin_40	0.35903752	25.978107	7.7779083	22254.691	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E alcaligenes
k141_3782552_1	k141_3782552	ACI02892	97.4	274	274	1	274	404	1	274	2.65e-181	503.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	I	plasmid	117.59641	unmob	bin_42	Hi-C	bin_42	0.09731415	7.0411515	2.1342337	6106.619	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Gemmobacter;s__
k141_3782552_1	k141_3782552	ACI02892	97.4	274	274	1	274	404	1	274	2.65e-181	503.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	I	plasmid	117.59641	unmob	bin_38	Hi-C	bin_38	0.08803722	6.369921	1.9259756	5510.734	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amaricoccus;s__
k141_3782552_1	k141_3782552	ACI02892	97.4	274	274	1	274	404	1	274	2.65e-181	503.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	I	plasmid	117.59641	unmob	bin_22	Hi-C	bin_22	0.07127406	5.157024	1.5527989	4442.9756	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__P52-10;s__
k141_1306585_97	k141_1306585	YP_581244	88.9	280	281	1	280	280	1	280	1.43e-176	486.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	5.06374		bin_41	Binning	bin_41	0.07046064	5.09817	1.545203	4421.2417	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__
k141_692760_2	k141_692760	gb|ABR14060.1|ARO:3002838|lnuD	84.1	164	165	1	164	164	1	164	4.18e-105	296.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(D)	lnu(D)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	III	genome	24.548832		bin_74	Binning	bin_74	0.2060235	14.906801	4.531932	12967.077	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Saccharofermentans;s__Saccharofermentans sp022484595
k141_692760_6	k141_692760	gb|ACJ63262.1|ARO:3003107|mefB	90.1	406	407	1	406	409	1	406	2.02e-263	717.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	genome	24.548832		bin_74	Binning	bin_74	0.2060235	14.906801	4.531932	12967.077	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Saccharofermentans;s__Saccharofermentans sp022484595
k141_181694_2	k141_181694	BAB71966	80.3	421	422	1	421	420	1	420	5.19e-238	654.0		tetracycline	tetracycline__tetA(P)	tetA(P)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	4.5280237		bin_84	Binning	bin_84	0.2059765	14.903399	4.503268	12885.063	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis
k141_85039_66	k141_85039	AF001493.1.orf0.gene.p01	82.5	137	140	3	139	143	7	143	2.83e-85	244.0		rifamycin	rifamycin__arr-1	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	13.042309		bin_1	Binning	bin_1	0.20697735	14.975817	4.541176	12993.53	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium mageritense
k141_4443404_2	k141_4443404	AB777500.1.gene5.p01	100.0	275	276	1	275	275	1	275	1.3e-206	562.0		beta_lactam	beta_lactam__OXA-2	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	notassessed	plasmid	55.513264	unmob	bin_77	Binning	bin_77	0.21873538	15.826567	4.796007	13722.673	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__Brachymonas sp018054915
k141_4443404_3	k141_4443404	gi|53794413|gb|AAU93764.1|	99.6	269	272	3	271	301	33	301	2.14e-192	527.0		aminoglycoside	aminoglycoside__aadA	aadA-ANT(3'')-IIa	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	plasmid	55.513264	unmob	bin_77	Binning	bin_77	0.21873538	15.826567	4.796007	13722.673	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__Brachymonas sp018054915
k141_4443404_4	k141_4443404	AY115475.1.gene2.p01	99.6	266	267	1	266	266	1	266	2.68e-190	520.0		beta_lactam	beta_lactam__OXA-10	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	IV	plasmid	55.513264	unmob	bin_77	Binning	bin_77	0.21873538	15.826567	4.796007	13722.673	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__Brachymonas sp018054915
k141_4443404_5	k141_4443404	AAC78336	100.0	408	409	1	408	408	1	408	1.22e-294	796.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__ereA2	ere(A)	Enzymatic inactivation	macrolide esterase	MLS_macrolide	Yes	Yes	Yes	I	plasmid	55.513264	unmob	bin_77	Binning	bin_77	0.21873538	15.826567	4.796007	13722.673	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Brachymonas;s__Brachymonas sp018054915
k141_1650157_37	k141_1650157	gb|CAA03986.1|ARO:3000343|tap	88.7	408	410	1	408	409	1	408	4.5100000000000006e-247	676.0		multidrug	multidrug__tap	tap	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	14.506322		bin_1	Binning	bin_1	0.20697735	14.975817	4.541176	12993.53	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium mageritense
k141_4750858_1	k141_4750858	gb|AAG07064.1|ARO:3003693|mexK	82.1	609	609	1	609	1025	1	609	0.0	988.0	multicomponent system	multidrug	multidrug__mexK	mexK	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	21.810276		bin_40	Binning	bin_40	0.35903752	25.978107	7.7779083	22254.691	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E alcaligenes
k141_3224773_4	k141_3224773	gb|CAQ53840.1|ARO:3000853|AIM-1	97.4	303	304	1	303	303	1	303	4.2e-217	591.0		beta_lactam	beta_lactam__AIM-1	AIM-1	Enzymatic inactivation	Class B3 beta-lactamase		Yes	Yes	Yes	IV	genome	6.0017986		bin_58	Binning	bin_58	0.11026474	7.9781895	2.3922095	6844.756	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__Pseudoxanthomonas_A mexicana
k141_2618344_2	k141_2618344	NC_002516.2.877852.p01	82.7	1038	1045	1	1036	1046	1	1038	0.0	1639.0	multicomponent system	multidrug	multidrug__MexB	MexB	Efflux pump			Yes	Yes	Yes	IV	genome	32.08003		bin_40	Binning	bin_40	0.35903752	25.978107	7.7779083	22254.691	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E alcaligenes
k141_1073123_27	k141_1073123	gb|AAC43550.1|ARO:3003967|lrfA	83.8	505	510	1	505	504	1	504	2.15e-278	763.0		quinolone	quinolone__lfrA	lfrA	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	13.919905		bin_1	Binning	bin_1	0.20697735	14.975817	4.541176	12993.53	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium mageritense
k141_780329_2	k141_780329	gb|ADZ12699.1|ARO:3005091|RanA	80.2	258	271	1	258	258	1	258	1.33e-148	414.0		multidrug	multidrug__RanA								IV	genome	15.282979		bin_101	Binning	bin_101	0.18383025	13.301011	4.024979	11516.55	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Epilithonimonas;s__Epilithonimonas vandammei
k141_2959960_1	k141_2959960	AAU89126	99.6	463	464	1	463	463	1	463	0.0	921.0		aminoglycoside	aminoglycoside__ANT(3'')-Ii-AAC(6')-IId fusion protein	aadA-ANT(3'')-IIa	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	IV	plasmid	81.20887	unmob	bin_28	Hi-C	bin_28	0.3814064	27.596607	8.337647	23856.258	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Sphaerotilus;s__Sphaerotilus sulfidivorans
k141_2375057_167	k141_2375057	gb|AAS76623.1|ARO:3004606|erm(40)	98.8	251	252	1	251	251	1	251	5.01e-183	500.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(40)	erm(40)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	IV	genome	14.290927		bin_1	Binning	bin_1	0.20697735	14.975817	4.541176	12993.53	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium mageritense
k141_3940472_2	k141_3940472	P30898	99.7	296	297	1	296	296	1	296	9.52e-215	584.0		beta_lactam	beta_lactam__CblA-1	CblA-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	genome	16.397469		bin_49	Binning	bin_49	0.22522952	16.29645	4.9166765	14067.939	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
k141_3951386_25	k141_3951386	U41471.1.gene1.p01	86.8	159	156	1	155	195	37	195	3.29e-102	290.0		aminoglycoside	aminoglycoside__AAC(2')-Ib	AAC(2')-Ib	Enzymatic inactivation	Acetyltransferases	AAC(2')	Yes	Yes	Yes	IV	genome	15.170108		bin_1	Binning	bin_1	0.20697735	14.975817	4.541176	12993.53	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium mageritense
k141_1188427_93	k141_1188427	gi|602542163|emb|CDO24964.1|	98.8	410	429	19	428	410	1	410	2.2000000000000002e-273	743.0		tetracycline	tetracycline__tet(V)	tet(V)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	15.559904		bin_1	Binning	bin_1	0.20697735	14.975817	4.541176	12993.53	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium mageritense
k141_2138974_7	k141_2138974	AAF71279	80.8	26	30	1	26	278	247	272	1.47e-10	51.2		vancomycin	vancomycin__vanYG1	vanYG1	Antibiotic target alteration	vanY family		Yes	Yes	Yes	III	genome	3.5000794		bin_125	Binning	bin_125	0.057065014	4.128931	1.2330421	3528.0654	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D bicirculans
