qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage
k141_266460_2	k141_266460	gb|ADP36409.1|ARO:3003730|Bifidobacteria	85.7	133	132	1	132	1107	1	133	1.8e-77	246.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	19.76731
k141_304926_1	k141_304926	gb|ADP36409.1|ARO:3003730|Bifidobacteria	91.2	634	634	1	634	1107	88	721	0.0	1238.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	26.646355
k141_2699741_1	k141_2699741	gb|ADP36409.1|ARO:3003730|Bifidobacteria	82.7	398	393	1	393	1107	653	1050	6.809999999999999e-225	644.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	9.906008
k141_3775637_1	k141_3775637	gb|ADP36409.1|ARO:3003730|Bifidobacteria	99.2	598	599	1	598	1107	510	1107	0.0	1181.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	5.0912037
k141_1649259_1	k141_1649259	gb|ADP36409.1|ARO:3003730|Bifidobacteria	88.6	361	369	10	369	1107	1	361	1.8499999999999999e-239	680.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	18.223011
k141_587500_1	k141_587500	gb|ADP36409.1|ARO:3003730|Bifidobacteria	91.1	383	383	1	383	1107	492	874	1.1899999999999999e-263	743.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	9.742258
k141_2741294_1	k141_2741294	gb|ADP36409.1|ARO:3003730|Bifidobacteria	86.6	432	428	1	428	1107	539	970	9.709999999999999e-274	770.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	20.463028
k141_360029_5	k141_360029	gb|ADP36409.1|ARO:3003730|Bifidobacteria	89.4	385	390	6	390	1107	9	393	1.2699999999999999e-262	740.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	22.011696
k141_2758340_1	k141_2758340	gb|ADP36409.1|ARO:3003730|Bifidobacteria	89.1	339	339	1	339	1107	662	1000	7.53e-212	608.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	13.887227
k141_3866111_1	k141_3866111	gb|ADP36409.1|ARO:3003730|Bifidobacteria	90.0	529	529	1	529	1107	348	876	0.0	1017.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	23.05073
k141_449655_3	k141_449655	gb|ADP36409.1|ARO:3003730|Bifidobacteria	85.8	106	108	2	107	1107	1002	1107	3.14e-49	165.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	3.0647187
k141_1794869_1	k141_1794869	gb|ADP36409.1|ARO:3003730|Bifidobacteria	99.7	286	287	2	287	1107	1	286	1.8500000000000001e-209	600.0		mupirocin	mupirocin__Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	Antibiotic target alteration			Yes	Yes	Yes	IV	genome	4.9309807
k141_2130150_2	k141_2130150	YP_854844	100.0	493	494	1	493	495	3	495	0.0	918.0	multicomponent system	multidrug	multidrug__tolC	tolC	Efflux pump			Yes	Yes	Yes	IV	plasmid	37.787415
k141_800591_1	k141_800591	gb|AML99881.1|ARO:3001327|mdtK	82.8	470	485	1	470	474	1	470	6.479999999999999e-287	782.0		multidrug	multidrug__mdtK	mdtK	Efflux pump	MATE transporter		Yes	Yes	Yes	II	genome	33.447174
k141_23908_2	k141_23908	gb|AML99881.1|ARO:3001327|mdtK	83.1	472	490	12	483	474	1	472	2.37e-288	786.0		multidrug	multidrug__mdtK	mdtK	Efflux pump	MATE transporter		Yes	Yes	Yes	II	plasmid	10.686825
k141_2025577_1	k141_2025577	gb|AML99881.1|ARO:3001327|mdtK	85.9	427	434	1	427	474	46	472	7.63e-268	732.0		multidrug	multidrug__mdtK	mdtK	Efflux pump	MATE transporter		Yes	Yes	Yes	II	plasmid	11.25108
