qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	swh-ads_577436-checked_1.fq Relative Abundance (%)	swh-ads_577436-checked_1.fq Mean	swh-ads_577436-checked_1.fq RPKM	swh-ads_577436-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_4928353_24	k141_4928353	gb|ADV91011.1|ARO:3000245|RbpA	97.3	112	113	1	112	114	1	112	2.61e-79	227.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	8.812431		bin_44	Binning	bin_44	0.17293866	10.7210655	1.96003	6522.19	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium mageritense	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium mageritense	d__Bacteria	320.34551039999997	p__Actinomycetota	66.14103349999999	c__Actinomycetia	66.14103349999999	o__Mycobacteriales	66.14103349999999	f__Mycobacteriaceae	66.14103349999999	g__Mycobacterium	66.14103349999999	s__Mycobacterium mageritense	10.7210655
k141_5779873_8	k141_5779873	gb|ADV91011.1|ARO:3000245|RbpA	92.0	112	113	1	112	114	1	112	2.07e-76	219.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	50.48725		bin_156	Binning	bin_156	0.89396477	55.419968	9.991299	33247.008	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp020438785	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium sp020438785			p__Pseudomonadota	80.9191509	c__Gammaproteobacteria	55.4712418	o__Burkholderiales	44.4821568	f__Burkholderiaceae_B	39.0939494	g__JAABQG01	14.322906	s__Mycobacterium sp020438785	55.419968
k141_5754685_6	k141_5754685	YP_985461	82.2	230	232	1	230	274	44	273	1.25e-135	380.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	4.8311076		bin_53	Binning	bin_53	0.23103899	14.322906	2.583736	8597.632	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__JAABQG01;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__JAABQG01	s__			p__Bacteroidota	116.9039585	c__Alphaproteobacteria	25.4479091	o__Rhodobacterales	9.827922000000001	f__Rhodobacteraceae	9.827922000000001	g__Paracoccus	5.8472	s__	95.4413043
k141_2066964_1	k141_2066964	gi|949697184|ref|WP_057056221.1|	100.0	87	88	1	87	278	192	278	2.07e-59	181.0		aminoglycoside	aminoglycoside__APH(6)-Id	APH(6)-Id	Enzymatic inactivation	Phosphotransferases	APH(6)	Yes	Yes	Yes	III	plasmid	11.740992	unmob	bin_82	Binning	bin_82	0.09431963	5.8472	1.0649972	3543.881	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Paracoccus	s__			p__Bacillota_A	19.8485225	c__Bacteroidia	116.9039585	o__Bacteroidales	114.4317266	f__Tenuifilaceae	98.99359	g__UBA1064	98.99359	s__UBA1064 sp002316235	98.99359
k141_1250188_9	k141_1250188	AGC41079.1	82.0	250	252	1	250	255	1	250	2.66e-147	410.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(H)	lnu(H)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	IV	genome	134.2644		bin_75	Binning	bin_75	1.5968393	98.99359	17.847132	59388.05	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tenuifilaceae;g__UBA1064;s__UBA1064 sp002316235	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tenuifilaceae	g__UBA1064	s__UBA1064 sp002316235			p__OLB16	4.3142014	c__Clostridia	19.8485225	o__Christensenellales	5.527125	f__CAG-74	5.527125	g__Limiplasma	5.527125	s__Limiplasma sp023395615	5.527125
k141_4641038_3	k141_4641038	U19459.gene.p01	80.0	210	212	1	210	212	1	210	2.84e-133	371.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	IV	genome	8.80374		bin_128	Binning	bin_128	0.08915658	5.527125	1.0032195	3338.31	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Limiplasma;s__Limiplasma sp023395615	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Christensenellales	f__CAG-74	g__Limiplasma	s__Limiplasma sp023395615			p__Cyanobacteriota	3.3132343	c__OLB16	4.3142014	o__Peptostreptococcales	2.7175214	f__Anaerovoracaceae	2.7175214	g__Lentihominibacter	2.7175214	s__Rubrivivax_A sp019635285	4.526756
k141_145588_13	k141_145588	U19459.gene.p01	82.0	211	212	1	211	212	1	211	5.1199999999999996e-136	378.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	IV	genome	3.922107		bin_238	Binning	bin_238	0.043835614	2.7175214	0.49351993	1642.2355	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Lentihominibacter;s__	d__Bacteria	p__Bacillota_A	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Lentihominibacter	s__			p__Bacillota_B	19.148507	c__Vampirovibrionia	3.3132343	o__SURF-12	4.3142014	f__SURF-12	4.3142014	g__Rubrivivax_A	4.526756	s__Sedimentibacter sp003483345	7.5245266
k141_5352781_4	k141_5352781	YP_970399	80.2	273	275	1	273	274	1	273	6.7e-156	434.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	4.202077		bin_27	Binning	bin_27	0.07301989	4.526756	0.8260247	2748.677	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Rubrivivax_A;s__Rubrivivax_A sp019635285	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Rubrivivax_A	s__Rubrivivax_A sp019635285			p__Planctomycetota	1.8328713	c__Syntrophomonadia	19.148507	o__Obscuribacterales	3.3132343	f__Obscuribacteraceae	3.3132343	g__JABLXU01	4.3142014	s__UBA1368 sp002305965	7.819028
k141_1672678_5	k141_1672678	gb|AAL59753.1|ARO:3000412|sul2	100.0	271	272	1	271	271	1	271	3.63e-186	510.0		sulfonamide	sulfonamide__sul2	sul2	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	10.285233	unmob	bin_8	Binning	bin_8	0.06959124	4.3142014	0.7805104	2597.2244	d__Bacteria;p__OLB16;c__OLB16;o__SURF-12;f__SURF-12;g__JABLXU01;s__	d__Bacteria	p__OLB16	c__OLB16	o__SURF-12	f__SURF-12	g__JABLXU01	s__			p__Atribacterota	2.7983806	c__Phycisphaerae	1.8328713	o__Tissierellales	7.5245266	f__Sedimentibacteraceae	7.5245266	g__QKMZ01	3.3132343	s__PHAA01 sp022706565	11.329479
k141_3488973_5	k141_3488973	gb|ABW91178.1|ARO:3002613|aadA13	100.0	21	22	1	21	265	245	265	4.42e-09	46.6		aminoglycoside	aminoglycoside__aadA13	aadA13	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	IV	genome	1.6590503		bin_5	Binning	bin_5	0.0534449	3.3132343	0.6013164	2000.9384	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Obscuribacterales;f__Obscuribacteraceae;g__QKMZ01;s__	d__Bacteria	p__Cyanobacteriota	c__Vampirovibrionia	o__Obscuribacterales	f__Obscuribacteraceae	g__QKMZ01	s__			p__Desulfobacterota	5.1256504	c__Atribacteria	2.7983806	o__Lachnospirales	4.0793495	f__Lachnospiraceae	4.0793495	g__Sedimentibacter	7.5245266	s__Giesbergeria sp010020825	6.8159914
