qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	sh-e_579967-checked_1.fq Relative Abundance (%)	sh-e_579967-checked_1.fq Mean	sh-e_579967-checked_1.fq RPKM	sh-e_579967-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_1818566_4	k141_1818566	AF001493.1.orf0.gene.p01	83.3	138	143	5	142	143	6	143	1.16e-87	250.0		rifamycin	rifamycin__arr-1	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	8.6063		bin_8	Binning	bin_8	0.4272273	21.718456	2.9465573	11810.876	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium senegalense	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium senegalense	d__Bacteria	318.7680276	p__Actinomycetota	274.2057305	c__Actinomycetia	274.2057305	o__Mycobacteriales	261.6042895	f__Mycobacteriaceae	261.6042895	g__Mycobacterium	203.262021	s__Mycobacterium senegalense	21.718456
k141_636998_9	k141_636998	AF001493.1.orf0.gene.p01	83.1	142	157	15	156	143	2	143	2.13e-89	255.0		rifamycin	rifamycin__arr-1	arr family	Enzymatic inactivation	rifampin ADP-ribosyltransferase (Arr)		Yes	Yes	Yes	IV	genome	11.760535		bin_11	Binning	bin_11	0.5179552	26.330687	3.545407	14211.286	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium fortuitum	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium fortuitum			p__Pseudomonadota	44.5622971	c__Alphaproteobacteria	11.958916	o__Actinomycetales	12.601441	f__Microbacteriaceae	12.601441	g__Nocardia	19.79498	s__Mycobacterium fortuitum	26.330687
k141_1786406_8	k141_1786406	gb|ADV91011.1|ARO:3000245|RbpA	85.6	111	112	1	111	114	1	111	1.63e-66	194.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	20.593102		bin_14	Binning	bin_14	0.38939023	19.79498	2.6881776	10775.195	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Nocardia;s__Nocardia cyriacigeorgica_B	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Nocardia	s__Nocardia cyriacigeorgica_B					c__Gammaproteobacteria	32.60338110000001	o__Rhizobiales	11.958916	f__Hyphomicrobiaceae	9.572015	g__Gordonia	38.5472885	s__Nocardia cyriacigeorgica_B	19.79498
k141_1500373_13	k141_1500373	gb|ADV91011.1|ARO:3000245|RbpA	95.5	111	112	1	111	114	1	111	3.43e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	12.94537		bin_63	Binning	bin_63	0.34550354	17.563961	2.3971264	9608.554	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp020438895	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium sp020438895							o__Pseudomonadales	2.779505	f__Pseudomonadaceae	2.779505	g__Microbacterium	12.601441	s__Mycobacterium sp020438895	17.563961
k141_1553818_14	k141_1553818	gb|ADV91011.1|ARO:3000245|RbpA	80.2	111	115	1	111	114	1	111	1.7e-62	184.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	6.0883465		bin_96	Binning	bin_96	0.13446659	6.8357215	0.9304127	3729.4338	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Gordonia;s__Gordonia sihwensis	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Gordonia	s__Gordonia sihwensis							o__JAAEPA01	9.340178	f__JAAEPA01	9.340178	g__JAEUMD01	9.572015	s__Gordonia sihwensis	6.8357215
k141_2148952_21	k141_2148952	gb|ADV91011.1|ARO:3000245|RbpA	92.9	112	113	1	112	114	1	112	4.88e-75	216.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	12.444161		bin_53	Binning	bin_53	0.2970732	15.101965	2.0611072	8261.669	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium insubricum	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium insubricum							o__Chromatiales	3.197676	f__Chromatiaceae	3.197676	g__Pseudomonas_E	2.779505	s__Mycobacterium insubricum	15.101965
k141_4550608_6	k141_4550608	gb|ADV91011.1|ARO:3000245|RbpA	97.3	111	112	1	111	114	1	111	7.19e-79	226.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	11.964068		bin_77	Binning	bin_77	0.2694257	13.696482	1.8650297	7475.717	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__							o__Burkholderiales	17.2860221	f__Burkholderiaceae_B	11.5295851	g__JAAEPA01	9.340178	s__	103.96315339999998
k141_390933_9	k141_390933	gb|ADV91011.1|ARO:3000245|RbpA	94.6	111	112	1	111	114	1	111	3.43e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	27.837593		bin_94	Binning	bin_94	1.3256915	67.39264	9.2171135	36945.55	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__									f__Rhodocyclaceae	5.756437	g__Thiocapsa	3.197676	s__Microbacterium sp002313585	12.601441
k141_2549287_9	k141_2549287	gb|ADV91011.1|ARO:3000245|RbpA	92.3	26	28	1	26	114	1	26	9.06e-12	52.4		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	2.5574389		bin_127	Binning	bin_127	0.24788499	12.601441	1.7003614	6815.6685	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp002313585	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp002313585									f__Xanthobacteraceae	2.386901	g__Aquabacterium_A	3.9734082	s__Mycobacterium sp020438845	41.45783
k141_1159282_6	k141_1159282	gb|ADV91011.1|ARO:3000245|RbpA	98.2	111	112	1	111	114	1	111	7.19e-79	226.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	33.88983		bin_41	Binning	bin_41	0.8155237	41.45783	5.6289163	22562.742	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp020438845	d__Bacteria	p__Actinomycetota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__Mycobacterium sp020438845											g__Thauera	5.756437	s__JAEUMD01 sp020638055	9.572015
