qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage
k141_998816_1	k141_998816	AF133140.gene.p01	100.0	305	305	1	305	391	1	305	1.25e-212	583.0		tetracycline	tetracycline__tet(G)	tet(G)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	12.930394
k141_1401643_3	k141_1401643	ABG36700	87.7	57	60	1	57	323	265	321	7.100000000000001e-31	107.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	genome	2.5744867
k141_1002240_3	k141_1002240	EAS48788	83.3	36	42	7	42	296	9	44	6.75e-15	63.9		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	2.2865596
k141_1203198_8	k141_1203198	YP_002552549	80.3	274	275	1	274	274	1	274	3.87e-155	432.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	30.354525
k141_1212541_18	k141_1212541	YP_002552549	80.3	274	275	1	274	274	1	274	4.25e-159	442.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	plasmid	12.147841
k141_232805_88	k141_232805	YP_002552549	81.4	274	275	1	274	274	1	274	3.48e-158	439.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	11.258177
k141_244353_33	k141_244353	YP_002552549	81.8	274	310	36	309	274	1	274	1.31e-155	434.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	22.809454
k141_2688859_8	k141_2688859	YP_002552549	87.5	273	275	1	273	274	1	273	2.2699999999999997e-170	470.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	32.431713
k141_3000337_5	k141_3000337	ABE98197	100.0	218	219	1	218	218	1	218	3.42e-112	318.0		quinolone	quinolone__QnrS2	QnrS family	Antibiotic target protection			Yes	Yes	Yes	I	plasmid	4.465591
k141_1409068_1	k141_1409068	gb|AIK02012.1|ARO:3002579|AAC(6')-Ib8	82.4	34	43	1	34	225	1	34	1.53e-12	57.0		aminoglycoside	aminoglycoside__AAC(6')-Ib8	AAC(6')-Ib8	Enzymatic inactivation	Acetyltransferases	AAC(6')	Yes	Yes	Yes	IV	genome	18.566708
k141_1012334_3	k141_1012334	AAF27723	100.0	287	288	1	287	287	1	287	1.4e-207	565.0		beta_lactam	beta_lactam__GES-1	GES	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	IV	plasmid	3.6835668
k141_1213988_1	k141_1213988	DQ677333.1.gene1.p01	100.0	26	27	1	26	259	234	259	1.82e-12	56.2		aminoglycoside	aminoglycoside__aadA24	aadA24	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	19.52714
k141_1301906_7	k141_1301906	DQ677333.1.gene1.p01	100.0	69	70	1	69	259	191	259	6.6e-43	137.0		aminoglycoside	aminoglycoside__aadA24	aadA24	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	I	genome	10.859081
