qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	sh-i_577286-checked_1.fq Relative Abundance (%)	sh-i_577286-checked_1.fq Mean	sh-i_577286-checked_1.fq RPKM	sh-i_577286-checked_1.fq TPM	host_taxonomy
k141_4760165_2	k141_4760165	AF133140.gene.p01	100.0	391	392	1	391	391	1	391	5.1600000000000005e-276	747.0		tetracycline	tetracycline__tet(G)	tet(G)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	12.136231	unmob	bin_17	Hi-C	bin_17	0.43861613	27.96796	6.5786743	21379.33	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__
k141_4760165_4	k141_4760165	gi|446136270|ref|WP_000214125.1|	99.5	404	405	1	404	404	1	404	6.039999999999999e-277	751.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	12.136231	unmob	bin_17	Hi-C	bin_17	0.43861613	27.96796	6.5786743	21379.33	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__
k141_3395328_28	k141_3395328	gb|ADV91011.1|ARO:3000245|RbpA	83.9	112	113	1	112	114	1	112	6.41e-71	206.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	28.152767		bin_12	Binning	bin_12	0.4634518	29.551586	6.9824395	22691.482	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus ruber
k141_2723557_3	k141_2723557	gb|AAY32951.1|ARO:3002837|lnuC	98.2	164	165	1	164	164	1	164	4.2300000000000005e-123	342.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(C)	lnu(C)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	III	plasmid	6.664993	unmob	bin_98	Binning	bin_98	0.073065996	4.658987	1.0988164	3570.925	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae;g__Dethiosulfovibrio;s__
k141_2928771_4	k141_2928771	AY339985.2.gene4.p01	85.9	78	81	1	78	323	244	321	7.72e-44	142.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	3.6102698	unmob	bin_17	Hi-C	bin_17	0.43861613	27.96796	6.5786743	21379.33	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__
k141_2928771_5	k141_2928771	AY339985.2.gene4.p01	81.5	27	28	1	27	323	205	231	1.75e-09	48.1		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	IV	plasmid	3.6102698	unmob	bin_17	Hi-C	bin_17	0.43861613	27.96796	6.5786743	21379.33	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__
k141_1705626_4	k141_1705626	P67918	100.0	305	306	1	305	305	1	305	1.2000000000000001e-217	592.0		beta_lactam	beta_lactam__ROB-1	ROB-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	II	plasmid	9.940603	unmob	bin_90	Hi-C	bin_90	0.15814973	10.084274	2.382226	7741.7397	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Pasteurellaceae;g__Mannheimia;s__
k141_4597283_2	k141_4597283	BAD46890	100.0	123	123	1	123	657	1	123	5.9800000000000004e-80	246.0		tetracycline	tetracycline__tet(Q)	tet(Q)	Antibiotic target protection			Yes	Yes	Yes	III	genome	13.648812		bin_25	Binning	bin_25	0.084824614	5.4087653	1.2737925	4139.561	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis
k141_1387503_5	k141_1387503	CAI46978	100.0	293	296	3	295	293	1	293	1.63e-205	561.0		beta_lactam	beta_lactam__Other class A beta-lactamase	Other class A beta-lactamase	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	II	plasmid	16.198492	unmob	bin_63	Hi-C	bin_63	0.06730402	4.29158	1.0111195	3285.9294	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Aquaspirillaceae;g__Laribacter;s__Laribacter hongkongensis
k141_381911_3	k141_381911	gb|ADT70779.1|ARO:3001805|OXA-198	80.2	257	259	1	257	262	5	261	4.0599999999999997e-150	418.0		beta_lactam	beta_lactam__OXA-198	OXA	Enzymatic inactivation	Class D beta-lactamase		Yes	Yes	Yes	IV	genome	7.485368		bin_14	Binning	bin_14	0.118491575	7.5555086	1.7960063	5836.6484	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__JAAEPA01;f__JAAEPA01;g__JAAEPA01;s__
