qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	swh-ads_577436-checked_1.fq Relative Abundance (%)	swh-ads_577436-checked_1.fq Mean	swh-ads_577436-checked_1.fq RPKM	swh-ads_577436-checked_1.fq TPM	host_taxonomy
k141_4928353_24	k141_4928353	gb|ADV91011.1|ARO:3000245|RbpA	97.3	112	113	1	112	114	1	112	2.6100000000000002e-79	227.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	8.812431		bin_44	Binning	bin_44	0.17293866	10.7210655	1.96003	6522.19	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium mageritense
k141_5779873_8	k141_5779873	gb|ADV91011.1|ARO:3000245|RbpA	92.0	112	113	1	112	114	1	112	2.07e-76	219.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	50.48725		bin_156	Binning	bin_156	0.89396477	55.419968	9.991299	33247.008	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp020438785
k141_5754685_6	k141_5754685	YP_985461	82.2	230	232	1	230	274	44	273	1.2499999999999999e-135	380.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	4.8311076		bin_53	Binning	bin_53	0.23103899	14.322906	2.583736	8597.632	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__JAABQG01;s__
k141_729220_1	k141_729220	YP_985461	82.6	230	232	1	230	274	44	273	2.5199999999999998e-135	380.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	14.198163		bin_53	Binning	bin_53	0.23103899	14.322906	2.583736	8597.632	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__JAABQG01;s__
k141_2066964_1	k141_2066964	gi|949697184|ref|WP_057056221.1|	100.0	87	88	1	87	278	192	278	2.07e-59	181.0		aminoglycoside	aminoglycoside__APH(6)-Id	APH(6)-Id	Enzymatic inactivation	Phosphotransferases	APH(6)	Yes	Yes	Yes	III	plasmid	11.740992	unmob	bin_82	Binning	bin_82	0.09431963	5.8472	1.0649972	3543.881	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__
k141_1250188_9	k141_1250188	AGC41079.1	82.0	250	252	1	250	255	1	250	2.66e-147	410.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(H)	lnu(H)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	IV	genome	134.2644		bin_75	Binning	bin_75	1.5968393	98.99359	17.847132	59388.05	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tenuifilaceae;g__UBA1064;s__UBA1064 sp002316235
k141_4641038_3	k141_4641038	U19459.gene.p01	80.0	210	212	1	210	212	1	210	2.84e-133	371.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	IV	genome	8.80374		bin_128	Binning	bin_128	0.08915658	5.527125	1.0032195	3338.31	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Limiplasma;s__Limiplasma sp023395615
k141_145588_13	k141_145588	U19459.gene.p01	82.0	211	212	1	211	212	1	211	5.1199999999999996e-136	378.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	IV	genome	3.922107		bin_238	Binning	bin_238	0.043835614	2.7175214	0.49351993	1642.2355	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Lentihominibacter;s__
k141_5352781_4	k141_5352781	YP_970399	80.2	273	275	1	273	274	1	273	6.7e-156	434.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	4.202077		bin_27	Binning	bin_27	0.07301989	4.526756	0.8260247	2748.677	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Rubrivivax_A;s__Rubrivivax_A sp019635285
k141_1672678_5	k141_1672678	gb|AAL59753.1|ARO:3000412|sul2	100.0	271	272	1	271	271	1	271	3.6299999999999998e-186	510.0		sulfonamide	sulfonamide__sul2	sul2	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	10.285233	unmob	bin_8	Binning	bin_8	0.06959124	4.3142014	0.7805104	2597.2244	d__Bacteria;p__OLB16;c__OLB16;o__SURF-12;f__SURF-12;g__JABLXU01;s__
