qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	tp-ads_743148-checked_1.fq Relative Abundance (%)	tp-ads_743148-checked_1.fq Mean	tp-ads_743148-checked_1.fq RPKM	tp-ads_743148-checked_1.fq TPM	host_taxonomy
k141_2282197_3	k141_2282197	gb|ABG65740.1|ARO:3002879|linG	81.0	273	274	1	273	273	1	273	6.710000000000001e-167	461.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__linG	linG	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	I	genome	5.808959		bin_43	Binning	bin_43	0.066386856	4.436751	1.135144	3486.894	d__Bacteria;p__Acidobacteriota;c__UBA4820;o__UBA4820;f__UBA4820;g__;s__
k141_2347835_2	k141_2347835	CAJ45367	98.5	405	415	7	411	405	1	405	1.97e-278	755.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	plasmid	54.146915	unmob	bin_73	Hi-C	bin_73	0.16781315	11.215249	2.9257154	8987.1045	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Saccharofermentans;s__
k141_1457500_1	k141_1457500	gb|ACJ63262.1|ARO:3003107|mefB	97.6	409	410	1	409	409	1	409	8.71e-284	768.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	plasmid	29.28157	unmob	bin_65	Hi-C	bin_65	0.18670231	12.477645	3.2536926	9994.575	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA2658;s__
k141_1118186_2	k141_1118186	gb|ACJ63262.1|ARO:3003107|mefB	90.4	366	367	1	366	409	41	406	6.18e-236	645.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	genome	37.216		bin_34	Binning	bin_34	0.13179687	8.808217	2.294196	7047.227	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__DTU089;s__
k141_1134251_1	k141_1134251	gb|ACJ63262.1|ARO:3003107|mefB	90.7	86	86	1	86	409	1	86	6.6700000000000004e-49	157.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	genome	11.397141		bin_34	Binning	bin_34	0.13179687	8.808217	2.294196	7047.227	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__DTU089;s__
k141_331380_1	k141_331380	gb|ACJ63262.1|ARO:3003107|mefB	95.4	238	239	1	238	409	172	409	1.9400000000000002e-156	439.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mef(B)	mef(B)	Efflux pump	MFS family antibiotic efflux pump	MLS_macrolide	Yes	Yes	Yes	I	plasmid	25.029423	unmob	bin_42	Binning	bin_42	0.089295246	5.967759	1.5545653	4775.255	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__Bacteroides_I graminisolvens
k141_2556167_2	k141_2556167	U19459.gene.p01	80.1	211	212	1	211	212	1	211	2.08e-135	377.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	IV	genome	22.079262		bin_34	Binning	bin_34	0.13179687	8.808217	2.294196	7047.227	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__DTU089;s__
k141_1134251_4	k141_1134251	U19459.gene.p01	82.0	211	212	1	211	212	1	211	5.1199999999999996e-136	378.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__vat(B)	vat(B)	Enzymatic inactivation	streptogramin vat acetyltransferase	MLS_streptogramin	Yes	Yes	Yes	IV	genome	11.397141		bin_34	Binning	bin_34	0.13179687	8.808217	2.294196	7047.227	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__DTU089;s__
k141_1458849_73	k141_1458849	gb|ADV91011.1|ARO:3000245|RbpA	94.6	111	112	1	111	114	1	111	1.98e-76	219.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	20.859928		bin_26	Binning	bin_26	0.33870548	22.636286	5.918693	18180.818	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
k141_2013183_16	k141_2013183	gb|ADV91011.1|ARO:3000245|RbpA	94.6	111	112	1	111	114	1	111	3.43e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	213.08737		bin_2	Binning	bin_2	3.0275724	202.33801	52.762398	162073.6	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
