qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	TP-E_580007-checked_1.fq Relative Abundance (%)	TP-E_580007-checked_1.fq Mean	TP-E_580007-checked_1.fq RPKM	TP-E_580007-checked_1.fq TPM	host_taxonomy
k141_274449_3	k141_274449	AB104852.1.gene6.p01	100.0	279	280	1	279	279	1	279	3.6799999999999997e-199	543.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	34.224133	unmob	bin_66	Binning	bin_66	0.056613155	3.1667032	0.5063047	1843.7367	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__JACKOD01;s__JACKOD01 sp024234505
k141_274449_4	k141_274449	gb|AAC44316.1|ARO:3005010|qacEdelta1	100.0	115	116	1	115	115	1	115	3.57e-78	224.0		multidrug	multidrug__qacEdelta1								IV	plasmid	34.224133	unmob	bin_66	Binning	bin_66	0.056613155	3.1667032	0.5063047	1843.7367	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__JACKOD01;s__JACKOD01 sp024234505
k141_3276804_2	k141_3276804	CAC47932	100.0	388	389	1	388	388	1	388	3.71e-288	778.0		tetracycline	tetracycline__tetX2	tet(X)	Enzymatic inactivation			Yes	Yes	Yes	IV	plasmid	7.3002276	unmob	bin_94	Binning	bin_94	0.13202725	7.3850527	1.1847639	4314.384	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp001567405
k141_2869705_73	k141_2869705	gb|ADV91011.1|ARO:3000245|RbpA	94.6	111	112	1	111	114	1	111	1.98e-76	219.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	64.473274		bin_53	Binning	bin_53	2.5020077	139.95184	22.94974	83572.766	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__
k141_2899305_11	k141_2899305	gb|ADV91011.1|ARO:3000245|RbpA	92.9	112	113	1	112	114	1	112	4.88e-75	216.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	4.1105113		bin_86	Binning	bin_86	0.15332177	8.576179	1.4091017	5131.3228	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium insubricum
k141_832862_1	k141_832862	CAJ45367	99.0	405	406	1	405	405	1	405	2.77e-278	754.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	plasmid	11.684537	unmob	bin_153	Hi-C	bin_153	0.08081725	4.5205793	0.7239602	2636.3416	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__JAEXNS01;s__
k141_832862_1	k141_832862	CAJ45367	99.0	405	406	1	405	405	1	405	2.77e-278	754.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	plasmid	11.684537	unmob	bin_199	Hi-C	bin_199	0.06768836	3.7862039	0.6073875	2211.8354	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Saccharofermentans;s__Saccharofermentans sp012728275
k141_2498297_12	k141_2498297	YP_002552549	81.4	274	275	1	274	274	1	274	3.48e-158	439.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	16.527597		bin_72	Binning	bin_72	0.28580272	15.986609	2.5459204	9271.112	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp024235955
k141_398923_11	k141_398923	YP_002552549	80.3	274	275	1	274	274	1	274	4.25e-159	442.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	5.019947		bin_78	Binning	bin_78	0.09584326	5.361071	0.85751873	3122.703	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Hydrogenophaga;s__
k141_1129475_5	k141_1129475	gi|38231197|gb|AAR14532.1|	100.0	260	261	1	260	263	4	263	1.48e-187	513.0		aminoglycoside	aminoglycoside__aadA	aadA-ANT(3'')-IIa	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	II	genome	11.777616		bin_73	Binning	bin_73	0.11584301	6.479774	1.0288794	3746.722	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__JACKOX01;s__JACKOX01 sp024233975
