qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage	plascad	host	host.iden.type	Genome	sk-as_579852-checked_1.fq Relative Abundance (%)	sk-as_579852-checked_1.fq Mean	sk-as_579852-checked_1.fq RPKM	sk-as_579852-checked_1.fq TPM	host_taxonomy	0	1	2	3	4	5	6	Element_1	Sum_1	Element_2	Sum_2	Element_3	Sum_3	Element_4	Sum_4	Element_5	Sum_5	Element_6	Sum_6	Element_7	Sum_7
k141_415456_11	k141_415456	YP_970399	80.2	273	275	1	273	274	1	273	6.7e-156	434.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	8.6082945		bin_55	Binning	bin_55	0.25319612	11.467354	1.3084227	5861.102	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Rubrivivax_A;s__Rubrivivax_A sp019635285	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Rubrivivax_A	s__Rubrivivax_A sp019635285	d__Bacteria	371.0516337	p__Pseudomonadota	197.61018610000002	c__Gammaproteobacteria	167.7606748	o__Burkholderiales	167.7606748	f__Burkholderiaceae_B	113.6424928	g__Rubrivivax_A	11.467354	s__Rubrivivax_A sp019635285	11.467354
k141_2907860_3	k141_2907860	YP_002552549	80.7	269	270	1	269	274	6	274	4.55e-148	414.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	10.85979		bin_119	Binning	bin_119	0.32334912	14.644611	1.6613746	7442.156	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp018240925	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Ottowia	s__Ottowia sp018240925			p__Bacteroidota	162.694537	c__Bacteroidia	162.694537	o__Chitinophagales	162.694537	f__Saprospiraceae	150.427163	g__Ottowia	52.8444403	s__Ottowia sp018240925	14.644611
k141_2716033_2	k141_2716033	YP_002552549	81.8	274	275	1	274	274	1	274	6.1e-152	424.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	3.1208103		bin_34	Binning	bin_34	0.25136346	11.384353	1.2848507	5755.5107	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__CAISIP01;s__CAISIP01 sp016790475	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__CAISIP01	s__CAISIP01 sp016790475			p__Myxococcota	10.7469106	c__Alphaproteobacteria	29.8495113	o__Rhizobiales	6.1258783	f__JADIYW01	12.267374	g__CAISIP01	11.384353	s__CAISIP01 sp016790475	11.384353
k141_651913_41	k141_651913	YP_002552549	80.3	274	275	1	274	274	1	274	3.87e-155	432.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	14.6335945		bin_106	Binning	bin_106	0.5395568	24.436747	2.78461	12473.706	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__Ottowia sp020848515	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Ottowia	s__Ottowia sp020848515					c__Polyangia	10.7469106	o__Nannocystales	3.2481203	f__Aestuariivirgaceae	6.1258783	g__UBA3362	16.204813	s__Ottowia sp020848515	24.436747
k141_3252416_3	k141_3252416	YP_002552549	84.0	263	264	1	263	274	12	274	1.3599999999999998e-159	442.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	3.442268		bin_122	Binning	bin_122	0.11046283	5.0029063	0.5671178	2540.413	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Ottowia	s__							o__Polyangiales	7.4987903	f__Nannocystaceae	3.2481203	g__JADJSS01	12.267374	s__	88.9797807
k141_1863989_4	k141_1863989	YP_002552549	82.1	263	264	1	263	274	12	274	5.6099999999999986e-152	423.0		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	5.726001		bin_97	Binning	bin_97	0.19342235	8.760176	0.99354	4450.579	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ottowia;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_B	g__Ottowia	s__							o__Rhodobacterales	23.723633	f__Rhodocyclaceae	54.118182000000004	g__OLB8	134.22235	s__UBA3362 sp016710235	16.204813
k141_10827_4	k141_10827	AY536519.1.gene1.p01	100.0	299	300	1	299	299	1	299	1.46e-215	587.0		beta_lactam	beta_lactam__VEB-3	VEB	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	I	plasmid	14.811609	unmob	bin_110	Binning	bin_110	0.35779792	16.204813	1.8283206	8189.9946	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__UBA3362 sp016710235	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__UBA3362	s__UBA3362 sp016710235									f__Sandaracinaceae	7.4987903	g__Aestuariivirga	6.1258783	s__OLB8 sp001567405	134.22235
k141_633889_3	k141_633889	AGC41079.1	82.9	251	257	6	256	255	1	251	1.51e-152	424.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__lnu(H)	lnu(H)	Enzymatic inactivation	lincosamide nucleotidyltransferase (LNU)	MLS_lincosamide	Yes	Yes	Yes	IV	genome	2.9365773		bin_96	Binning	bin_96	0.27086034	12.267374	1.3826358	6193.5396	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__JADIYW01;g__JADJSS01;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__JADIYW01	g__JADJSS01	s__									f__Rhodobacteraceae	23.723633	g__JAHBZM01	10.0128975	s__SSSZ01 sp009469685	34.111217
k141_848510_9	k141_848510	CAC47932	100.0	388	389	1	388	388	1	388	3.71e-288	778.0		tetracycline	tetracycline__tetX2	tet(X)	Enzymatic inactivation			Yes	Yes	Yes	IV	plasmid	123.691666	unmob	bin_75	Binning	bin_75	2.9635937	134.22235	15.118552	67723.81	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__OLB8 sp001567405	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__OLB8	s__OLB8 sp001567405											g__JAABQG01	15.168809	s__Tabrizicola sp016793705	23.723633
k141_231267_1	k141_231267	gi|754690915|ref|WP_042068827.1|	100.0	237	237	1	237	273	1	237	3.62e-175	481.0		aminoglycoside	aminoglycoside__APH(6)-Id	APH(6)-Id	Enzymatic inactivation	Phosphotransferases	APH(6)	Yes	Yes	Yes	IV	plasmid	36.16133	unmob	bin_126	Hi-C	bin_126	0.13525775	6.1258783	0.6930757	3104.6443	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Aestuariivirga;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Aestuariivirgaceae	g__Aestuariivirga	s__											g__Nannocystis	3.2481203	s__Thauera aminoaromatica	11.876775
