qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage
k141_289744_1	k141_289744	gb|WP_063865154.1|ARO:3006211|VEB-14	100.0	35	35	1	35	298	1	35	6.9e-15	63.5		beta_lactam	beta_lactam__VEB-9	VEB	Enzymatic inactivation	Class A beta-lactamase					III	plasmid	20.946985
k141_289752_1	k141_289752	gb|WP_063865154.1|ARO:3006211|VEB-14	100.0	35	35	1	35	298	1	35	6.9e-15	63.5		beta_lactam	beta_lactam__VEB-9	VEB	Enzymatic inactivation	Class A beta-lactamase					III	genome	142.35103
k141_3831907_2	k141_3831907	gb|WP_063865154.1|ARO:3006211|VEB-14	100.0	26	26	1	26	298	1	26	2.95e-09	47.4		beta_lactam	beta_lactam__VEB-9	VEB	Enzymatic inactivation	Class A beta-lactamase					III	genome	5.0725746
k141_4344042_36	k141_4344042	gb|ADV91011.1|ARO:3000245|RbpA	92.9	112	113	1	112	114	1	112	5.0700000000000004e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	21.519743
k141_3766981_2	k141_3766981	gb|ADV91011.1|ARO:3000245|RbpA	92.0	112	113	1	112	114	1	112	2.07e-76	219.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	35.56626
k141_2366414_16	k141_2366414	gb|ADV91011.1|ARO:3000245|RbpA	92.9	112	113	1	112	114	1	112	4.88e-75	216.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	11.738654
k141_945042_5	k141_945042	gb|ADV91011.1|ARO:3000245|RbpA	91.9	111	112	1	111	114	1	111	6.65e-75	216.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	6.4337616
k141_380393_27	k141_380393	gb|ADV91011.1|ARO:3000245|RbpA	92.0	112	113	1	112	114	1	112	8.43e-76	218.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	6.0501885
k141_3858849_25	k141_3858849	gb|ADV91011.1|ARO:3000245|RbpA	94.6	111	112	1	111	114	1	111	4.87e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	61.408855
k141_1564383_3	k141_1564383	gb|ADV91011.1|ARO:3000245|RbpA	96.4	112	113	1	112	114	1	112	1.51e-78	225.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	3.486611
k141_3971100_2	k141_3971100	gb|ADV91011.1|ARO:3000245|RbpA	92.8	111	112	1	111	114	1	111	3.3e-75	216.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	3.8486238
k141_962_1	k141_962	gb|ADZ12700.1|ARO:3005090|RanB	81.0	247	250	3	249	253	7	253	9.419999999999999e-140	391.0		multidrug	multidrug__RanB								IV	genome	87.37507
k141_623907_3	k141_623907	gb|ADZ12700.1|ARO:3005090|RanB	82.7	248	251	3	250	253	6	253	4.859999999999999e-140	392.0		multidrug	multidrug__RanB								IV	genome	5.115707
k141_3267569_5	k141_3267569	gb|ADZ12700.1|ARO:3005090|RanB	81.0	247	250	3	249	253	7	253	2.32e-140	392.0		multidrug	multidrug__RanB								IV	genome	48.14998
k141_132615_2	k141_132615	gb|ADZ12700.1|ARO:3005090|RanB	86.2	239	241	2	240	253	15	253	3.81e-139	389.0		multidrug	multidrug__RanB								IV	genome	2.562136
k141_788309_1	k141_788309	gb|ADZ12700.1|ARO:3005090|RanB	83.3	198	199	1	198	253	56	253	5.19e-112	318.0		multidrug	multidrug__RanB								IV	genome	40.26195
k141_1664159_10	k141_1664159	gb|ADZ12700.1|ARO:3005090|RanB	85.0	247	250	3	249	253	7	253	2.96e-143	400.0		multidrug	multidrug__RanB								IV	genome	3.1098242
k141_1963482_3	k141_1963482	gb|ADZ12700.1|ARO:3005090|RanB	82.0	239	241	3	241	253	7	245	7.33e-137	383.0		multidrug	multidrug__RanB								IV	genome	6.17282
k141_4346123_1	k141_4346123	EU675686.2.gene5.p01	98.6	281	282	1	281	281	1	281	3.0199999999999997e-199	544.0		aminoglycoside	aminoglycoside__aadA16	aadA16	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	IV	plasmid	9.416818
k141_1739719_1	k141_1739719	gi|1028097001|ref|WP_063853698.1|	96.2	314	315	1	314	408	95	408	9.03e-208	572.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	plasmid	33.98787
k141_2898881_1	k141_2898881	gb|WP_063864115.1|ARO:3005734|OXA-504	98.5	264	265	1	264	264	1	264	7.15e-194	529.0		beta_lactam	beta_lactam__OXA-427	OXA	Enzymatic inactivation	Class D beta-lactamase					III	genome	25.38764
k141_1740457_2	k141_1740457	WP_039026394.1	85.2	539	542	3	541	541	3	541	0.0	950.0		polymyxin	polymyxin__mcr-3.1	mcr-3	Antibiotic target alteration			Yes	Yes	Yes	IV	plasmid	8.497901
k141_1740457_3	k141_1740457	gb|AST36143.1|ARO:3004509|MCR-3.8	98.1	540	541	1	540	540	1	540	0.0	1066.0		polymyxin	polymyxin__mcr-3.8	mcr-3	Antibiotic target alteration			Yes	Yes	Yes	IV	plasmid	8.497901
k141_1450976_1	k141_1450976	gi|573042590|emb|CDI16885.1|	100.0	27	28	1	27	417	391	417	6.82e-10	49.3	multicomponent system	multidrug	multidrug__Klebsiella pneumoniae acrA	Klebsiella pneumoniae acrA	Efflux pump			Yes	Yes	Yes	IV	genome	5.0120893
k141_1450976_2	k141_1450976	BAC77251	81.9	1046	1049	1	1046	1051	1	1045	0.0	1651.0	multicomponent system	multidrug	multidrug__sdeY	sdeY	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	5.0120893
k141_3535806_1	k141_3535806	BAC77251	81.1	477	477	1	477	1051	54	530	6.33e-255	723.0	multicomponent system	multidrug	multidrug__sdeY	sdeY	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	2.6219797
k141_1220218_1	k141_1220218	BAC77251	82.8	673	676	1	673	1051	374	1045	0.0	1067.0	multicomponent system	multidrug	multidrug__sdeY	sdeY	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	2.077951
k141_3418927_6	k141_3418927	BAC77251	89.6	134	140	4	137	1051	912	1045	3.12e-70	226.0	multicomponent system	multidrug	multidrug__sdeY	sdeY	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	4.7331767
k141_2585265_1	k141_2585265	BAC77251	87.8	156	159	1	156	1051	891	1045	5.879999999999999e-81	256.0	multicomponent system	multidrug	multidrug__sdeY	sdeY	Efflux pump	RND family antibiotic efflux pump		Yes	Yes	Yes	IV	genome	1.7188797
