qseqid	contig	SARG.Seq.ID	pident	length	qlen	qstart	qend	slen	sstart	send	evalue	bitscore	Tag	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S	rank	location	coverage
k141_274449_3	k141_274449	AB104852.1.gene6.p01	100.0	279	280	1	279	279	1	279	3.6799999999999997e-199	543.0		sulfonamide	sulfonamide__sul1	sul1	Antibiotic target replacement	dihydropteroate synthase		Yes	Yes	Yes	notassessed	plasmid	34.224133
k141_274449_4	k141_274449	gb|AAC44316.1|ARO:3005010|qacEdelta1	100.0	115	116	1	115	115	1	115	3.57e-78	224.0		multidrug	multidrug__qacEdelta1								IV	plasmid	34.224133
k141_3276804_2	k141_3276804	CAC47932	100.0	388	389	1	388	388	1	388	3.71e-288	778.0		tetracycline	tetracycline__tetX2	tet(X)	Enzymatic inactivation			Yes	Yes	Yes	IV	plasmid	7.3002276
k141_275730_1	k141_275730	gi|446136270|ref|WP_000214125.1|	100.0	80	80	1	80	404	1	80	1.4200000000000001e-47	154.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	2.4130213
k141_3017939_3	k141_3017939	gi|446136270|ref|WP_000214125.1|	100.0	286	287	1	286	404	119	404	4.02e-198	546.0		florfenicol	florfenicol__floR	floR	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	2.960692
k141_821240_2	k141_821240	gi|695257004|ref|WP_032488331.1|	95.7	140	153	13	152	253	1	140	2.0999999999999998e-94	272.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__erm(X)	erm(X)	Antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase		Yes	Yes	Yes	II	plasmid	2.1202328
k141_3005566_2	k141_3005566	WP_000691721.1	99.5	639	640	1	639	639	1	639	0.0	1237.0		tetracycline	tetracycline__tet(W)	tet(W)	Antibiotic target protection			Yes	Yes	Yes	II	plasmid	5.6577864
k141_3005778_2	k141_3005778	P14171	100.0	293	294	1	293	293	1	293	3.3000000000000003e-209	570.0		beta_lactam	beta_lactam__RCP-1	RCP-1	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	III	genome	5.906769
k141_2461123_1	k141_2461123	CAP58293	99.5	406	407	1	406	406	1	406	1.7299999999999999e-277	752.0		tetracycline	tetracycline__tet(40)	tet(40)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	III	genome	3.9306345
k141_3007892_22	k141_3007892	gb|ADV91011.1|ARO:3000245|RbpA	91.1	112	113	1	112	114	1	112	4.17e-76	219.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	21.440409
k141_2813194_2	k141_2813194	gb|ADV91011.1|ARO:3000245|RbpA	95.5	111	112	1	111	114	1	111	3.43e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	1.7170892
k141_669281_2	k141_669281	gb|ADV91011.1|ARO:3000245|RbpA	94.6	111	112	1	111	114	1	111	3.43e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	6.6078215
k141_113191_7	k141_113191	gb|ADV91011.1|ARO:3000245|RbpA	95.5	111	112	1	111	114	1	111	4.87e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	4.1656995
k141_2869705_73	k141_2869705	gb|ADV91011.1|ARO:3000245|RbpA	94.6	111	112	1	111	114	1	111	1.98e-76	219.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	64.473274
k141_2899305_11	k141_2899305	gb|ADV91011.1|ARO:3000245|RbpA	92.9	112	113	1	112	114	1	112	4.88e-75	216.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	4.1105113
k141_4330099_17	k141_4330099	gb|ADV91011.1|ARO:3000245|RbpA	94.6	111	112	1	111	114	1	111	3.43e-77	221.0		rifamycin	rifamycin__RbpA	RbpA	Antibiotic target protection			Yes	Yes	Yes	IV	genome	729.9917
k141_3558435_1	k141_3558435	AY743590.gene.p01	99.5	217	218	1	217	395	179	395	2.25e-146	412.0		tetracycline	tetracycline__tet(39)	tet(39)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	0.80790514
k141_1375695_2	k141_1375695	gb|ACC54440.2|ARO:3002799|QnrVC1	100.0	218	219	1	218	218	1	218	3.3700000000000006e-79	235.0		quinolone	quinolone__QnrVC1	QnrVC family	Antibiotic target protection			Yes	Yes	Yes	IV	plasmid	6.5348544
k141_1375695_3	k141_1375695	AF318077.1.gene2.p01	93.9	246	247	1	246	246	1	246	1.01e-175	481.0		beta_lactam	beta_lactam__IMP-7	IMP	Enzymatic inactivation	Class B1 beta-lactamase		Yes	Yes	Yes	III	plasmid	6.5348544
k141_832862_1	k141_832862	CAJ45367	99.0	405	406	1	405	405	1	405	2.77e-278	754.0		macrolide-lincosamide-streptogramin	macrolide-lincosamide-streptogramin__mel	mel	Antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein		Yes	Yes	Yes	III	plasmid	11.684537
k141_3017939_1	k141_3017939	BAC67151	100.0	46	46	1	46	391	1	46	5.0999999999999995e-23	87.0		tetracycline	tetracycline__tet(G)	tet(G)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	2.960692
k141_269689_1	k141_269689	BAC67151	93.8	224	226	1	224	391	167	390	6.09e-150	421.0		tetracycline	tetracycline__tet(G)	tet(G)	Efflux pump	MFS family antibiotic efflux pump		Yes	Yes	Yes	IV	plasmid	1.5481651
k141_1932631_2	k141_1932631	gb|AAC09012.1|ARO:3002243|CARB-4	99.3	288	289	1	288	288	1	288	6.88e-204	556.0		beta_lactam	beta_lactam__CARB-4	CARB	Enzymatic inactivation	Class A beta-lactamase		Yes	Yes	Yes	I	plasmid	2.3225584
k141_1932631_3	k141_1932631	gb|CAJ13568.1|ARO:3004704|aadA8b	93.3	120	121	1	120	263	144	263	3.3500000000000003e-77	227.0		aminoglycoside	aminoglycoside__aadA8b	aadA8b	Enzymatic inactivation	Nucleotidyltransferases (Adenylyltransferases)	ANT(3'')	Yes	Yes	Yes	II	plasmid	2.3225584
k141_3295298_1	k141_3295298	gb|APB03222.1|ARO:3003992|rphB	85.8	106	107	1	106	884	778	883	3.71e-53	176.0		rifamycin	rifamycin__rphB	rphB	Enzymatic inactivation			Yes	Yes	Yes	IV	genome	1.329976
k141_2754934_1	k141_2754934	WP_000691758	99.5	639	640	1	639	639	1	639	0.0	1267.0		tetracycline	tetracycline__tet(O)	tet(O)	Antibiotic target protection			Yes	Yes	Yes	IV	plasmid	5.8265734
k141_3574857_2	k141_3574857	Q7N0B9	80.6	36	46	9	44	272	10	45	1.86e-15	65.5		bacitracin	bacitracin__bacA	bacA	Antibiotic target alteration	undecaprenyl pyrophosphate		Yes	Yes	Yes	IV	genome	1.0092515
k141_296946_1	k141_296946	ABV82120	96.6	435	435	1	435	639	1	435	2.1100000000000002e-303	828.0		tetracycline	tetracycline__tet(32)	tet(32)	Antibiotic target protection			Yes	Yes	Yes	III	genome	2.536769
